,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q4 2020,Q1 2020
30,EPS (Basic),0.18,0.13,0.19,0.13,0.24,0.24,0.18,0.14,0.22,0.17,0.15,0.16,-,-0.04
31,EPS (Diluted),0.18,0.13,0.19,0.13,0.24,0.24,0.18,0.14,0.22,0.17,0.15,0.16,-,-0.04
32,EPS Growth,-25.23%,-45.41%,5.56%,-8.96%,10.42%,43.42%,22.70%,-11.19%,-,-,-,-,-,-
33,Free Cash Flow,186.08,178.49,93.47,48.93,194.06,68.07,201.75,52.97,187.25,213.99,80.47,205.86,-,-34.1
34,Free Cash Flow Per Share,0.21,0.21,0.11,0.06,0.23,0.08,0.24,0.06,0.25,0.29,0.11,0.28,-,-0.05
35,Dividend Per Share,-,-,-,0.110,-,-,-,0.187,-,-,-,-,-,-
36,Dividend Growth,-,-,-,-41.08%,-,-,-,-,-,-,-,-,-,-
37,Gross Margin,46.74%,42.61%,48.97%,42.60%,51.48%,51.85%,48.17%,47.13%,49.37%,48.37%,46.11%,46.55%,-,23.13%
38,Operating Margin,18.22%,14.71%,21.90%,12.48%,24.67%,25.73%,23.43%,16.26%,25.33%,25.48%,21.44%,18.22%,-,-14.68%
39,Profit Margin,13.73%,10.22%,15.94%,11.92%,18.27%,19.23%,16.15%,16.36%,17.08%,16.13%,13.87%,15.28%,-,-9.15%
40,Free Cash Flow Margin,16.45%,16.65%,9.56%,5.38%,17.50%,6.40%,21.68%,7.46%,19.83%,27.79%,9.95%,26.60%,-,-10.76%
41,EBITDA,241.14,197.15,249.25,148.62,312.29,310.55,256.72,154.16,277.92,234.54,212.06,179.69,-,-7.41
42,EBITDA Margin,21.31%,18.39%,25.48%,16.33%,28.16%,29.22%,27.58%,21.70%,29.43%,30.46%,26.22%,23.22%,-,-2.34%
43,D&A For EBITDA,35.03,39.43,35.03,35.03,38.65,37.05,38.65,38.65,38.66,38.39,38.66,38.66,36.82,39.09
44,EBIT,206.1,157.72,214.21,113.59,273.64,273.5,218.07,115.5,239.25,196.15,173.4,141.03,-,-46.5
45,EBIT Margin,18.22%,14.71%,21.90%,12.48%,24.67%,25.73%,23.43%,16.26%,25.33%,25.48%,21.44%,18.22%,-,-14.68%
46,Effective Tax Rate,19.96%,26.07%,21.51%,19.84%,19.44%,18.14%,25.82%,18.12%,20.19%,23.93%,26.14%,21.82%,-,-
47,Revenue as Reported,1131,1072,978.18,910.3,1109,1063,930.79,710.25,944.43,769.9,808.67,773.95,-,316.8
