,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
10,EV/Sales Ratio,4.10,3.65,3.19,4.06,6.25,3.30,2.87,3.07,2.43,2.22,2.92,3.77,5.52,3.10,4.30,7.23,-,-,-,-
11,EV/EBITDA Ratio,-,-,-,-21.43,-,-,-46.72,-,-,-,69.10,-,47.49,20.54,25.04,29.59,-,-,-,-
12,EV/EBIT Ratio,-,-,-,-18.76,-,-,-33.75,-,-,-,114.07,-,53.77,22.64,27.30,31.44,-,-,-,-
13,EV/FCF Ratio,-18.79,-,-10.23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.24,0.24,0.22,0.18,0.21,0.15,0.03,0.03,0.02,0.03,0.03,0.03,0.03,0.04,0.04,0.05,0.05,-,0.07,0.04
15,Debt / EBITDA Ratio,-,-,10.51,1.75,-,-,0.17,-,0.54,-,0.34,-,0.27,0.38,0.58,1.17,0.13,-,0.14,-
16,Debt / FCF Ratio,-,-,-1.44,-,-,-,-,-,-,-,-,-,-,-,-,-,0.36,-,136.33,-
17,Asset Turnover,0.22,0.33,0.43,0.25,0.22,0.53,0.27,0.44,0.27,0.41,0.21,0.55,0.44,0.43,0.41,-,-,-,-,
18,Inventory Turnover,4.52,7.15,8.65,8.69,6.15,3.04,6.26,4.85,6.65,8.14,11.12,11.03,12.19,9.03,11.72,7.65,-,-,-,-
19,Quick Ratio,1.99,1.99,2.12,2.34,2.02,2.30,3.29,3.36,3.48,3.85,4.20,5.07,4.83,5.17,5.40,4.79,1.99,-,2.15,-
20,Current Ratio,2.12,2.12,2.22,2.46,2.16,2.58,3.57,3.63,3.72,4.07,4.34,5.20,4.96,5.37,5.57,5.01,2.15,-,2.23,-
21,Return on Equity (ROE),-14.64%,-14.17%,-16.11%,-46.11%,-18.38%,8.87%,-10.90%,-0.43%,-10.44%,7.07%,-13.64%,8.63%,10.13%,4.13%,4.44%,-,-,45.74%,-,
22,Return on Assets (ROA),-6.00%,-1.32%,3.46%,-20.15%,-6.25%,5.17%,-6.17%,-1.50%,-5.62%,2.70%,-7.94%,3.26%,4.57%,1.64%,2.16%,-,-,-,-,
23,Return on Capital (ROIC),-7.67%,-1.68%,4.46%,-26.13%,-7.97%,6.53%,-7.76%,-1.86%,-6.82%,3.19%,-9.28%,3.83%,5.35%,1.94%,2.80%,-,-,31.38%,-,
24,Return on Capital Employed (ROCE),-,-,-,-11.78%,-,-,-4.06%,-,-,-,1.22%,-,5.14%,6.70%,7.21%,10.16%,26.36%,-,12.08%,-
25,Earnings Yield,-10.45%,-11.39%,-13.43%,-6.88%,-5.07%,-2.51%,-1.75%,-1.94%,-2.81%,-1.30%,1.51%,0.90%,1.79%,3.38%,2.70%,2.80%,-,-,-,-
26,FCF Yield,-4.59%,-5.01%,-7.91%,-6.40%,-4.78%,-6.81%,-5.03%,-4.94%,-6.85%,-7.01%,-5.40%,-4.34%,-2.78%,-2.79%,-0.73%,0.86%,-,-,-,-
27,Payout Ratio,0.00%,-,-,-,-,-,0.32%,-,-,-,-,-,1.49%,-,-,-,0.66%,2.75%,-,-
28,Buyback Yield / Dilution,0.75%,9.36%,-9.58%,-0.62%,1.99%,-9.80%,7.80%,0.09%,-0.11%,-0.94%,0.66%,-19.12%,-34.00%,-32.25%,-24.88%,-19.88%,-,-,-,-
29,Total Shareholder Return,0.75%,9.36%,-9.58%,-0.62%,1.99%,-9.80%,7.80%,0.09%,-0.11%,-0.94%,0.66%,-19.12%,-34.00%,-32.25%,-24.88%,-19.88%,-,-,-,-
