,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
13,Long-Term Deferred Charges,1.39,2.25,2.63,3.01,3.38,3.11,3.3,2.75,3.01,0.05,0.1,0.17,0.23,-,0.47,-
14,Other Long-Term Assets,314.48,138.1,71.81,184.78,58.01,106.94,69.9,0.4,0.43,2.99,1.41,0.86,1.03,-,0.61,-
15,Total Assets,6474,6142,5986,6399,5639,5625,5287,5404,5045,4822,4917,5434,4647,-,4565,-
16,Accounts Payable,39.72,51.26,20.21,58.36,65.41,44.06,20.97,32.44,10.39,24.71,27.16,14.76,3.6,-,17.14,-
17,Accrued Expenses,51.59,38.85,58.48,15.95,40.91,31.86,54.64,21.54,48.39,30.14,42.69,14.7,48.95,-,36.96,-
18,Short-Term Debt,1389,1290,1199,1219,890.96,890.8,570.52,751.02,520.68,270.34,270.34,611.05,811.46,-,1021,-
19,Current Portion of Long-Term Debt,301.65,297.86,244.92,766,817.41,791.73,422.5,234.35,42.07,150.23,330.52,301.52,448.83,-,300.63,-
20,Current Portion of Leases,-,-,2.25,-,-,-,2.07,-,2.01,-,-,-,-,-,-,-
21,Current Income Taxes Payable,48.32,40.36,22.51,37.91,55.66,44.08,16.97,26.53,26.48,21.27,25.24,28.87,15.38,-,11.29,-
22,Current Unearned Revenue,6.41,4.45,8.16,2.24,11.13,2.75,4.52,13.12,1.04,6.94,8.13,7.01,10.82,-,16.07,-
23,Other Current Liabilities,40.48,32.68,81.25,5.29,167.62,5.23,14.74,7.73,23.75,5.09,7.01,5.97,15.72,-,7.9,-
24,Total Current Liabilities,1877,1756,1637,2105,2049,1811,1107,1087,674.81,508.73,711.08,983.86,1355,-,1411,-
25,Long-Term Debt,1111,1045,1016,835.03,212.93,249.7,418.46,637.9,738.05,740.95,700.94,730.08,639.98,-,731.11,-
26,Long-Term Leases,2.77,5.17,5.09,5.01,4.97,9.36,9.04,8.93,8.82,-,-,-,-,-,-,-
27,Long-Term Unearned Revenue,74.71,55.4,15.54,15.66,15.81,17.74,17.61,17.74,16.35,6.24,5.05,5.06,5.07,-,0.43,-
28,Long-Term Deferred Tax Liabilities,47.94,48.9,49.93,52.49,53.74,38.89,35.49,35.99,32.46,-,-,-,-,-,1.06,-
29,Other Long-Term Liabilities,99.16,98.19,97.23,120,118.03,412.32,412.14,411.95,411.77,408.17,408.01,407.85,407.69,-,407.39,-
30,Total Liabilities,3213,3008,2821,3133,2455,2539,2000,2199,1882,1664,1825,2127,2407,-,2551,-
31,Common Stock,978,978,978,978,978,978,978,978,978,978,978,978,880,-,880,-
32,Additional Paid-In Capital,1693,1693,1693,1693,1693,1693,1693,1700,1700,1700,1700,1700,841.61,-,841.61,-
33,Retained Earnings,589.06,462.08,492.84,593.89,513.07,414.58,615.76,504.71,463.49,480.45,414.2,629.39,517.75,-,291.81,-
34,Comprehensive Income & Other,1.17,1.15,1.56,1.44,0.46,1.52,1.01,0.53,-,-,-,-,0.02,-,0.06,-
35,Total Common Equity,3261,3134,3165,3266,3184,3087,3287,3183,3141,3158,3092,3307,2239,-,2013,-
36,Minority Interest,-,-,-,-,-,-,-,21.8,21.83,-,-,-,-,-,-,-
37,Shareholders' Equity,3261,3134,3165,3266,3184,3087,3287,3205,3163,3158,3092,3307,2239,-,2013,-
38,Total Liabilities & Equity,6474,6142,5986,6399,5639,5625,5287,5404,5045,4822,4917,5434,4647,-,4565,-
39,Total Debt,2805,2638,2468,2825,1926,1942,1423,1632,1312,1162,1302,1643,1900,-,2053,-
40,Net Cash (Debt),-2244,-1836,-1688,-1561,-1206,-1194,-862.64,-852.05,-896.35,-712.48,-763.34,-585.59,-1629,-,-1903,-
41,Net Cash Per Share,-2.30,-1.90,-1.80,-1.54,-1.22,-1.16,-0.99,-0.83,-0.94,-0.75,-0.77,-0.63,-1.89,-,-2.34,-
42,Filing Date Shares Outstanding,976.99,978,978,978,978,978,978,978,978,978,978,978,880,876.12,880,941.17
43,Total Common Shares Outstanding,976.99,978,978,978,978,978,978,978,978,978,978,978,880,876.12,880,941.17
44,Working Capital,-1208,-869.05,-779.79,-739.34,-,-910.7,-437.41,-235.77,-146.29,16.51,-107.49,143.45,-1034,-,-1207,-
45,Book Value Per Share,3.34,3.20,3.24,3.34,3.26,3.16,3.36,3.25,3.21,3.23,3.16,3.38,2.54,-,2.29,-
46,Tangible Book Value,2169,2071,2103,2292,-,1977,2212,2102,2082,2236,2166,2377,1305,-,1072,-
47,Tangible Book Value Per Share,2.22,2.12,2.15,2.34,2.28,2.02,2.26,2.15,2.13,2.29,2.21,2.43,1.48,-,1.22,-
48,Buildings,-,-,2138,-,-,-,2053,-,1989,-,1971,-,1971,-,1961,-
49,Machinery,-,-,583.62,-,-,-,545.92,-,543.07,-,530.47,-,521.85,-,512.42,-
50,Construction In Progress,-,-,356.22,-,-,-,10.71,-,3.76,-,46.01,-,7.25,-,9.96,-
