,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
19,Current Portion of Long-Term Debt,329.34,324.55,326.76,255.62,198.06,158.82,119.78,118.59,7.61,-,-,34.1
20,Current Portion of Leases,-,1.32,-,1.54,-,2.09,-,1.37,-,-,-,4.54
21,Current Income Taxes Payable,76.07,12.08,46.44,43.92,107.33,30.19,59.23,2.92,110.53,-,-,59.04
22,Current Unearned Revenue,306.48,289.44,303.75,407.57,362.57,314.67,256.47,362.64,234.37,-,-,514.95
23,Other Current Liabilities,390.64,326.79,379.79,341.01,354.73,301.99,217.71,211.11,351.64,-,-,228.88
24,Total Current Liabilities,3585,3566,3478,4332,3892,3633,3131,3965,3472,-,-,4765
25,Long-Term Debt,1021,1038,1104,1151,1209,1238,1290,1229,1252,-,-,891.69
26,Long-Term Leases,0.1,0.49,0.97,1.13,1.46,2.82,3.12,1.31,1.86,-,-,2.53
27,Long-Term Unearned Revenue,136.77,140.76,138.78,141,139.69,139.58,139.68,132.09,136.21,-,-,136.09
28,Long-Term Deferred Tax Liabilities,6.09,6.53,7.04,7.49,8.04,8.74,8.4,9.55,-,-,-,-
29,Total Liabilities,4749,4752,4729,5633,5250,5022,4572,5336,4861,-,-,5795
30,Common Stock,968.6,970.12,970.12,970.12,970.12,965.61,965.61,965.61,869,-,-,869
31,Additional Paid-In Capital,2100,2111,2105,2098,2093,2046,2040,2034,968.09,-,-,955.05
32,Retained Earnings,1888,1894,1894,1984,1847,1731,1740,1737,1567,-,-,1144
33,Treasury Stock,-110.69,-73.36,-65.31,-50.34,-40.36,-,-,-,-,-,-,-
34,Comprehensive Income & Other,-0.37,0.41,-0.01,-0.14,0.33,0.33,0.33,0.33,0.33,-,-,0.17
35,Total Common Equity,4846,4903,4903,5002,4869,4743,4746,4737,3404,-,2968,2968
36,Minority Interest,2.54,3.42,4.41,5.22,5.4,5.67,5.88,6.25,6.23,-,-,6.95
37,Shareholders' Equity,4848,4906,4908,5007,4875,4748,4752,4743,3410,-,2975,2975
38,Total Liabilities & Equity,9597,9658,9636,10640,10125,9770,9324,10079,8272,-,-,8770
39,Total Debt,1600,1614,1730,1708,1708,1827,1893,1650,1571,-,1146,1146
40,Net Cash (Debt),-891.83,-804.38,-869.12,261.92,-326.04,-334.33,-720.78,249.93,-1177,-,415.67,415.67
41,Net Cash Growth,-,-,-,4.80%,-,-,-,-39.87%,-,-,-,-
42,Net Cash Per Share,-0.93,-0.83,-0.90,0.27,-0.34,-0.35,-0.74,0.27,-1.35,-,0.48,0.48
43,Filing Date Shares Outstanding,957.92,966.82,964.2,967.75,970.12,970.12,965.61,965.61,869,868.89,869.02,869
44,Total Common Shares Outstanding,957.92,966.82,964.2,967.75,970.12,965.61,965.61,965.61,869,868.89,869.02,869
45,Working Capital,-787.74,-754.95,-675.94,-519.52,-397.68,-381.02,-129.36,-116.82,-1158,-,-,-1241
46,Book Value Per Share,5.06,5.07,5.09,5.17,5.02,4.91,4.91,4.91,3.92,-,3.42,3.42
47,Tangible Book Value,3928,3976,3968,4068,3928,3794,3794,3786,2459,-,2014,2014
48,Tangible Book Value Per Share,4.10,4.11,4.12,4.20,4.05,3.93,3.93,3.92,2.83,-,2.32,2.32
49,Buildings,-,4661,-,4568,-,3570,-,2780,-,-,-,2319
50,Machinery,-,2514,-,2421,-,2235,-,2134,-,-,-,1845
51,Construction In Progress,-,264.21,-,393.08,-,1282,-,1726,-,-,-,1151
