,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
12,Interest & Investment Income,2.82,15.82,10.47,24.13,31.59,31.14,19.79,28.59,31.29,24.5,0.88,1.29,1.82,0.94,1,1.4
13,Other Non Operating Income (Expenses),-0.47,-0.01,-0.07,-0.02,-0.01,-0.03,-0.09,-0.01,-0.15,-0.01,0.03,-0.01,-15.47,15.49,-15.87,-0.02
14,EBT Excluding Unusual Items,17.84,-27.81,-30.29,-28.62,16.11,42.86,145.53,75.87,14.04,137.31,103.61,159.02,-24.26,88.96,43.07,223.17
15,Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-,-0.15,-,-,-,-0,7.76,-,-
16,Asset Writedown,-,-,-,-,-0.02,0.02,-,-,-,-,0.12,-0.12,17.86,-17.86,15.8,-15.8
17,Other Unusual Items,-0.07,-14.86,14.91,0.02,47.6,-30.58,30.58,-,-8.4,-15,15,-,-8.73,-0.03,-0.06,0.09
18,Pretax Income,17.77,-42.67,-15.38,-28.61,63.68,12.31,176.11,75.87,5.49,122.31,118.73,158.91,-15.13,78.83,58.81,207.46
19,Income Tax Expense,-11.06,1.69,-3.98,-1.61,3.98,-16.85,26.89,11.38,-5.98,-0.47,17.41,24.28,-12.64,5.19,9.72,31.96
20,Net Income,28.83,-44.36,-11.4,-27,59.7,29.15,149.23,64.49,11.47,122.78,101.32,134.63,-2.49,73.63,49.09,175.5
21,Net Income to Common,28.83,-44.36,-11.4,-27,59.7,29.15,149.23,64.49,11.47,122.78,101.32,134.63,-2.49,73.63,49.09,175.5
22,Net Income Growth,-51.71%,-,-,-,420.54%,-76.26%,47.29%,-52.10%,-,66.75%,106.37%,-23.29%,-,-,-,-
23,Shares Outstanding (Basic),627,789,605,675,666,688,691,645,663,692,534,539,548,535,528,428
24,Shares Outstanding (Diluted),627,789,605,675,666,688,691,645,663,692,534,539,548,535,528,428
25,Shares Change (YoY),-5.79%,14.64%,-12.44%,4.65%,0.35%,-0.52%,29.37%,19.76%,20.95%,29.20%,1.19%,25.81%,-,-,-,-
26,EPS (Basic),0.05,-0.06,-0.02,-0.04,0.09,0.04,0.22,0.10,0.02,0.18,0.19,0.25,-0.00,0.14,0.09,0.41
27,EPS (Diluted),0.05,-0.06,-0.02,-0.04,0.09,0.04,0.22,0.10,0.02,0.18,0.19,0.25,-0.00,0.14,0.09,0.41
28,EPS Growth,-48.74%,-,-,-,418.74%,-76.13%,13.84%,-60.00%,-,29.06%,103.94%,-39.02%,-,-,-,-
29,Free Cash Flow,-,-16.97,340.19,-479.01,-152.6,207.28,115.11,-158.82,59.4,285.98,-79.51,67.8,-216.49,-15.64,132.36,-104.23
30,Free Cash Flow Per Share,-,-0.02,0.56,-0.71,-0.23,0.30,0.17,-0.25,0.09,0.41,-0.15,0.13,-0.39,-0.03,0.25,-0.24
31,Dividend Per Share,-,-,-,-,0.177,-,-,-,0.352,-,-,-,-,-,-,-
32,Dividend Growth,-,-,-,-,-49.72%,-,-,-,-,-,-,-,-,-,-,-
33,Gross Margin,186.16%,23.47%,27.38%,27.15%,8.26%,26.84%,32.20%,26.96%,16.50%,33.47%,25.70%,22.78%,24.26%,14.93%,29.93%,30.27%
34,Operating Margin,20.86%,-43.83%,-18.87%,-84.50%,-1.08%,10.25%,17.66%,10.12%,-2.66%,22.58%,12.86%,18.53%,-1.80%,8.91%,18.21%,27.57%
35,Profit Margin,9.13%,-45.57%,-5.41%,-44.05%,4.44%,23.56%,20.79%,13.53%,1.89%,24.37%,12.58%,15.72%,-0.46%,9.03%,15.39%,21.81%
36,Free Cash Flow Margin,-,-17.43%,161.44%,-781.53%,-11.34%,167.53%,16.04%,-33.32%,9.78%,56.76%,-9.87%,7.92%,-40.35%,-1.92%,41.49%,-12.96%
37,EBITDA,81.42,-27.15,-34.8,-36.28,1,31.81,138.58,67.34,2.96,131.23,128.46,176.14,7.81,84.06,69.48,241.76
38,EBITDA Margin,25.77%,-27.89%,-16.52%,-59.19%,0.07%,25.71%,19.31%,14.13%,0.49%,26.05%,15.94%,20.57%,1.46%,10.31%,21.78%,30.05%
39,D&A For EBITDA,15.52,15.52,4.96,15.52,15.52,19.13,11.83,19.13,19.13,17.49,24.87,17.49,17.49,11.39,11.39,19.97
40,EBIT,65.9,-42.67,-39.76,-51.79,-14.52,12.69,126.75,48.21,-16.17,113.74,103.59,158.64,-9.68,72.67,58.09,221.78
41,EBIT Margin,20.86%,-43.83%,-18.87%,-84.50%,-1.08%,10.25%,17.66%,10.12%,-2.66%,22.57%,12.86%,18.53%,-1.80%,8.91%,18.21%,27.57%
42,Effective Tax Rate,-,-,-,-,6.25%,-,15.27%,15.00%,-,-,14.66%,15.28%,-,6.59%,16.52%,15.40%
43,Advertising Expenses,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.43
