,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
31,Free Cash Flow Per Share,-0.59,-0.19,-0.12,0.45,-0.53,-0.81,-0.64,0.72,-0.65,-0.47,-0.58,1.84,-0.54,-0.42,-0.66,2.33
32,Dividend Per Share,-,-,-,0.150,-,-,-,0.444,-,-,-,0.389,-,-,-,-
33,Dividend Growth,-,-,-,-66.25%,-,-,-,14.27%,-,-,-,-,-,-,-,-
34,Gross Margin,57.52%,51.65%,54.37%,56.21%,58.50%,51.05%,54.05%,54.56%,62.13%,46.74%,56.18%,54.74%,54.25%,52.58%,68.05%,57.24%
35,Operating Margin,-134.51%,-44.00%,-67.26%,14.61%,16.56%,-24.64%,-3.42%,31.65%,15.30%,4.31%,14.95%,38.40%,2.66%,4.28%,21.97%,44.37%
36,Profit Margin,-86.08%,-18.57%,-31.15%,23.57%,8.12%,-5.94%,20.17%,34.99%,20.69%,12.95%,34.04%,39.45%,6.63%,6.44%,24.52%,40.61%
37,Free Cash Flow Margin,-324.68%,-59.68%,-55.27%,24.26%,-130.87%,-96.82%,-259.33%,19.67%,-117.05%,-98.00%,-236.25%,55.60%,-93.05%,-91.97%,-291.33%,68.99%
38,EBITDA,-32.27,-14.73,-17.4,38.73,14.32,-15.73,1.38,152.61,14.04,6.15,6.91,157.15,3.61,4.28,6.85,140.05
39,EBITDA Margin,-126.36%,-33.60%,-60.06%,15.44%,20.11%,-20.70%,4.11%,32.18%,18.17%,9.51%,22.00%,38.95%,6.49%,8.71%,31.89%,45.06%
40,D&A For EBITDA,2.08,4.56,2.08,2.08,2.53,2.99,2.53,2.53,2.21,3.36,2.21,2.21,2.13,2.18,2.13,2.13
41,EBIT,-34.35,-19.28,-19.48,36.65,11.79,-18.72,-1.15,150.08,11.82,2.78,4.69,154.93,1.47,2.1,4.72,137.92
42,EBIT Margin,-134.51%,-44.00%,-67.26%,14.61%,16.56%,-24.64%,-3.42%,31.65%,15.30%,4.31%,14.95%,38.40%,2.66%,4.28%,21.97%,44.37%
43,Effective Tax Rate,-,-,-,14.30%,-,-,-,13.92%,24.34%,5.63%,1.79%,16.11%,-,1.91%,-,14.71%
44,Revenue as Reported,98.33,-,28.96,250.84,180.74,-,33.55,474.25,77.27,64.59,31.38,403.44,55.55,49.11,21.48,310.84
