,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
11,"Property, Plant & Equipment",317.07,315.32,316.02,303.73,240.8,205.89,193.41,163.44,77.55,70.43,71.73,69.95,71.54,71.65,-,68.2
12,Other Intangible Assets,41.49,42.31,43.17,42.29,42.41,42.9,23.98,24.22,24.58,23.94,7.19,7.33,6.63,5.35,-,5.46
13,Long-Term Accounts Receivable,-,38.81,-,69.16,-,35.67,-,89.83,-,63.28,-,77.84,-,-,-,54.8
14,Long-Term Deferred Tax Assets,32.09,29.77,24.88,24.23,27.24,24.74,22.78,21.19,12.27,15.8,13.55,12.02,13.51,10.45,-,9.18
15,Long-Term Deferred Charges,1.81,2.3,2.8,2.29,2.66,2.66,2.43,2.65,3.26,1.55,0.21,0.25,0.28,0.32,-,0.41
16,Other Long-Term Assets,33.87,0.58,53.1,-13.37,53.89,14.2,92.77,6.79,118.86,3.27,89.41,9.37,50.6,48.13,-,3.23
17,Total Assets,1980,1964,1986,2037,1835,1832,1865,1999,1702,1647,1728,1794,626.69,576.53,-,638.82
18,Accounts Payable,140.39,149.59,134.12,181.04,113.63,101.53,129.05,204.99,133.88,99.9,95.08,158.98,96.39,70.87,-,101.28
19,Accrued Expenses,10.42,9.56,7.99,23.46,7.76,9.54,8.89,37.78,9.91,12.44,6.98,42.71,-,9.54,-,36.01
20,Short-Term Debt,125.5,87.06,117.06,98.03,49,19,-,-,-,-,-,-,-,-,-,-
21,Current Portion of Leases,7.19,8.65,7.82,5.88,4.84,1.26,1.04,2.66,3.34,3.61,2.11,1.91,2.28,1.95,-,-
22,Current Income Taxes Payable,1.81,-,3.84,10.7,3.54,-,11.53,50.82,22.57,17.82,27.48,28.37,1.33,0.01,-,19.99
23,Current Unearned Revenue,48.06,41.41,42.59,39.69,19.68,17.18,34.8,31.03,29.68,28.16,90.99,62.49,8.61,49.91,-,49.02
24,Other Current Liabilities,32.23,33.67,12.66,12.06,12.34,73.31,17.8,17.29,18.13,20.25,3.11,8.66,104,34.42,-,34.27
25,Total Current Liabilities,365.61,329.95,326.07,370.88,210.79,221.82,203.11,344.56,217.5,182.17,225.76,303.11,212.61,166.7,-,240.57
26,Long-Term Leases,1.43,5.03,6.5,4.64,5.98,1.24,1.6,1.24,2.01,2.27,1.72,1.48,0.94,1.26,-,-
27,Long-Term Unearned Revenue,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.8
28,Long-Term Deferred Tax Liabilities,-,-,-,-,4.2,2.55,1.43,1.2,1.37,0.8,0.65,0.08,-,-,-,-
29,Total Liabilities,367.03,334.98,332.57,375.51,220.96,225.6,206.14,347.01,220.89,185.24,228.13,304.66,213.55,167.96,-,241.37
30,Common Stock,136.5,133.9,133.9,133.9,133.9,74.39,74.39,74.39,74.39,74.39,73.66,73.66,55.24,55.24,-,55.24
31,Additional Paid-In Capital,960.47,940.24,937.34,936.26,940.05,997.01,994.46,991.91,986.74,982.52,966.05,965.17,65.51,64.63,-,62.87
32,Retained Earnings,548.17,570.15,598.33,607.35,548.23,542.45,603.8,599.71,433.81,417.86,460.02,450.22,291.07,287.39,-,278.96
33,Treasury Stock,-32.9,-16.48,-16.48,-16.48,-8.45,-8.45,-14.09,-14.09,-14.09,-14.09,-,-,-,-,-,-
34,Comprehensive Income & Other,0.72,0.74,0.59,0.56,0.52,0.74,0.54,0.54,0.5,0.81,0.63,0.62,1.32,1.32,-,0.38
35,Shareholders' Equity,1613,1629,1654,1662,1614,1606,1659,1652,1481,1461,1500,1490,413.14,408.58,397.44,397.44
36,Total Liabilities & Equity,1980,1964,1986,2037,1835,1832,1865,1999,1702,1647,1728,1794,626.69,576.53,-,638.82
37,Total Debt,134.12,100.75,131.37,108.55,59.82,21.5,2.65,3.9,5.35,5.88,3.84,3.38,3.22,3.21,-,-
38,Net Cash (Debt),187.58,780.19,347.52,775.81,352.07,867.99,450.56,1017,382.12,1005,915.61,1167,23.82,75.49,189.03,189.03
39,Net Cash Growth,-46.72%,-10.12%,-22.87%,-23.75%,-7.86%,-13.63%,-50.79%,-12.83%,1504.33%,1231.29%,384.36%,517.48%,-,-,-,-
40,Net Cash Per Share,1.33,5.77,2.70,5.73,2.00,9.61,3.33,7.83,2.76,7.41,7.14,9.56,0.25,0.70,2.00,2.05
41,Filing Date Shares Outstanding,140.92,133.6,133.6,133.6,133.9,133.9,133.9,133.9,133.9,133.9,132.59,132.59,132.59,99.43,94.73,92.23
42,Total Common Shares Outstanding,140.92,133.6,133.6,133.6,133.9,133.9,133.9,133.9,133.9,133.9,132.59,132.59,99.43,99.43,94.73,92.23
43,Working Capital,1188,1204,1220,1238,1257,1284,1327,1347,1248,1286,1321,1314,271.52,273.93,-,256.96
44,Book Value Per Share,11.45,12.19,12.38,12.44,12.06,11.99,12.39,12.34,11.06,10.91,11.32,11.24,4.15,4.11,4.31,4.31
45,Tangible Book Value,1571,1586,1611,1619,1572,1563,1635,1628,1457,1438,1493,1482,406.5,403.22,391.99,391.99
46,Tangible Book Value Per Share,11.15,11.87,12.05,12.12,11.74,11.67,12.21,12.16,10.88,10.74,11.26,11.18,4.09,4.06,4.25,4.25
47,Buildings,-,195.66,-,195.27,-,40.28,-,40.28,-,39.55,-,39.55,-,39.55,-,39.55
48,Machinery,-,130.44,-,120.14,-,57.49,-,72.15,-,65.84,-,56.66,-,53.81,-,54.24
49,Construction In Progress,-,24.8,-,17.77,-,146.03,-,96.48,-,2.15,-,10.67,-,10.67,-,6.86
