,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
17,Total Assets,6365,6314,6255,6186,6175,5691,5563,4758,-,4187,-
18,Accounts Payable,327.55,134.88,228.29,115.6,202.44,142.23,92,791.47,-,787.5,-
19,Accrued Expenses,23.98,90.73,26.4,77.67,19.13,35.34,21.03,38.76,-,57.5,-
20,Short-Term Debt,197.64,78.98,60,60.06,30,-,-,-,-,20.2,-
21,Current Portion of Long-Term Debt,-,10,-,10,-,241.37,-,240.36,-,10,-
22,Current Portion of Leases,-,1.33,-,1.33,-,-,-,0.45,-,0.49,-
23,Current Income Taxes Payable,23.23,16.45,28.66,0.5,10.35,2.02,13.6,0.17,-,11.59,-
24,Current Unearned Revenue,59.34,59.54,96.15,28.27,41.46,9.15,16.62,0.83,-,26.69,-
25,Other Current Liabilities,471.3,566.6,473.82,617.9,432.71,441.66,596.33,386.53,-,477.64,-
26,Total Current Liabilities,1103,958.52,913.31,911.32,736.08,871.78,739.57,1459,-,1392,-
27,Long-Term Debt,-,185,185,190,190,236.51,265.41,260.91,-,190,-
28,Long-Term Leases,20.09,3.65,3.47,4.32,6.13,-,1.98,1.95,-,2.13,-
29,Long-Term Unearned Revenue,6.2,6.16,6.8,7.47,8.17,8.71,8.84,9.9,-,-,-
30,Long-Term Deferred Tax Liabilities,45.41,42.03,43.29,44.14,43.09,2.98,3.02,3.6,-,3.07,-
31,Other Long-Term Liabilities,1283,1282,1281,1280,1477,1239,1246,576.53,-,470.27,-
32,Total Liabilities,2457,2477,2432,2437,2460,2359,2265,2311,-,2057,-
33,Common Stock,800,800,800,800,800,800,800,600,-,600,-
34,Additional Paid-In Capital,1359,1359,1359,1359,1359,1359,1359,744.12,-,713.45,-
35,Retained Earnings,892.82,865.09,896.16,855.84,840.75,736.34,802.91,771.63,-,697.95,-
36,Comprehensive Income & Other,33.26,34.5,32.28,29.36,29.24,8.8,12.13,11.7,-,13.23,-
37,Total Common Equity,3085,3058,3087,3044,3029,2904,2974,2127,-,2025,1897
38,Minority Interest,822.75,778.42,735.78,704.61,686.58,427.54,324.98,319.56,-,105.17,-
39,Shareholders' Equity,3907,3837,3823,3748,3715,3331,3299,2447,-,2130,1983
40,Total Liabilities & Equity,6365,6314,6255,6186,6175,5691,5563,4758,-,4187,-
41,Total Debt,217.73,278.96,248.47,265.71,226.13,477.88,267.39,503.67,-,222.82,357.16
42,Net Cash (Debt),1147,1341,1400,1343,1590,1573,1711,524.45,-,292.26,15.68
43,Net Cash Growth,-27.87%,-14.74%,-18.18%,156.12%,-,438.31%,10809.22%,-,-,-,-
44,Net Cash Per Share,1.34,1.73,1.74,1.33,3.26,1.77,2.84,0.62,-,0.64,0.03
45,Filing Date Shares Outstanding,800,800,800,800,800,800,800,600,525.22,600,598.79
46,Total Common Shares Outstanding,800,800,800,800,800,800,800,600,525.22,600,598.79
47,Working Capital,736.38,1060,1058,1013,1403,1508,1542,-75.76,-,-398.45,-
48,Book Value Per Share,3.86,3.82,3.86,3.80,3.79,3.63,3.72,3.55,-,3.37,3.16
49,Tangible Book Value,361.54,325.65,354.04,303.93,279.11,555.37,621.92,-226,-,206.91,1634
50,Tangible Book Value Per Share,0.45,0.41,0.44,0.38,0.35,0.69,0.78,-0.38,-,0.34,2.72
51,Buildings,-,902.46,-,901.61,-,864.57,-,861.33,-,815.97,-
52,Machinery,-,259.72,-,262.86,-,207.86,-,200.58,-,195.88,-
53,Construction In Progress,-,535.38,-,363.09,-,155.84,-,104.86,-,98.19,-
