,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2021,Q1 2021
32,Free Cash Flow Per Share,-,-0.54,-0.34,-0.16,-0.38,-0.20,-0.11,0.06,0.26,-0.59,0.16,0.01,-0.17,-0.17
33,Dividend Per Share,-,-,-,-,0.140,-,-,-,-,-,-,-,-,-
34,Gross Margin,174.82%,55.64%,28.70%,54.34%,51.64%,46.88%,36.76%,55.26%,40.12%,57.92%,44.98%,44.35%,43.48%,43.48%
35,Operating Margin,5.79%,22.95%,-67.18%,14.50%,-17.94%,16.34%,3.89%,21.37%,-29.35%,47.91%,-76.75%,-48.30%,-60.93%,-60.93%
36,Profit Margin,7.09%,4.63%,-44.79%,14.54%,20.20%,14.92%,7.15%,19.39%,13.65%,7.17%,-16.48%,-43.29%,-19.55%,-19.55%
37,Free Cash Flow Margin,-,-50.11%,-49.78%,-21.24%,-41.04%,-27.26%,-14.39%,8.78%,22.35%,-107.76%,52.79%,3.50%,-130.85%,-130.85%
38,EBITDA,35.72,82.81,-149.21,36.96,-51.55,37.84,10.85,36.09,-72.27,66.31,-56.5,-21.3,-16.65,-16.65
39,EBITDA Margin,6.29%,23.75%,-65.36%,15.69%,-17.01%,17.02%,5.32%,22.31%,-28.75%,48.44%,-75.00%,-46.73%,-58.84%,-58.84%
40,D&A For EBITDA,2.82,2.82,4.14,2.82,2.82,1.51,2.92,1.51,1.51,0.72,1.31,0.72,0.59,0.59
41,EBIT,32.9,79.99,-153.36,34.15,-54.37,36.32,7.93,34.57,-73.78,65.6,-57.81,-22.02,-17.24,-17.24
42,EBIT Margin,5.79%,22.95%,-67.18%,14.50%,-17.94%,16.34%,3.89%,21.37%,-29.35%,47.91%,-76.75%,-48.30%,-60.93%,-60.93%
43,Effective Tax Rate,13.05%,-,-,0.07%,0.83%,0.14%,-,-,0.17%,-,-,-,-,-
44,Revenue as Reported,-,348.61,228.29,235.53,303.08,222.34,203.71,161.76,251.41,136.91,75.33,45.59,28.3,28.3
