,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q1 2020
28,Shares Change (YoY),-18.81%,8.11%,9.23%,-0.94%,3.27%,0.66%,-3.47%,0.63%,12.87%,82.31%,16.03%,24.42%,13.53%,-25.47%,-,-,-,-
29,EPS (Basic),0.84,0.03,0.08,-0.16,0.85,-0.01,0.01,-0.26,1.22,0.28,0.37,-0.11,1.44,0.46,0.04,-0.01,1.24,-0.09
30,EPS (Diluted),0.84,0.03,0.08,-0.16,0.85,-0.01,0.01,-0.26,1.22,0.28,0.37,-0.11,1.44,0.46,0.04,-0.01,1.24,-0.09
31,EPS Growth,-1.44%,-,1322.44%,-,-30.24%,-,-98.42%,-,-15.17%,-39.46%,865.84%,-,16.11%,-,-,-,-,-
32,Free Cash Flow,-,-44.24,-4.2,-347.02,340.98,-46.63,-47.42,-429.86,414.89,3.44,-25.99,-401.52,460.05,23.5,-36.88,-330.52,478.82,-206.19
33,Free Cash Flow Per Share,-,-0.12,-0.01,-1.05,1.03,-0.14,-0.15,-1.29,1.29,0.01,-0.08,-1.22,1.61,0.13,-0.13,-1.25,1.91,-0.83
34,Dividend Per Share,-,-,-,-,0.360,-,-,-,0.600,-,-,-,0.500,-,-,-,-,-
35,Dividend Growth,-,-,-,-,-40.00%,-,-,-,20.00%,-,-,-,-,-,-,-,-,-
36,Gross Margin,155.57%,61.64%,55.73%,68.50%,59.29%,62.09%,46.82%,63.14%,63.88%,67.19%,66.91%,69.83%,62.77%,62.26%,72.60%,72.58%,68.25%,77.35%
37,Operating Margin,33.11%,-0.39%,-0.36%,-27.39%,21.49%,-4.38%,-6.18%,-33.88%,29.05%,7.88%,14.71%,-20.58%,34.00%,13.25%,5.32%,-3.47%,31.40%,-15.86%
38,Profit Margin,25.68%,2.06%,5.91%,-17.91%,26.68%,-0.95%,0.33%,-24.99%,32.12%,15.48%,18.42%,-10.93%,33.01%,13.19%,2.08%,-0.69%,29.07%,-13.93%
39,Free Cash Flow Margin,-,-9.34%,-0.86%,-118.03%,32.07%,-10.00%,-8.37%,-124.39%,33.84%,0.57%,-3.92%,-120.87%,36.93%,3.66%,-7.03%,-86.40%,44.62%,-129.15%
40,EBITDA,301.8,7.19,6.96,-71.49,237.51,-10.77,-25.04,-107.46,365.76,55.49,106.87,-60.43,431.51,91.7,34.82,-6.59,342.24,-20.56
41,EBITDA Margin,34.13%,1.52%,1.42%,-24.31%,22.34%,-2.31%,-4.42%,-31.10%,29.83%,9.19%,16.13%,-18.19%,34.64%,14.29%,6.64%,-1.72%,31.89%,-12.88%
42,D&A For EBITDA,9.03,9.03,8.73,9.03,9.03,9.64,9.95,9.64,9.64,7.93,9.44,7.93,7.93,6.69,6.94,6.69,5.29,4.75
43,EBIT,292.77,-1.83,-1.77,-80.52,228.49,-20.4,-35,-117.09,356.12,47.56,97.43,-68.36,423.58,85,27.88,-13.29,336.95,-25.31
44,EBIT Margin,33.11%,-0.39%,-0.36%,-27.39%,21.49%,-4.38%,-6.18%,-33.88%,29.05%,7.88%,14.71%,-20.58%,34.00%,13.25%,5.32%,-3.47%,31.40%,-15.86%
45,Effective Tax Rate,0.98%,-,1.06%,-,-,-,21.10%,-,2.56%,-,10.03%,-,7.90%,1.10%,65.28%,-,10.28%,-
46,Revenue as Reported,-,473.78,490.16,294.02,1063,466.2,566.26,345.57,1226,603.66,662.43,332.18,1246,641.62,524.49,382.55,1073,159.65
47,Advertising Expenses,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.41
