,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
11,Other Intangible Assets,11.46,11.75,5.34,5.42,5.49,5.25,5.33,5.41,-,5.4,-,5.54,5.54,5.63,5.63
12,Long-Term Deferred Tax Assets,5.12,3.88,5.09,3.52,4.68,4.99,4.6,1.5,-,2.82,-,1.03,1.03,1.84,1.84
13,Long-Term Deferred Charges,0.69,0.27,0.28,0.35,0.34,0.38,0.45,0.47,-,0.79,-,1.3,1.3,1.68,1.68
14,Other Long-Term Assets,-,12.92,-,50,-,-,-,2.25,-,-,-,0.04,0.04,0.04,0.04
15,Total Assets,1388,1357,1311,1417,1385,1324,501.14,541.56,-,360.91,-,344.88,344.88,295.48,295.48
16,Accounts Payable,165.13,168.01,142.04,151.43,144.36,125.67,155.04,183.37,-,100.82,-,98.94,98.94,104.56,104.56
17,Accrued Expenses,12.06,12.96,8.3,16.16,14.73,13.94,14,28.36,-,20.77,-,20.19,20.19,11.25,11.25
18,Short-Term Debt,16.1,0.1,0.1,90.06,90,-,-,-,-,-,-,-,-,20,20
19,Current Portion of Leases,0.81,0.78,0.91,0.83,0.32,0.31,0.39,1.29,-,2.52,-,3.26,3.26,3.2,3.2
20,Current Income Taxes Payable,3.75,0.15,0.9,2.87,8.44,0.01,5.36,4.92,-,0.01,-,3.73,3.73,0,0
21,Current Unearned Revenue,27.14,20.73,12.04,6.8,13.59,24.15,42.39,41.05,-,13.37,-,5.26,5.26,21.07,21.07
22,Other Current Liabilities,6.7,4.85,2.53,2.35,3.55,17.56,8.05,8.51,-,9.53,-,11.18,11.18,10.82,10.82
23,Total Current Liabilities,231.7,207.58,166.81,270.51,274.99,181.64,225.23,267.5,-,147.01,-,142.56,142.56,170.91,170.91
24,Long-Term Debt,-,-,-,-,-,44.1,44.1,37.03,-,31.82,-,31.82,31.82,2.54,2.54
25,Long-Term Leases,2.24,2.46,2.28,2.46,0.14,0.07,0.93,0.15,-,-,-,0.97,0.97,2.36,2.36
26,Long-Term Unearned Revenue,0.7,0.5,0.52,0.54,0.56,0.58,0.6,0.12,-,0.17,-,0.21,0.21,0.25,0.25
27,Total Liabilities,234.64,210.55,169.62,273.51,275.69,226.39,270.87,304.8,-,179,-,175.55,175.55,176.06,176.06
28,Common Stock,53.34,53.34,53.34,53.34,53.34,53.34,40,40,-,40,-,40,40,40,40
29,Additional Paid-In Capital,888.53,886.25,883.98,881.69,881,877.35,32.09,32.09,-,32.09,-,32.09,32.09,32.09,32.09
30,Retained Earnings,211.29,206.78,203.9,208.86,174.9,167.38,158.17,164.66,-,109.79,-,97.22,97.22,47.33,47.33
31,Comprehensive Income & Other,-0.14,-0.06,-0,0.01,0.01,0.01,0.01,0.01,-,0.03,-,0.02,0.02,-0,-0
32,Shareholders' Equity,1153,1146,1141,1144,1109,1098,230.27,236.76,-,181.91,169.33,169.33,169.33,119.42,119.42
33,Total Liabilities & Equity,1388,1357,1311,1417,1385,1324,501.14,541.56,-,360.91,-,344.88,344.88,295.48,295.48
34,Total Debt,19.16,3.35,3.29,93.35,90.45,44.48,45.42,38.47,-,34.33,36.05,36.05,36.05,28.1,28.1
35,Net Cash (Debt),746.24,816.63,810.47,787.36,796.59,844.24,38.6,109.62,-,18.24,50.84,50.84,50.84,5.77,5.77
36,Net Cash Growth,-6.32%,-3.27%,1999.44%,618.26%,-,4527.54%,-24.07%,115.62%,-,216.00%,780.58%,-,-,-,-
37,Net Cash Per Share,14.67,15.73,14.69,13.85,16.30,16.83,0.95,2.78,-,0.46,1.22,1.27,1.27,0.14,0.14
38,Filing Date Shares Outstanding,53.34,53.34,53.34,53.34,53.34,53.34,40,40,39.09,40,41.71,40,40,40,40
39,Total Common Shares Outstanding,53.34,53.34,53.34,53.34,53.34,53.34,40,40,39.09,40,41.71,40,40,40,40
40,Working Capital,1020,1012,1026,983.53,998.87,1033,172.9,183.66,-,140.6,-,137.24,137.24,89.02,89.02
41,Book Value Per Share,21.62,21.49,21.40,21.45,20.80,20.59,5.76,5.92,-,4.55,4.23,4.23,4.23,2.99,2.99
42,Tangible Book Value,1142,1135,1136,1138,1104,1093,224.94,231.35,-,176.51,163.79,163.79,163.79,113.79,113.79
43,Tangible Book Value Per Share,21.40,21.27,21.30,21.34,20.69,20.49,5.62,5.78,-,4.41,4.09,4.09,4.09,2.84,2.84
44,Buildings,-,102.87,-,96.91,-,-,-,-,-,-,-,-,-,-,-
45,Machinery,-,16.71,-,15.12,-,-,-,11.77,-,11.18,-,10.93,10.93,9.66,9.66
46,Construction In Progress,-,-,-,-,-,-,-,74.19,-,56.21,-,46.62,46.62,14.42,14.42
