,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
25,Total Current Liabilities,-,1370,1403,1513,1304,689.47,311.75,233.33,312.96,255.89,183.68,125.85,123.53,-,125.26,-
26,Long-Term Debt,-,100,100,-,-,-,-,-,-,-,-,-,-,-,-,-
27,Long-Term Leases,-,9.14,2.43,13.12,15.35,3.23,5.19,3.06,3.24,5.3,3.39,3.48,0.98,-,0.04,-
28,Long-Term Unearned Revenue,-,380.3,381.73,363.19,365.75,292.11,288.8,302.34,286.56,283.15,267.69,259.83,263.68,-,194.46,-
29,Long-Term Deferred Tax Liabilities,-,-,-,-,-,-,-,6.75,-,12.95,10.61,7.51,7.78,-,8.32,-
30,Total Liabilities,-,1860,1887,1889,1685,984.8,605.74,545.48,602.76,557.29,465.37,396.67,395.97,-,328.08,-
31,Common Stock,-,429.71,429.71,429.71,429.71,429.71,429.71,429.71,429.71,429.71,429.71,429.71,386.74,-,386.74,-
32,Additional Paid-In Capital,-,5099,5088,5088,5088,5065,5065,5065,5065,5065,5064,5064,1904,-,1904,-
33,Retained Earnings,-,-146.2,-187.35,-243.14,-289.24,-311.77,-315.57,-271.01,-243.52,-184.96,-140.47,-111.39,-67.63,-,-109.67,-
34,Treasury Stock,-,-100.24,-100.24,-53.03,-,-,-,-,-,-,-,-,-,-,-,-
35,Comprehensive Income & Other,-,-1.66,-6.38,-3.22,-2.1,-2.85,-2.12,-1.41,-0.38,-1,-1.05,-0.86,-0.59,-,-0.39,-
36,Shareholders' Equity,5280,5280,5224,5218,5227,5180,5177,5222,5250,5308,5353,5382,2222,-,2181,2133
37,Total Liabilities & Equity,-,7140,7111,7107,6911,6165,5782,5767,5853,5866,5818,5779,2618,-,2509,-
38,Total Debt,509.14,509.14,409.98,113.12,18.55,8.12,5.89,8.62,3.95,5.3,3.39,3.48,0.98,-,0.04,-
39,Net Cash (Debt),515.98,515.98,648.16,1042,1286,1124,1557,2049,2470,2916,3251,3314,342.66,-,520.51,572.86
40,Net Cash Growth,-59.88%,-54.07%,-58.38%,-49.15%,-47.93%,-61.47%,-52.10%,-38.18%,620.89%,-,524.65%,478.42%,-,-,-,-
41,Net Cash Per Share,1.23,1.14,1.51,2.49,3.36,2.60,3.50,5.09,5.47,7.23,7.05,8.33,0.82,-,1.30,1.44
42,Filing Date Shares Outstanding,418.41,427.71,427.71,428.72,429.71,429.71,429.71,429.71,429.71,429.71,429.71,429.71,429.71,348.7,386.74,398.15
43,Total Common Shares Outstanding,427.71,427.71,427.71,428.72,429.71,429.71,429.71,429.71,429.71,429.71,429.71,429.71,386.74,348.7,386.74,398.15
44,Working Capital,-,1524,1420,1364,1500,1650,2232,2717,3001,3340,3738,3923,866.48,-,927.77,-
45,Book Value Per Share,12.35,12.35,12.21,12.17,12.16,12.05,12.05,12.15,12.22,12.35,12.46,12.52,5.75,-,5.64,5.52
46,Tangible Book Value,5014,5014,4955,4947,4953,4909,4904,4948,4998,5055,5098,5129,1968,-,1923,1875
47,Tangible Book Value Per Share,11.72,11.72,11.58,11.54,11.53,11.42,11.41,11.51,11.63,11.76,11.86,11.94,5.09,-,4.97,4.85
48,Buildings,-,-,1732,-,1493,-,297.92,-,297.89,-,245.34,-,243.7,-,242.17,-
49,Machinery,-,-,2849,-,2702,-,1848,-,1447,-,1249,-,1218,-,1191,-
50,Construction In Progress,-,-,154.71,-,204.92,-,1373,-,1025,-,537.91,-,263.88,-,77.51,-
