,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
10,Operating Income,23.47,53.63,42.71,41.8,-39.13,-1.16,-51.79,-49.37,-125.23,-54.48,-59.95,-50.33,-69.31,7.21,26.3,26.23
11,Interest Expense,-10.99,-2.97,-1.5,-0.15,-0.08,-0.08,-0.03,-0.03,-32.24,-0.05,-0.03,-0.02,-0.01,-0,-0,-
12,Interest & Investment Income,4.62,2.88,3.82,4.29,3.96,6.84,5.26,15.71,-,22.14,26.96,3.32,1.05,1.4,1.56,1.96
13,Currency Exchange Gain (Loss),-,-6.58,6.58,-,-0.87,-0.09,0.09,-,-1.57,-0.21,0.21,-,-0.43,0.19,-0.19,-
14,Other Non Operating Income (Expenses),-1.85,2.34,-0.97,1.05,-1.62,0.22,0.51,-0.3,-2.68,0.77,0.29,1.69,0.72,1.34,-0.09,0.12
15,EBT Excluding Unusual Items,15.25,49.31,50.64,46.98,-37.74,5.73,-45.96,-33.99,-161.71,-31.83,-32.5,-45.34,-67.97,10.15,27.57,28.31
16,Gain (Loss) on Sale of Investments,0.05,-0.1,-0.04,0.09,2.86,1.22,2.6,0.12,34.44,-,-0.16,-0.01,-0.29,-0.03,-0.13,-
17,Gain (Loss) on Sale of Assets,-0.21,0.15,-0.04,0.1,0.1,-,-0,-0.37,-,-,-,-,-0.01,-,-,0.13
18,Asset Writedown,3.33,-3.33,1.66,-1.66,7.38,-7.38,2.09,-2.09,7.19,-7.19,-,-,0.03,-0.03,-,-
19,Other Unusual Items,-,-5.21,5.21,-,49.27,1.68,-1.68,-,60.17,-4.85,4.85,-,86.12,-2.16,2.16,-
20,Pretax Income,18.42,40.82,57.43,45.51,21.87,1.25,-42.96,-36.33,-59.9,-43.87,-27.82,-45.35,17.87,7.92,29.6,28.44
21,Income Tax Expense,-19.01,-0.33,1.64,-0.59,-0.66,-2.55,0.94,-8.17,-2.01,0.92,1.41,-1.58,-18.54,2.3,5.58,4.55
22,Net Income,37.43,41.14,55.79,46.1,22.53,3.8,-43.9,-28.16,-57.89,-44.79,-29.23,-43.77,36.42,5.63,24.02,23.89
23,Net Income to Common,37.43,41.14,55.79,46.1,22.53,3.8,-43.9,-28.16,-57.89,-44.79,-29.23,-43.77,36.42,5.63,24.02,23.89
24,Net Income Growth,66.12%,982.08%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,Shares Outstanding (Basic),418,451,430,419,383,432,445,402,452,403,461,398,417,349,400,398
26,Shares Outstanding (Diluted),418,451,430,419,383,432,445,402,452,403,461,398,417,349,400,398
27,Shares Change (YoY),9.30%,4.44%,-3.48%,4.19%,-15.29%,7.15%,-3.35%,1.10%,8.32%,15.64%,15.15%,-0.07%,-,-,-,-
28,EPS (Basic),0.09,0.09,0.13,0.11,0.06,0.01,-0.10,-0.07,-0.13,-0.11,-0.06,-0.11,0.09,0.02,0.06,0.06
29,EPS (Diluted),0.09,0.09,0.13,0.11,0.06,0.01,-0.10,-0.07,-0.13,-0.11,-0.06,-0.11,0.09,0.02,0.06,0.06
30,EPS Growth,51.99%,936.16%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
31,Free Cash Flow,-,-90.15,-191.2,-274.37,-86.4,-408.28,-473.05,-428.54,-423.51,-356.83,-83.51,-228.98,-105.67,-69.88,-8.14,-41.98
32,Free Cash Flow Per Share,-,-0.20,-0.44,-0.65,-0.23,-0.95,-1.06,-1.07,-0.94,-0.88,-0.18,-0.58,-0.25,-0.20,-0.02,-0.11
33,Gross Margin,295.29%,33.51%,23.29%,21.92%,14.06%,19.85%,8.85%,12.07%,-3.16%,-5.42%,-7.55%,-23.43%,-9.86%,38.84%,39.16%,39.91%
34,Operating Margin,4.82%,14.54%,8.78%,9.81%,-9.19%,-0.30%,-21.14%,-25.57%,-84.87%,-50.13%,-64.35%,-74.40%,-56.01%,5.86%,21.85%,20.67%
35,Profit Margin,7.69%,11.15%,11.48%,10.82%,5.29%,0.98%,-17.92%,-14.58%,-39.24%,-41.22%,-31.38%,-64.70%,29.43%,4.58%,19.96%,18.83%
36,Free Cash Flow Margin,-,-24.43%,-39.33%,-64.40%,-20.29%,-105.56%,-193.14%,-221.95%,-287.03%,-328.35%,-89.64%,-338.50%,-85.39%,-56.87%,-6.77%,-33.08%
37,EBITDA,77.01,107.17,126.9,95.33,14.41,34.44,-8.64,-13.77,-89.63,-21.4,-25.39,-17.25,-36.24,33.87,58.86,52.89
38,EBITDA Margin,15.81%,29.04%,26.10%,22.38%,3.38%,8.90%,-3.53%,-7.13%,-60.74%,-19.69%,-27.25%,-25.51%,-29.28%,27.56%,48.92%,41.68%
39,D&A For EBITDA,53.54,53.54,84.19,53.54,53.54,35.6,43.14,35.6,35.6,33.08,34.56,33.08,33.08,26.66,32.56,26.66
40,EBIT,23.47,53.63,42.71,41.8,-39.13,-1.16,-51.79,-49.37,-125.23,-54.48,-59.95,-50.33,-69.31,7.21,26.3,26.23
41,EBIT Margin,4.82%,14.54%,8.78%,9.81%,-9.19%,-0.30%,-21.14%,-25.57%,-84.87%,-50.13%,-64.35%,-74.40%,-56.01%,5.86%,21.85%,20.67%
42,Effective Tax Rate,-,-,2.85%,-,-,-,-,-,-,-,-,-,-,29.00%,18.84%,15.99%
43,Revenue as Reported,-,368.99,486.16,426.07,425.92,386.77,244.93,193.08,147.55,108.67,93.16,67.64,123.75,122.89,120.32,126.89
