,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
13,EV/FCF Ratio,-,-,-,24.00,-,54.50,-213.51,-,-28.64,-,-,-,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.69,0.69,0.69,0.67,0.66,0.65,0.61,0.54,0.59,0.53,0.54,0.52,0.76,3.24,2.82,3.18,3.03,3.03,2.49,2.49,2.49
15,Debt / EBITDA Ratio,24.50,9.39,7.74,13.73,-,-,6.74,7.15,-,-,7.11,9.77,6.33,-,8.88,11.06,7.99,48.75,9.79,63.26,63.26
16,Debt / FCF Ratio,-,-,-,5.29,-,9.03,-36.08,-,-5.05,-,-,-,-,53.41,-,-,-74.39,-,-,-,-
17,Asset Turnover,-,0.35,0.50,0.38,0.46,0.41,0.62,0.18,0.55,0.44,0.30,0.48,0.48,0.52,-,-,-,-,0.37,-,
18,Inventory Turnover,-,-,0.65,1.09,0.85,1.20,0.78,1.18,0.38,1.16,0.89,0.70,1.05,0.97,1.03,-,-,-,-,0.63,-
19,Quick Ratio,-,-,0.42,0.51,0.48,0.55,0.50,0.46,0.48,0.59,0.61,0.69,1.01,0.27,0.30,0.32,-,0.24,-,0.19,0.19
20,Current Ratio,-,-,1.27,1.28,1.36,1.36,1.30,1.29,1.32,1.47,1.57,1.62,1.78,1.04,1.07,1.06,-,1.13,-,1.04,1.04
21,Return on Equity (ROE),13.81%,-4.23%,1.47%,-8.83%,-25.87%,-12.79%,4.08%,-9.39%,-4.69%,3.79%,2.54%,11.41%,-7.08%,8.84%,4.59%,26.55%,-6.73%,-3.12%,-15.12%,-,
22,Return on Assets (ROA),-,1.52%,-0.25%,-1.55%,-6.07%,1.61%,0.54%,-1.77%,-2.39%,1.31%,0.08%,2.64%,-5.98%,2.04%,-,-,-,-,-0.60%,-,
23,Return on Capital (ROIC),2.08%,2.67%,-0.45%,-2.69%,-10.19%,2.63%,0.87%,-2.82%,-3.71%,1.98%,0.11%,4.10%,-10.23%,3.37%,1.16%,4.32%,-0.63%,2.70%,-1.15%,-,
24,Return on Capital Employed (ROCE),-,-,-5.13%,-,-,-,-1.48%,-1.86%,-,-,-0.50%,-0.33%,0.01%,-,4.67%,4.13%,-,-,-,-,-
25,Earnings Yield,0.06%,0.09%,-2.70%,-4.22%,-3.57%,-3.01%,-1.69%,-0.45%,-0.58%,0.72%,0.94%,0.72%,0.65%,-,-,-,-,-,-,-,-
26,FCF Yield,-,0.57%,4.46%,-1.01%,1.91%,-0.49%,-2.36%,-3.54%,-6.63%,-4.30%,-3.88%,-2.76%,-,-,-,-,-,-,-,-,
27,Payout Ratio,0.00%,-,-,271.43%,-,-,-,38.89%,-,-,32.05%,113.92%,26.26%,-,75.72%,302.08%,20.54%,-,-,-,-
28,Buyback Yield / Dilution,-1.36%,-6.39%,9.49%,6.56%,-7.45%,-115.31%,-10.21%,0.48%,-0.00%,49.92%,-112.54%,-13.70%,-31.91%,-9.24%,35.72%,-26.11%,6.34%,-,-,-,-
29,Total Shareholder Return,-1.36%,-6.39%,9.49%,6.56%,-7.45%,-115.31%,-10.21%,0.48%,-0.00%,49.92%,-112.54%,-13.70%,-31.91%,-9.24%,35.72%,-26.11%,6.34%,-,-,-,-
