,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
27,Total Current Liabilities,706.56,606.14,619.7,694.93,523.36,470.68,-,592.9,-,-,-,463.36,463.36,481.89,481.89
28,Long-Term Leases,12.08,13.91,15.75,17.67,13.88,14.46,-,13.64,-,-,-,18.78,18.78,22.02,22.02
29,Long-Term Unearned Revenue,13.49,14.13,15.44,16.74,14.91,16.12,-,16.29,-,-,-,8.23,8.23,9.51,9.51
30,Long-Term Deferred Tax Liabilities,3.03,3.21,3.77,3.88,2.92,3.04,-,2.93,-,-,-,0.01,0.01,-,-
31,Other Long-Term Liabilities,11.06,11.33,11.69,11.69,11.45,11.32,-,11.37,-,-,-,12.43,12.43,11.06,11.06
32,Total Liabilities,746.22,648.71,666.36,744.92,566.53,515.64,-,637.11,-,-,-,502.81,502.81,524.48,524.48
33,Common Stock,92,92,92,92,92,92,-,69,-,-,-,69,69,69,69
34,Additional Paid-In Capital,861.53,861.53,861.53,861.53,861.53,861.53,-,48.02,-,-,-,48.02,48.02,48.02,48.02
35,Retained Earnings,323.87,300.81,317.92,299.83,255.39,277.83,-,232.26,-,-,-,127.6,127.6,79.96,79.96
36,Comprehensive Income & Other,-0.01,-0.03,-0.01,-0,-,-,-,-,-,-,-,-,-,-,-
37,Shareholders' Equity,1277,1254,1271,1253,1209,1231,349.28,349.28,-,-,244.62,244.62,244.62,196.98,196.98
38,Total Liabilities & Equity,2024,1903,1938,1998,1775,1747,-,986.39,-,-,-,747.43,747.43,721.45,721.45
39,Total Debt,19.41,20.57,22.21,43.27,39.28,40.28,34.21,34.21,-,-,50.13,50.13,50.13,65.29,65.29
40,Net Cash (Debt),1056,1009,972.49,1081,995.22,999.08,163.88,163.88,-,-,63.78,63.78,63.78,102.52,102.52
41,Net Cash Growth,6.06%,1.00%,493.43%,559.86%,-,-,156.92%,156.92%,-,-,-37.79%,-,-,-,-
42,Net Cash Per Share,11.50,10.94,10.57,12.82,10.83,14.45,2.38,2.38,-,-,-,0.92,0.92,1.48,1.48
43,Filing Date Shares Outstanding,92,92,92,92,92,92,68.99,69,69.35,68.93,-,69,69,69,69
44,Total Common Shares Outstanding,92,92,92,92,92,92,68.99,69,69.35,68.93,-,69,69,69,69
45,Working Capital,1024,1027,1060,1051,1037,1059,-,202.32,-,-,-,114.12,114.12,80.73,80.73
46,Book Value Per Share,13.88,13.63,13.82,13.62,13.14,13.38,5.06,5.06,-,-,3.55,3.55,3.55,2.85,2.85
47,Tangible Book Value,1271,1249,1266,1251,1206,1228,346.02,346.02,-,-,239.62,239.62,239.62,195.18,195.18
48,Tangible Book Value Per Share,13.82,13.57,13.76,13.59,13.11,13.35,5.01,5.01,-,-,3.47,3.47,3.47,2.83,2.83
49,Buildings,-,2.78,-,2.78,-,2.78,-,2.78,-,-,-,2.78,2.78,2.78,2.78
50,Machinery,-,197.09,-,208.47,-,180.14,-,188.55,-,-,-,156.14,156.14,151.92,151.92
51,Construction In Progress,-,27.7,-,26.35,-,27.86,-,15.88,-,-,-,4.34,4.34,2.73,2.73
