,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
30,EPS Growth,-6.93%,11.20%,-19.55%,-69.15%,55.88%,16.59%,-11.54%,204.03%,-52.41%,-25.17%,23.80%,-,-,-,-
31,Free Cash Flow,-31.08,-27.39,25.93,32.02,-5.64,-2.42,28.44,15.52,62.57,-2.24,0.14,-3.48,-8.92,5.93,-2.41
32,Free Cash Flow Per Share,-0.37,-0.32,0.31,0.37,-0.07,-0.03,0.33,0.75,0.49,-0.03,0.00,-0.05,-0.14,0.09,-0.04
33,Dividend Per Share,-,-,-,0.966,-,-,-,0.483,-,-,-,-,-,-,-
34,Dividend Growth,-,-,-,99.98%,-,-,-,-,-,-,-,-,-,-,-
35,Gross Margin,17.10%,17.19%,20.66%,18.72%,19.93%,21.15%,24.03%,19.00%,20.54%,14.31%,18.06%,16.42%,24.96%,24.93%,24.38%
36,Operating Margin,7.32%,7.69%,8.27%,7.20%,9.65%,9.47%,13.75%,5.70%,12.28%,7.03%,9.95%,6.23%,14.77%,14.37%,11.57%
37,Profit Margin,7.13%,9.05%,10.00%,9.77%,9.24%,10.24%,14.07%,9.15%,9.78%,5.26%,8.26%,7.07%,10.93%,11.82%,10.58%
38,Free Cash Flow Margin,-9.39%,-8.89%,11.99%,12.64%,-2.06%,-1.00%,14.77%,7.34%,25.10%,-0.73%,0.05%,-1.25%,-3.82%,3.23%,-1.38%
39,EBITDA,25.62,25.07,19.27,19.64,28.06,24.56,28.1,13.67,32.21,23.24,29.03,19,36.1,27.97,21.84
40,EBITDA Margin,7.74%,8.14%,8.92%,7.75%,10.23%,10.08%,14.59%,6.46%,12.92%,7.54%,10.53%,6.80%,15.45%,15.24%,12.49%
41,D&A For EBITDA,1.39,1.39,1.39,1.39,1.61,1.5,1.61,1.61,1.59,1.59,1.59,1.59,1.59,1.59,1.59
42,EBIT,24.23,23.68,17.88,18.25,26.45,23.06,26.49,12.06,30.62,21.65,27.44,17.41,34.5,26.38,20.24
43,EBIT Margin,7.32%,7.69%,8.27%,7.20%,9.65%,9.47%,13.75%,5.70%,12.28%,7.03%,9.95%,6.23%,14.77%,14.37%,11.57%
44,Effective Tax Rate,9.68%,7.85%,15.14%,17.96%,9.92%,10.10%,11.33%,5.29%,15.76%,12.75%,10.54%,8.35%,12.87%,14.73%,14.16%
45,Revenue as Reported,330.97,308.11,216.14,253.41,274.24,243.59,192.61,211.53,249.28,308.11,275.81,279.61,233.59,183.51,174.9
