,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
41,Total Liabilities & Equity,2419,2235,2352,2318,2076,1884,1074,1108,-,-,-
42,Total Debt,71.02,121.06,109.72,109.89,52.01,52.1,105.54,125.65,-,-,102.03
43,Net Cash (Debt),369.51,455.11,540.43,668.45,695.68,732.46,-51.58,23.03,-,-,-32.78
44,Net Cash Growth,-46.89%,-37.87%,-,2802.10%,-,-,-,-,-,-,-
45,Net Cash Per Share,2.03,2.49,2.95,3.64,3.80,4.81,-0.37,0.17,-,-,-0.24
46,Filing Date Shares Outstanding,183.01,181.99,183.01,183.01,183.01,183.01,137.26,137.26,137.3,140.06,134.42
47,Total Common Shares Outstanding,183.01,181.99,183.01,183.01,183.01,183.01,137.26,137.26,137.3,140.06,134.42
48,Working Capital,1113,1084,1135,1087,1175,1182,383.21,349.77,-,-,-
49,Book Value Per Share,8.83,8.45,8.49,8.26,8.15,7.89,4.30,4.10,-,-,3.42
50,Tangible Book Value,1492,1444,1459,1420,1459,1411,557.83,530.4,-,-,435.39
51,Tangible Book Value Per Share,8.15,7.93,7.97,7.76,7.97,7.71,4.06,3.86,-,-,3.17
52,Buildings,-,146.57,-,146.44,-,-,-,101.88,-,-,-
53,Machinery,-,417.58,-,386.15,-,422.99,-,290.63,-,-,-
54,Construction In Progress,-,15.3,-,41.24,-,14.42,-,13.57,-,-,-
