,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
28,Shares Outstanding (Basic),411,392,422,388,424,382,406,392,401,405,400,396,402,398,358,359,357,360,359,-
29,Shares Outstanding (Diluted),411,392,422,388,424,382,406,392,401,405,400,396,402,398,358,359,357,360,359,-
30,Shares Change (YoY),-3.00%,2.58%,3.93%,-1.12%,5.79%,-5.56%,1.52%,-1.05%,-0.38%,1.68%,11.71%,10.49%,12.52%,10.53%,-0.16%,-,-,-,-,-
31,EPS (Basic),0.14,0.18,0.14,0.09,-0.02,0.03,0.04,0.24,0.29,0.12,0.80,0.29,0.49,0.31,0.72,0.31,0.49,0.32,0.59,-
32,EPS (Diluted),0.14,0.18,0.14,0.09,-0.02,0.03,0.04,0.24,0.29,0.12,0.80,0.29,0.49,0.31,0.72,0.31,0.49,0.32,0.59,-
33,EPS Growth,-,576.75%,217.97%,-62.50%,-,-78.51%,-94.56%,-17.24%,-40.49%,-60.32%,10.73%,-6.45%,-0.58%,-1.87%,21.51%,-,-,-,-,-
34,Free Cash Flow,-,43.31,126.51,7.37,12.77,24.37,11.6,27.72,134.3,-98.07,190.76,165.81,245.79,77.36,301.45,51.24,215.07,47.7,279.35,52.42
35,Free Cash Flow Per Share,-,0.11,0.30,0.02,0.03,0.06,0.03,0.07,0.34,-0.24,0.48,0.42,0.61,0.19,0.84,0.14,0.60,0.13,0.78,-
36,Dividend Per Share,-,0.050,0.070,-,0.120,-,-,-,0.410,-,-,-,0.520,-,-,-,-,-,-,-
37,Dividend Growth,-,-,-,-,-70.61%,-,-,-,-21.15%,-,-,-,-,-,-,-,-,-,-,-
38,Gross Margin,203.75%,69.65%,65.05%,59.46%,42.73%,73.05%,59.33%,73.97%,68.23%,77.46%,78.35%,81.13%,78.73%,82.15%,79.99%,84.47%,78.58%,85.13%,82.42%,79.49%
39,Operating Margin,24.86%,29.14%,13.40%,8.37%,-37.02%,13.34%,3.19%,23.73%,21.17%,12.14%,42.52%,31.40%,32.82%,29.06%,43.93%,32.02%,31.64%,36.36%,45.12%,23.44%
40,Profit Margin,15.59%,21.39%,14.46%,10.03%,-4.82%,3.70%,4.24%,24.15%,22.70%,15.01%,38.81%,29.66%,33.62%,26.34%,38.26%,26.41%,31.18%,26.85%,39.01%,19.23%
41,Free Cash Flow Margin,-,13.02%,31.42%,2.12%,6.35%,8.79%,2.79%,7.11%,26.25%,-29.13%,23.21%,42.78%,42.16%,16.28%,44.71%,12.17%,38.27%,11.10%,51.26%,18.26%
42,EBITDA,105.81,111.05,67.4,43.22,-60.33,51.21,27.46,106.72,122.58,53.75,363.5,134.57,204.17,148.32,306.39,145.07,188.2,174.11,263.66,69.98
43,EBITDA Margin,28.68%,33.37%,16.74%,12.42%,-30.01%,18.48%,6.61%,27.38%,23.96%,15.97%,44.22%,34.72%,35.02%,31.21%,45.44%,34.45%,33.49%,40.50%,48.38%,24.38%
44,D&A For EBITDA,14.09,14.09,13.46,14.09,14.09,14.23,14.19,14.23,14.23,12.87,13.99,12.87,12.87,10.19,10.19,10.24,10.41,17.79,17.79,2.7
45,EBIT,91.72,96.96,53.94,29.13,-74.42,36.98,13.27,92.49,108.36,40.88,349.51,121.7,191.3,138.13,296.2,134.83,177.79,156.32,245.86,67.28
46,EBIT Margin,24.86%,29.14%,13.40%,8.37%,-37.02%,13.34%,3.19%,23.73%,21.17%,12.14%,42.52%,31.40%,32.82%,29.06%,43.93%,32.02%,31.64%,36.36%,45.12%,23.44%
47,Effective Tax Rate,24.73%,18.24%,14.08%,13.56%,-,-,27.43%,14.51%,19.64%,5.26%,14.82%,14.31%,12.27%,14.03%,16.85%,14.11%,14.54%,16.47%,13.49%,24.55%
48,Revenue as Reported,-,332.74,402.63,347.91,201.02,277.14,415.6,389.78,511.73,336.66,822.01,387.57,582.95,475.28,674.24,421.08,561.91,429.89,831.98,-
