,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
17,Gain (Loss) on Sale of Assets,-0.07,0,-0,0.09,-,-,-,0.17,-,-,-,-,-,-,-,-,-,-,-,-
18,Asset Writedown,-3.16,1.02,-1.09,0.61,-0.76,0.37,-0.37,0.42,-0.76,0.24,-0.25,1.34,-1.36,0.43,-0.43,1.07,-1.07,0.27,-0.38,-0.05
19,Other Unusual Items,-0.6,-0.03,0,2.17,-,-,-,-0.22,-1.6,0.06,0,20.1,-,-,-,35.29,0.25,-0.25,-,12.63
20,Pretax Income,26.47,30.54,33.35,16.29,23.47,27.25,32.1,13.71,22.15,27.58,30.78,22.52,24.97,36.2,40.39,19.64,24.64,46.07,17.84,22.95
21,Income Tax Expense,3.2,3.22,4.82,1.12,2.79,3.72,4.28,-10.38,1.64,3.58,4.23,2.98,3.21,4.46,5.73,2.59,3.39,6.77,2.39,3.3
22,Earnings From Continuing Operations,23.26,27.32,28.53,15.17,20.67,23.53,27.82,24.09,20.51,24,26.55,19.54,21.76,31.75,34.66,17.05,21.25,39.3,15.44,19.65
23,Minority Interest in Earnings,0.1,-0.22,0.01,-0.02,0.02,0.05,0.04,0.05,0.03,0.01,-,-,-,-,-,-,-,-,-,-
24,Net Income,23.36,27.1,28.54,15.15,20.7,23.58,27.86,24.14,20.54,24.01,26.55,19.54,21.76,31.75,34.66,17.05,21.25,39.3,15.44,19.65
25,Net Income to Common,23.36,27.1,28.54,15.15,20.7,23.58,27.86,24.14,20.54,24.01,26.55,19.54,21.76,31.75,34.66,17.05,21.25,39.3,15.44,19.65
26,Net Income Growth,12.86%,14.95%,2.46%,-37.23%,0.75%,-1.80%,4.94%,23.56%,-5.59%,-24.35%,-23.42%,14.61%,2.37%,-19.22%,124.45%,-13.27%,-,-,-,-
27,Shares Outstanding (Basic),117,123,119,118,121,118,121,121,121,121,121,119,118,101,120,90,89,91,90,90
28,Shares Outstanding (Diluted),117,123,119,118,121,118,121,121,121,121,121,119,118,101,120,90,89,91,90,90
29,Shares Change (YoY),-3.50%,4.14%,-1.81%,-2.55%,0.54%,-2.61%,0.38%,1.25%,2.58%,19.65%,0.56%,32.20%,31.98%,11.28%,33.78%,0.19%,-,-,-,-
30,EPS (Basic),0.20,0.22,0.24,0.13,0.17,0.20,0.23,0.20,0.17,0.20,0.22,0.16,0.18,0.31,0.29,0.19,0.24,0.43,0.17,0.22
31,EPS (Diluted),0.20,0.22,0.24,0.13,0.17,0.20,0.23,0.20,0.17,0.20,0.22,0.16,0.18,0.31,0.29,0.19,0.24,0.43,0.17,0.22
32,EPS Growth,16.96%,10.38%,4.35%,-35.58%,0.21%,0.83%,4.55%,22.04%,-7.96%,-36.77%,-23.85%,-13.30%,-22.43%,-27.41%,67.77%,-13.43%,-,-,-,-
33,Free Cash Flow,-3.33,-8.13,-45.28,8.26,-45.15,-45.5,-35.85,-73.96,-37.06,-31.23,-71.52,16.74,-21.28,19.32,-36.89,50.51,-11.1,19.15,-55.62,7.61
34,Free Cash Flow Per Share,-0.03,-0.07,-0.38,0.07,-0.37,-0.39,-0.30,-0.61,-0.31,-0.26,-0.59,0.14,-0.18,0.19,-0.31,0.56,-0.12,0.21,-0.62,0.08
35,Dividend Per Share,-,-,-,0.230,-,-,-,0.230,-,-,-,0.233,-,-,-,0.233,-,-,-,-
36,Dividend Growth,-,-,-,0%,-,-,-,-1.41%,-,-,-,0%,-,-,-,-,-,-,-,-
37,Gross Margin,31.96%,28.94%,33.25%,29.80%,29.31%,28.58%,29.81%,28.64%,26.59%,29.14%,28.94%,26.52%,30.28%,30.70%,32.41%,30.06%,29.02%,31.06%,27.76%,47.19%
38,Operating Margin,22.08%,19.82%,23.00%,10.32%,18.33%,19.41%,21.69%,12.92%,18.35%,17.39%,21.58%,5.40%,24.58%,23.33%,28.04%,8.59%,20.77%,25.25%,27.94%,11.40%
39,Profit Margin,16.44%,17.87%,19.38%,11.15%,15.47%,17.71%,19.95%,22.66%,17.26%,18.62%,20.68%,17.93%,20.36%,23.19%,33.75%,16.41%,20.84%,37.12%,22.49%,18.85%
40,Free Cash Flow Margin,-2.34%,-5.36%,-30.74%,6.08%,-33.75%,-34.17%,-25.68%,-69.43%,-31.13%,-24.22%,-55.71%,15.37%,-19.91%,14.11%,-35.91%,48.63%,-10.89%,18.09%,-80.99%,7.30%
41,EBITDA,38.2,40.3,40.71,20.86,30.18,32.71,35.94,19.41,26.78,27.63,32.64,10.82,30.75,36.9,33.29,13.41,24.88,31.19,22.9,15.58
42,EBITDA Margin,26.89%,26.56%,27.64%,15.35%,22.56%,24.56%,25.74%,18.23%,22.50%,21.43%,25.43%,9.93%,28.78%,26.95%,32.41%,12.91%,24.40%,29.46%,33.34%,14.95%
43,D&A For EBITDA,6.83,10.24,6.83,6.83,5.65,6.86,5.65,5.65,4.94,5.21,4.94,4.94,4.49,4.96,4.49,4.49,3.7,4.46,3.7,3.7
44,EBIT,31.37,30.07,33.88,14.03,24.52,25.85,30.28,13.76,21.84,22.42,27.7,5.88,26.26,31.94,28.8,8.92,21.18,26.73,19.19,11.88
45,EBIT Margin,22.08%,19.82%,23.00%,10.32%,18.33%,19.41%,21.69%,12.92%,18.35%,17.39%,21.58%,5.40%,24.58%,23.33%,28.04%,8.59%,20.77%,25.25%,27.94%,11.40%
46,Effective Tax Rate,12.11%,10.54%,14.46%,6.85%,11.90%,13.67%,13.35%,-,7.42%,12.99%,13.74%,13.23%,12.87%,12.31%,14.18%,13.20%,13.77%,14.70%,13.41%,14.37%
47,Revenue as Reported,142.07,151.72,147.3,135.93,133.76,133.18,139.61,106.51,119.04,128.94,128.38,108.93,106.86,136.9,102.72,103.86,101.97,105.87,68.68,376.91
