,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
9,P/OCF Ratio,59.18,59.18,-,-,26.58,-,12.02,-,12.45,-,8.03,9.35,22.74,12.44,-,-,-,-,-,-
10,EV/Sales Ratio,2.09,2.67,2.45,3.61,4.30,1.00,1.58,1.57,1.28,0.95,1.57,1.88,2.59,2.27,-,-,-,-,-,-
11,EV/EBITDA Ratio,16.06,19.79,-,20.67,-,3.75,-,5.85,4.86,3.80,-,7.73,10.57,17.87,-,-,-,-,-,-
12,EV/EBIT Ratio,24.51,30.03,-,26.68,-,4.35,-,6.96,5.81,4.58,-,9.38,12.70,27.68,-,-,-,-,-,-
13,EV/FCF Ratio,44.47,56.89,-,-,24.62,-,9.16,-,8.34,-,5.02,6.69,20.25,10.35,-,-,-,-,-,-
14,Debt / Equity Ratio,-,-,-,-,-,-,-,-,-,0.00,0.00,0.00,0.00,-,-,-,-,-,-,-
15,Debt / EBITDA Ratio,-,-,-,-,-,-,-,-,-,0.00,-,0.00,0.00,-,-,-,-,-,-,-
16,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,-,0.00,0.00,0.00,-,-,-,-,-,-,-
17,Asset Turnover,0.46,0.09,0.47,0.15,0.60,0.16,0.48,0.30,0.51,0.13,0.53,0.32,0.56,0.17,0.55,-,-,-,-,
18,Inventory Turnover,5.56,8.37,2.28,6.83,2.87,9.90,3.53,6.86,5.40,7.40,2.02,6.71,4.71,6.52,2.52,6.06,-,-,-,-
19,Quick Ratio,3.34,3.34,3.60,3.15,3.19,3.07,2.74,3.23,2.90,3.35,2.91,2.79,2.99,2.83,2.57,2.64,2.39,-,2.10,-
20,Current Ratio,3.52,3.52,3.88,3.34,3.50,3.27,2.93,3.43,3.18,3.59,3.17,2.99,3.35,3.08,2.89,2.92,2.74,-,2.46,-
21,Return on Equity (ROE),12.86%,-3.72%,14.79%,-1.40%,25.36%,-1.52%,16.20%,23.51%,23.23%,-4.82%,18.27%,25.04%,27.81%,-9.14%,21.48%,-,-,-7.63%,-,
22,Return on Assets (ROA),7.35%,-3.47%,7.63%,-5.01%,11.05%,-2.04%,6.92%,6.30%,10.07%,-3.24%,7.00%,5.53%,11.52%,-4.69%,7.68%,-,-,-,-,
23,Return on Capital (ROIC),10.63%,-5.04%,11.19%,-7.34%,16.45%,-3.02%,10.10%,9.53%,15.94%,-5.24%,11.20%,9.01%,19.71%,-8.14%,13.35%,-,-,-5.21%,-,
24,Return on Capital Employed (ROCE),2.92%,3.05%,-,5.48%,-,10.26%,-,9.29%,9.51%,8.89%,-,9.00%,9.22%,3.38%,-,4.16%,-,-,-,-
25,Earnings Yield,3.60%,3.13%,4.62%,3.70%,3.32%,11.90%,9.96%,9.79%,10.82%,11.63%,9.27%,8.40%,6.79%,4.07%,-,-,-,-,-,-
26,FCF Yield,1.29%,1.12%,-1.74%,4.67%,3.11%,7.96%,6.23%,-0.62%,6.26%,6.36%,11.28%,9.70%,3.52%,6.88%,-,-,-,-,-,-
27,Dividend Yield,0.60%,-,-,-,0.34%,-,-,-,1.12%,-,-,-,0.70%,-,-,-,-,-,-,-
28,Payout Ratio,16.87%,29.32%,-,-,-,21.32%,-,-,-,-,-,-,-,9.52%,-,-,-,6.71%,-,-
29,Buyback Yield / Dilution,0.01%,0.05%,-0.02%,0.01%,-0.00%,-0.01%,0.01%,-0.02%,-0.01%,-7.15%,-11.09%,-11.11%,-11.10%,-3.70%,-0.04%,-,-,-,-,-
30,Total Shareholder Return,0.61%,0.05%,-0.02%,0.01%,0.34%,-0.01%,0.01%,-0.02%,1.11%,-7.15%,-11.09%,-11.11%,-10.40%,-3.70%,-0.04%,-,-,-,-,-
