,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,null null,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+19 Quarters
9,P/FCF Ratio,113.83,119.74,-,26.74,-,23.93,6040.44,40.54,-82.38,-,52.22,-,135.06,-,-,14.92,8.72,8.75,8.12,14.34,16.01,Upgrade
10,P/OCF Ratio,15.20,15.19,9.71,14.27,17.31,20.43,97.68,25.15,144.87,-,26.89,-,29.35,-,-,8.89,6.77,6.64,6.26,9.34,10.51,Upgrade
11,EV/Sales Ratio,1.60,1.54,1.43,1.78,2.26,2.46,1.94,1.66,1.62,1.50,1.98,1.74,1.54,-,1.16,1.18,1.35,1.55,1.40,1.42,1.48,Upgrade
12,EV/EBITDA Ratio,18.39,22.74,21.76,28.88,40.01,44.72,40.51,48.07,45.48,37.18,42.90,32.42,22.39,-,14.19,11.81,14.33,17.65,15.96,24.41,22.16,Upgrade
13,EV/EBIT Ratio,73.07,70.44,65.55,82.14,-,106.23,115.97,189.60,152.99,-,87.62,64.58,41.14,-,26.20,19.16,25.60,32.67,27.47,47.30,33.99,Upgrade
14,EV/FCF Ratio,157.78,151.92,-,31.68,-,28.14,7329.65,52.46,-107.09,-,69.30,-,180.62,-,-,18.88,10.89,10.43,9.84,17.97,19.41,Upgrade
15,Debt / Equity Ratio,0.60,0.60,0.48,0.47,0.48,0.47,0.67,0.71,0.70,0.68,-,0.72,0.72,-,0.66,0.68,0.59,0.74,0.76,0.70,0.81,Upgrade
16,Debt / EBITDA Ratio,5.89,7.62,3.80,5.84,4.09,7.24,5.10,10.65,3.04,20.14,-,9.42,2.64,-,4.45,4.02,3.43,5.10,3.49,10.03,6.34,Upgrade
17,Debt / FCF Ratio,50.53,50.47,-,7.06,-,4.06,1733.58,14.80,-30.11,-,-,-,61.71,-,-,6.29,2.96,3.01,3.10,5.73,6.24,Upgrade
18,Asset Turnover,0.73,0.65,0.64,0.67,0.72,0.74,0.65,0.84,-,-,0.67,-,-,0.88,0.81,0.94,0.79,0.76,0.47,0.89,Upgrade,
19,Inventory Turnover,23.72,25.92,23.54,26.78,27.16,29.37,45.80,55.43,71.05,-,-,215.96,-,-,674.44,650.86,1174.73,1410.88,970.64,684.32,1534.49,Upgrade
20,Quick Ratio,0.96,0.96,1.07,1.24,1.16,1.14,1.15,1.13,1.12,1.12,-,1.08,1.15,-,1.18,1.28,1.34,1.27,1.37,1.37,1.50,Upgrade
21,Current Ratio,1.18,1.18,1.24,1.41,1.30,1.35,1.29,1.26,1.23,1.28,-,1.26,1.25,-,1.27,1.48,1.44,1.43,1.46,1.63,1.56,Upgrade
22,Return on Equity (ROE),2.20%,5.46%,2.83%,-2.35%,7.16%,5.77%,2.72%,2.80%,-,-,0.54%,-,-,2.12%,6.63%,6.17%,5.92%,12.05%,-4.78%,5.63%,Upgrade,
23,Return on Assets (ROA),1.09%,1.43%,1.16%,-0.04%,1.07%,1.56%,0.81%,0.81%,-,-,1.13%,-,-,1.03%,3.09%,3.10%,2.30%,4.19%,0.29%,1.99%,Upgrade,
24,Return on Capital (ROIC),1.30%,1.71%,1.38%,-0.05%,1.29%,1.89%,0.99%,1.01%,-,-,1.42%,-,-,1.31%,3.91%,3.93%,2.82%,5.11%,0.35%,2.40%,Upgrade,
25,Return on Capital Employed (ROCE),2.14%,2.14%,2.21%,2.12%,-,2.64%,1.94%,1.03%,1.28%,-,-,2.76%,3.97%,-,6.14%,7.97%,6.45%,5.91%,6.53%,3.54%,5.57%,Upgrade
26,Earnings Yield,0.94%,0.90%,1.88%,1.26%,0.94%,1.26%,0.97%,0.61%,0.36%,0.86%,0.80%,1.06%,2.19%,-,3.02%,4.68%,2.72%,2.24%,2.05%,0.27%,1.73%,Upgrade
27,FCF Yield,0.88%,0.84%,4.74%,3.74%,3.16%,4.18%,0.02%,2.47%,-1.21%,-1.73%,1.92%,-2.18%,0.74%,-,4.19%,6.70%,11.47%,11.43%,12.31%,6.97%,6.25%,Upgrade
28,Dividend Yield,0.95%,-,-,-,0.57%,-,-,-,-,-,-,-,-,-,-,-,1.39%,-,-,-,7.36%,Upgrade
29,Payout Ratio,153.54%,121.22%,126.99%,34.96%,-,29.07%,24.11%,86.66%,146.18%,459.43%,5109.67%,2295.15%,38.18%,-,689.75%,31.24%,137.11%,32.37%,507.76%,-,77.47%,Upgrade
30,Buyback Yield / Dilution,26.50%,10.39%,12.27%,-15.77%,55.47%,0.38%,-,-14.92%,-129.53%,-,-,4.22%,4.90%,-,3.78%,-5.16%,-14.94%,5.19%,1.14%,-1.60%,2.77%,Upgrade
31,Total Shareholder Return,27.45%,10.39%,12.27%,-15.77%,56.04%,0.38%,-,-14.92%,-129.53%,-,-,4.22%,4.90%,-,3.78%,-5.16%,-13.55%,5.19%,1.14%,-1.60%,10.13%,Upgrade
