,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,null null,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+19 Quarters
40,Minority Interest,295.4,288.39,281.68,273.7,272.87,274.4,196.71,194.99,192.14,-,183.59,180.56,-,171,180.98,179.41,174.92,174.92,170.38,170.51,Upgrade
41,Shareholders' Equity,3257,3238,3235,3216,3002,2732,2599,2583,2555,-,2547,2562,-,2514,2585,2543,2516,2480,2788,2822,Upgrade
42,Total Liabilities & Equity,6236,5731,5648,5662,5360,5494,5386,5425,5290,-,5494,5594,-,5440,5298,5301,5381,5325,5785,6167,Upgrade
43,Total Debt,1964,1540,1512,1556,1414,1837,1835,1800,1735,-,1830,1851,-,1656,1749,1500,1860,1888,1958,2274,Upgrade
44,Net Cash (Debt),-1413,-963.71,-894.98,-946.52,-785.05,-1192,-1169,-1187,-1285,-,-1336,-1012,-,-878.78,-966.56,-550.6,-924.43,-863.4,-873.44,-692.62,Upgrade
45,Net Cash Per Share,-2.82,-2.28,-1.20,-1.43,-1.41,-2.47,-1.82,-0.80,-2.29,-,-2.38,-1.56,-,-1.55,-1.65,-0.81,-1.62,-1.47,-1.57,-1.17,Upgrade
46,Filing Date Shares Outstanding,603.47,603.47,603.47,603.47,587.78,560.35,560.35,560.35,560.35,-,560.28,560.28,-,567.08,560.28,560.28,560.28,560.28,560.27,560.27,Upgrade
47,Total Common Shares Outstanding,603.47,603.47,603.47,603.47,587.78,560.35,560.35,560.35,560.35,-,560.28,560.28,-,567.08,560.28,560.28,560.28,560.28,560.27,560.27,Upgrade
48,Working Capital,410.45,505.86,709.17,569.17,649.91,581.01,540.73,499.7,565.74,-,578.82,570.61,-,584.83,884.59,863.71,871.85,908.61,1334,1354,Upgrade
49,Book Value Per Share,4.91,4.89,4.89,4.88,4.64,4.39,4.29,4.26,4.22,-,4.22,4.25,-,4.13,4.29,4.22,4.18,4.11,4.67,4.73,Upgrade
50,Tangible Book Value,2398,2352,2359,2343,2118,1841,1858,1839,1828,-,1820,1833,-,1832,1890,1845,1894,1792,2204,2223,Upgrade
51,Tangible Book Value Per Share,3.97,3.90,3.91,3.88,3.60,3.29,3.32,3.28,3.26,-,3.25,3.27,-,3.23,3.37,3.29,3.38,3.20,3.93,3.97,Upgrade
52,Buildings,-,863.81,-,818.23,-,817.15,-,817.01,-,-,-,551.41,-,-,-,-,-,241.68,-,241.77,Upgrade
53,Machinery,-,1844,-,1837,-,1085,-,598.7,-,-,-,591.75,-,-,-,-,-,1333,-,1298,Upgrade
54,Construction In Progress,-,23.92,-,47.2,-,54.16,-,48.07,-,-,-,105.66,-,-,-,-,-,121.12,-,116.4,Upgrade
