,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,null null,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+19 Quarters
11,Interest Expense,-21.74,-17.32,-17.3,-21.94,-19.62,-21.54,-21.7,-17.84,-18.51,-19.55,-21.79,-56.98,-,-1.91,-18.26,-24.28,-15.97,-15.27,-26.04,-13.25,Upgrade
12,Interest & Investment Income,7.48,17,6.37,18.85,18.19,20.91,11.77,14.85,9.58,1.67,1.63,12.21,-,18.26,4.41,1.15,3.43,4.89,5.59,3.67,Upgrade
13,Currency Exchange Gain (Loss),-0.36,0.36,-,3.25,-3.93,3.93,-,3.8,-3.42,3.42,-,-0.92,-,-,-,-3.33,0.25,-0.25,-,-2.62,Upgrade
14,Other Non Operating Income (Expenses),13.96,-0.27,1.99,-1.21,29.58,-3.81,2.15,1.23,15.01,6.83,5.48,0.7,-,-20.8,5,-18.81,14.39,-4.41,2.8,-51.01,Upgrade
15,EBT Excluding Unusual Items,25.36,32.32,17.35,-2.01,47.43,33.54,9.69,19.48,0.65,-6.23,10.33,-1.05,-,17.78,56.66,20.86,51.39,78.05,-10.71,-15.4,Upgrade
16,Impairment of Goodwill,-,-,-,-9.23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
17,Gain (Loss) on Sale of Investments,0.11,-0.2,-0.12,-0.06,0.17,-0.34,-0.02,-0.12,0.46,6.94,-7.7,0.05,-,-,-,-1.26,10.28,5.88,-23.72,-,Upgrade
18,Gain (Loss) on Sale of Assets,0.32,-0.28,-,-0.72,-0.13,-0.01,0.02,-0.62,0.04,0.13,-,-2,-,0.17,0.13,-1.16,0.12,0.03,-0.01,0.05,Upgrade
19,Asset Writedown,-,-,-,-1.57,-0.01,-,-,-,-,-,-,0.12,-,-,-,-3.32,3.32,-3.79,-,7.08,Upgrade
20,Legal Settlements,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-0,-,-0.36,Upgrade
21,Other Unusual Items,-14.63,13.99,0.64,-10.39,-,-,-,-5.41,0.76,-0.76,-,38.5,-,-,-,32.51,-15.4,15.4,-,40,Upgrade
22,Pretax Income,11.16,45.83,17.88,-24,47.46,33.19,9.69,13.34,1.92,0.08,2.63,35.61,-,17.95,56.79,47.64,49.72,95.57,-34.45,31.38,Upgrade
23,Income Tax Expense,-6.7,1.62,-4.97,-5.75,-3.88,-5.29,-7.95,-4.63,-6.86,-3.49,-0.8,-3.05,-,4.45,14.29,8.61,12.72,16.25,-0.94,-8.08,Upgrade
24,Earnings From Continuing Operations,17.86,44.2,22.85,-18.25,51.34,38.47,17.64,17.97,8.77,3.56,3.44,38.66,-,13.5,42.51,39.03,36.99,79.32,-33.51,39.46,Upgrade
25,Minority Interest in Earnings,-9.26,-6.55,-7.94,-1.18,-6.56,-6.32,-4.76,-3.03,-6.35,-3.34,-3.05,-1.99,-,-2.61,-1.56,-4.96,3.04,-0.12,0.13,-4.5,Upgrade
26,Net Income,8.61,37.66,14.91,-19.43,44.78,32.15,12.88,14.94,2.42,0.22,0.39,36.67,-,10.89,40.95,34.07,40.03,79.2,-33.38,34.96,Upgrade
27,Net Income to Common,8.61,37.66,14.91,-19.43,44.78,32.15,12.88,14.94,2.42,0.22,0.39,36.67,-,10.89,40.95,34.07,40.03,79.2,-33.38,34.96,Upgrade
28,Net Income Growth,-80.78%,17.13%,15.77%,-,1751.06%,14659.36%,3198.29%,-59.26%,-,-98.00%,-99.05%,7.63%,-,-86.24%,-,-2.56%,94.78%,-,-,-83.72%,Upgrade
29,Shares Outstanding (Basic),500,423,745,662,558,482,644,1487,560,-,560,648,-,567,585,567,571,589,556,593,Upgrade
30,Shares Outstanding (Diluted),500,423,745,662,558,482,644,1487,560,-,560,648,-,567,585,681,571,589,556,593,Upgrade
31,Shares Change (YoY),-10.39%,-12.27%,15.77%,-55.47%,-0.38%,-,14.92%,129.53%,-,-,-4.22%,-4.90%,-,-3.78%,5.16%,14.94%,-5.19%,-1.14%,1.60%,-2.77%,Upgrade
32,EPS (Basic),0.02,0.09,0.02,-0.03,0.08,0.07,0.02,0.01,0.00,-,0.00,0.06,-,0.02,0.07,0.06,0.07,0.13,-0.06,0.06,Upgrade
33,EPS (Diluted),0.02,0.09,0.02,-0.03,0.08,0.07,0.02,0.01,0.00,-,0.00,0.06,-,0.02,0.07,0.05,0.07,0.13,-0.06,0.06,Upgrade
34,EPS Growth,-78.55%,33.51%,0%,-,1758.26%,-,2773.56%,-82.25%,-,-,-99.01%,13.18%,-,-85.71%,-,-15.23%,105.43%,-,-,-83.26%,Upgrade
35,Free Cash Flow,20.66,-5.23,34.99,-11.51,177.93,12.75,56.75,100.53,-168.97,135.67,-127.01,80.3,-,-51.9,1.6,178.2,47.13,51.25,229.8,289.18,Upgrade
36,Free Cash Flow Per Share,0.04,-0.01,0.05,-0.02,0.32,0.03,0.09,0.07,-0.30,-,-0.23,0.12,-,-0.09,0.00,0.26,0.08,0.09,0.41,0.49,Upgrade
37,Dividend Per Share,-,-,-,0.070,-,-,-,-,-,-,-,-,-,-,-,0.107,-,-,-,0.699,Upgrade
38,Dividend Growth,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-84.69%,-,-,-,385.42%,Upgrade
39,Gross Margin,10.28%,12.61%,11.75%,9.25%,10.99%,11.05%,11.50%,11.77%,7.43%,6.62%,10.20%,9.28%,-,3.91%,9.52%,10.36%,11.26%,13.06%,9.32%,8.77%,Upgrade
40,Operating Margin,2.39%,3.54%,2.91%,-0.10%,2.39%,3.39%,1.98%,1.55%,-0.20%,0.15%,2.68%,3.49%,-,1.88%,6.07%,5.26%,4.64%,8.81%,0.99%,3.57%,Upgrade
41,Profit Margin,0.79%,4.09%,1.65%,-2.10%,4.62%,3.20%,1.46%,1.33%,0.25%,0.02%,0.04%,2.91%,-,0.92%,3.79%,2.71%,3.77%,7.49%,-4.77%,2.61%,Upgrade
42,Free Cash Flow Margin,1.90%,-0.57%,3.88%,-1.25%,18.34%,1.27%,6.42%,8.92%,-17.19%,14.86%,-13.60%,6.38%,-,-4.38%,0.15%,14.17%,4.43%,4.85%,32.83%,21.58%,Upgrade
43,EBITDA,64.42,93.42,64.69,37.43,48.82,84,43.07,43.06,21.54,27.62,48.57,67.49,-,65.59,108.87,109.49,91.16,135.23,48.81,89.69,Upgrade
44,EBITDA Margin,5.93%,10.14%,7.17%,4.05%,5.03%,8.36%,4.87%,3.82%,2.19%,3.03%,5.20%,5.36%,-,5.54%,10.09%,8.71%,8.58%,12.80%,6.97%,6.69%,Upgrade
45,D&A For EBITDA,38.4,60.86,38.4,38.4,25.61,49.95,25.61,25.61,23.55,26.23,23.55,23.55,-,43.37,43.37,43.37,41.87,42.14,41.87,41.87,Upgrade
46,EBIT,26.02,32.56,26.29,-0.96,23.22,34.05,17.46,17.45,-2.01,1.4,25.01,43.94,-,22.23,65.51,66.13,49.29,93.09,6.94,47.81,Upgrade
47,EBIT Margin,2.39%,3.54%,2.91%,-0.10%,2.39%,3.39%,1.98%,1.55%,-0.20%,0.15%,2.68%,3.49%,-,1.88%,6.07%,5.26%,4.64%,8.81%,0.99%,3.57%,Upgrade
48,Effective Tax Rate,-,3.54%,-,-,-,-,-,-,-,-,-,-,-,24.81%,25.15%,18.07%,25.59%,17.00%,-,-,Upgrade
49,Revenue as Reported,1087,920.88,902.78,924.57,970.28,1005,883.53,1127,982.93,913.02,934.26,1259,-,-,1080,1258,1063,1057,699.99,1340,Upgrade
