,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
15,EBT Excluding Unusual Items,86.81,84.98,52.42,-3.82,58.77,52.69,47.43,-6.9,49.53,32.6,13.63,13.63
16,Gain (Loss) on Sale of Investments,-5.02,0.88,1.93,2.22,1.99,0.94,1.74,1.08,-3.3,1.65,0.98,0.98
17,Gain (Loss) on Sale of Assets,0.52,-,-0.52,-0,-0.05,-0,-,0,-,-,-,-
18,Other Unusual Items,-,-4.23,4.23,-,7.71,2.46,-2.46,-,6.9,-1.86,0.93,0.93
19,Pretax Income,82.31,81.63,58.05,-1.6,68.42,56.09,46.71,-5.82,53.14,32.4,15.53,15.53
20,Net Income,82.31,81.63,58.05,-1.6,68.42,56.09,46.71,-5.82,53.14,32.4,15.53,15.53
21,Net Income to Common,82.31,81.63,58.05,-1.6,68.42,56.09,46.71,-5.82,53.14,32.4,15.53,15.53
22,Net Income Growth,20.30%,45.53%,24.30%,-,28.76%,73.11%,200.71%,-,-,-,-,-
23,Shares Outstanding (Basic),419,377,406,401,426,396,390,291,314,367,345,345
24,Shares Outstanding (Diluted),419,377,406,401,426,396,390,291,314,367,345,345
25,Shares Change (YoY),-1.60%,-4.79%,3.96%,37.65%,35.68%,7.79%,13.12%,-15.69%,-,-,-,-
26,EPS (Basic),0.20,0.22,0.14,-0.00,0.16,0.14,0.12,-0.02,0.17,0.09,0.04,0.04
27,EPS (Diluted),0.20,0.22,0.14,-0.00,0.16,0.14,0.12,-0.02,0.17,0.09,0.04,0.04
28,EPS Growth,22.25%,52.86%,19.56%,-,-5.10%,60.59%,165.82%,-,-,-,-,-
29,Free Cash Flow,-,28.69,53.61,10.95,18.49,-5.99,-4.37,-8.24,24.76,-15.23,16.4,16.4
30,Free Cash Flow Per Share,-,0.08,0.13,0.03,0.04,-0.02,-0.01,-0.03,0.08,-0.04,0.05,0.05
31,Dividend Per Share,-,-,-,-,0.128,-,0.060,-,-,-,-,-
32,Gross Margin,132.55%,86.84%,81.29%,80.58%,78.78%,86.40%,86.35%,75.77%,85.05%,86.65%,86.43%,86.43%
33,Operating Margin,78.41%,59.60%,40.30%,-44.79%,41.23%,47.74%,55.54%,-65.99%,49.90%,50.37%,38.37%,38.37%
34,Profit Margin,61.58%,60.86%,50.53%,-7.14%,54.80%,58.70%,54.64%,-51.94%,56.22%,50.34%,45.70%,45.70%
35,Free Cash Flow Margin,-,21.39%,46.67%,48.79%,14.81%,-6.27%,-5.11%,-73.56%,26.20%,-23.66%,48.27%,48.27%
36,EBITDA,106.9,82.05,48.93,-7.95,53.57,47.71,49.73,-5.3,49.26,34.49,15.11,15.11
37,EBITDA Margin,79.98%,61.17%,42.59%,-35.46%,42.90%,49.93%,58.18%,-47.31%,52.11%,53.58%,44.45%,44.45%
38,D&A For EBITDA,2.09,2.09,2.63,2.09,2.09,2.09,2.26,2.09,2.09,2.07,2.07,2.07
39,EBIT,104.81,79.95,46.3,-10.05,51.47,45.62,47.47,-7.39,47.16,32.42,13.04,13.04
40,EBIT Margin,78.41%,59.60%,40.30%,-44.79%,41.23%,47.73%,55.54%,-65.99%,49.90%,50.37%,38.37%,38.37%
41,Revenue as Reported,-,134.14,114.88,22.43,124.85,95.56,85.47,11.21,94.52,64.36,33.99,33.99
