,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
32,Additional Paid-In Capital,-,2557,2556,2554,2553,2552,2541,2531,2520,2509,-,-,154.8,-,159.95,159.95
33,Retained Earnings,-,283.81,292.25,317.87,301.81,319.51,315.39,361.97,351.99,339.5,-,-,178.32,-,70.15,70.15
34,Treasury Stock,-,-235.09,-207.83,-179.59,-59.97,-19.74,-,-,-,-,-,-,-,-,-,-
35,Comprehensive Income & Other,-,-0.41,-0.41,-0.41,-0.39,-1.16,-1.05,-1.84,-1.49,-1.23,-,-,-3.15,-,-2.97,-2.97
36,Shareholders' Equity,2857,2857,2892,2944,3047,3103,3108,3143,3122,3100,-,519.12,519.12,416.28,416.28,416.28
37,Total Liabilities & Equity,-,2935,2984,3037,3139,3160,3153,3186,3172,3146,-,-,586.61,-,475.18,475.18
38,Total Debt,11.18,11.18,11.04,12.34,13.62,4.71,5.93,7.38,8.14,3.19,-,4.42,4.42,6.05,6.05,6.05
39,Net Cash (Debt),2081,2081,2145,2214,2384,2423,2479,2570,2582,2574,-,165.47,165.47,122.88,122.88,122.88
40,Net Cash Growth,-12.72%,-14.09%,-13.46%,-13.82%,-7.63%,-5.88%,-,1452.88%,1460.14%,1994.75%,-,34.65%,-,-,-,-
41,Net Cash Per Share,8.66,8.62,8.84,8.96,8.84,9.60,9.83,10.19,10.39,12.25,-,0.87,0.86,0.65,0.65,0.65
42,Filing Date Shares Outstanding,240.24,240.24,241.83,243.4,243.4,252.2,252.2,252.2,252.2,252.2,189.16,189.13,189.15,189.16,189.15,189.15
43,Total Common Shares Outstanding,240.24,240.24,241.83,243.4,249.91,252.2,252.2,252.2,252.2,252.2,189.16,189.13,189.15,189.16,189.15,189.15
44,Working Capital,-,2310,2350,2406,2540,2626,2681,2762,2753,2741,-,-,268.13,-,210.45,210.45
45,Book Value Per Share,11.89,11.89,11.96,12.10,12.19,12.30,12.32,12.46,12.38,12.29,-,2.74,2.74,2.20,2.20,2.20
46,Tangible Book Value,2834,2834,2872,2922,3022,3099,3104,3138,3116,3092,-,507.2,507.2,405.66,405.66,405.66
47,Tangible Book Value Per Share,11.80,11.80,11.88,12.01,12.09,12.29,12.31,12.44,12.35,12.26,-,2.68,2.68,2.14,2.14,2.14
48,Buildings,-,-,316.8,-,316.8,-,316.85,-,316.77,-,-,-,162.55,-,162.55,162.55
49,Machinery,-,-,77.97,-,64.92,-,53.06,-,41.87,-,-,-,21.47,-,14.72,14.72
50,Construction In Progress,-,-,-,-,0.87,-,-,-,0.3,-,-,-,-,-,-,-
