,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
13,EV/EBIT Ratio,22.36,20.70,17.97,20.52,21.51,22.68,28.23,34.20,34.11,23.89,31.36,21.78,34.86,27.48,39.48,17.69,-,-,-,-,-
14,EV/FCF Ratio,16.30,15.08,15.28,32.18,23.83,24.89,67.99,72.22,96.53,-,164.97,-117.27,-,343.90,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.35,0.35,0.36,0.37,0.45,0.37,0.34,0.04,0.04,0.05,0.05,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.09,0.01,0.01
16,Debt / EBITDA Ratio,2.14,1.62,2.32,1.81,6.89,2.04,1.41,0.22,0.52,0.30,0.23,0.00,0.00,0.00,0.00,0.01,0.10,0.09,0.14,0.03,0.01
17,Debt / FCF Ratio,2.29,2.29,2.70,4.31,3.62,3.05,6.24,0.74,1.10,-,1.71,-0.01,-,0.04,-,-,0.25,1.21,-0.90,-,-
18,Asset Turnover,0.53,0.48,0.45,0.45,0.49,0.53,0.57,0.58,0.63,0.64,0.64,0.81,0.77,0.74,0.88,1.34,1.22,-,-,-,
19,Inventory Turnover,4.95,4.51,4.16,4.34,5.01,4.64,3.42,3.04,2.96,3.27,3.45,4.06,5.46,4.32,4.73,5.65,6.00,4.35,-,-,-
20,Quick Ratio,1.35,1.35,1.58,2.14,1.52,2.03,2.58,1.04,1.03,1.02,1.06,1.34,1.42,2.11,2.28,2.63,0.72,0.59,0.42,-,0.30
21,Current Ratio,2.10,2.10,2.16,2.94,2.27,2.83,3.25,1.75,1.78,1.78,1.74,2.15,2.37,2.97,3.11,3.33,1.36,1.30,1.23,-,1.09
22,Return on Equity (ROE),15.18%,9.07%,13.14%,10.73%,11.85%,16.74%,13.47%,15.54%,12.73%,15.28%,10.05%,17.18%,17.54%,20.51%,19.40%,40.67%,39.25%,49.77%,10.20%,-,
23,Return on Assets (ROA),6.13%,3.36%,5.79%,0.61%,5.54%,8.37%,7.33%,1.99%,6.27%,7.82%,5.64%,6.32%,10.02%,11.89%,11.00%,16.02%,20.23%,-,-,-,
24,Return on Capital (ROIC),7.94%,4.24%,7.11%,0.75%,6.73%,10.53%,9.63%,2.62%,8.33%,10.44%,7.45%,8.24%,12.91%,15.16%,14.82%,23.72%,29.34%,38.08%,9.10%,-,
25,Return on Capital Employed (ROCE),7.96%,7.96%,8.06%,9.69%,10.00%,9.82%,9.66%,11.57%,10.72%,13.02%,14.62%,15.50%,17.01%,18.77%,19.78%,19.73%,32.22%,37.25%,28.39%,-,13.05%
26,Earnings Yield,4.73%,4.90%,5.28%,4.43%,4.26%,4.08%,3.50%,3.04%,3.11%,3.74%,2.82%,3.76%,2.44%,2.92%,2.03%,4.62%,-,-,-,-,-
27,FCF Yield,5.89%,6.11%,5.75%,2.82%,3.83%,3.59%,1.36%,1.30%,0.96%,-0.13%,0.56%,-0.75%,-0.78%,0.27%,0.67%,2.99%,-,-,-,-,-
28,Dividend Yield,4.48%,-,-,-,3.70%,-,-,-,1.35%,-,-,-,0.97%,-,-,-,-,-,-,-,-
29,Payout Ratio,96.04%,-,513.03%,-,2.51%,-,120.94%,-,0.02%,1.29%,158.68%,-,-,0.08%,102.61%,-,0.48%,0.92%,2.38%,-,127.37%
30,Buyback Yield / Dilution,-10.23%,-5.10%,-15.44%,-3.08%,-17.39%,2.58%,-3.21%,3.35%,28.24%,-1.95%,-47.37%,-13.39%,-79.05%,-32.97%,8.04%,-18.41%,-0.46%,-,-,-,-
31,Total Shareholder Return,-5.75%,-5.10%,-15.44%,-3.08%,-13.69%,2.58%,-3.21%,3.35%,29.59%,-1.95%,-47.37%,-13.39%,-78.08%,-32.97%,8.04%,-18.41%,-0.46%,-,-,-,-
