,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
25,Shares Outstanding (Diluted),410,458,407,453,390,397,395,386,401,384,408,537,393,261,360,300,296,284,304,299
26,Shares Change (YoY),5.10%,15.44%,3.08%,17.39%,-2.58%,3.21%,-3.35%,-28.24%,1.95%,47.37%,13.39%,79.05%,32.97%,-8.04%,18.41%,0.46%,-,-,-,-
27,EPS (Basic),0.16,0.09,0.15,0.12,0.14,0.19,0.15,0.17,0.13,0.16,0.10,0.13,0.17,0.29,0.15,0.24,0.21,0.24,0.04,0.21
28,EPS (Diluted),0.15,0.08,0.14,0.11,0.14,0.19,0.15,0.17,0.13,0.16,0.10,0.13,0.17,0.29,0.15,0.24,0.21,0.24,0.04,0.21
29,EPS Growth,8.39%,-56.11%,-6.67%,-38.09%,7.48%,17.31%,50.00%,36.02%,-22.60%,-44.10%,-32.61%,-46.58%,-19.46%,18.67%,243.52%,13.37%,-,-,-,-
30,Free Cash Flow,137.26,108.49,1.26,8.58,96.57,42.93,64.56,20.67,-29.76,46.96,30.72,-55.44,24.85,-49.82,-3.93,53.07,86.81,29.15,-36.81,-51.48
31,Free Cash Flow Per Share,0.33,0.24,0.00,0.02,0.25,0.11,0.16,0.05,-0.07,0.12,0.08,-0.10,0.06,-0.19,-0.01,0.18,0.29,0.10,-0.12,-0.17
32,Dividend Per Share,-,-,-,0.500,-,-,-,0.231,-,-,-,0.247,-,-,-,0.196,-,-,-,-
33,Dividend Growth,-,-,-,116.64%,-,-,-,-6.67%,-,-,-,26.04%,-,-,-,-,-,-,-,-
34,Gross Margin,40.95%,38.33%,38.19%,34.18%,35.71%,36.85%,36.61%,35.49%,31.99%,31.16%,31.34%,33.58%,36.41%,36.14%,37.87%,37.13%,38.24%,37.14%,35.24%,42.81%
35,Operating Margin,18.34%,11.27%,20.75%,2.19%,18.20%,25.40%,20.46%,5.45%,15.88%,19.41%,14.19%,12.51%,20.73%,25.60%,20.09%,19.13%,26.56%,31.29%,12.96%,23.89%
36,Profit Margin,16.15%,11.06%,17.03%,13.97%,14.81%,21.18%,17.14%,19.27%,14.43%,17.33%,11.96%,16.29%,17.60%,21.61%,16.16%,19.56%,20.77%,24.33%,9.03%,20.63%
37,Free Cash Flow Margin,35.70%,31.44%,0.38%,2.50%,26.23%,12.07%,18.69%,6.04%,-8.24%,13.08%,8.99%,-13.37%,6.63%,-14.25%,-1.19%,14.71%,29.25%,10.25%,-25.30%,-17.13%
38,EBITDA,90.1,61.99,88.97,27.09,83.9,108.86,87.58,35.56,70.82,86.18,61.98,65.36,87.72,101.28,76.37,80.25,88.2,97.98,27.52,80.66
39,EBITDA Margin,23.43%,17.97%,26.61%,7.90%,22.79%,30.61%,25.36%,10.40%,19.62%,24.01%,18.15%,15.77%,23.38%,28.98%,23.10%,22.24%,29.72%,34.45%,18.92%,26.84%
40,D&A For EBITDA,19.59,23.12,19.59,19.59,16.91,18.51,16.91,16.91,13.5,16.48,13.5,13.5,9.95,11.83,9.95,11.21,9.38,8.98,8.66,8.88
41,EBIT,70.51,38.87,69.38,7.51,66.99,90.35,70.67,18.65,57.31,69.7,48.48,51.85,77.77,89.45,66.42,69.04,78.81,89.01,18.85,71.79
42,EBIT Margin,18.34%,11.27%,20.75%,2.19%,18.20%,25.40%,20.46%,5.45%,15.88%,19.41%,14.19%,12.51%,20.73%,25.60%,20.09%,19.13%,26.56%,31.29%,12.96%,23.89%
43,Effective Tax Rate,20.25%,22.72%,24.25%,20.85%,22.19%,22.22%,22.51%,21.87%,19.92%,20.43%,22.80%,21.70%,22.13%,21.86%,24.20%,22.34%,23.21%,21.45%,26.45%,22.79%
44,Revenue as Reported,384.53,345.02,334.36,342.8,368.13,355.64,345.32,342.05,360.97,359.01,341.52,414.48,375.1,349.48,330.67,360.87,296.77,284.45,145.48,974.55
