,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q2 2020,Q1 2020
44,Total Debt,60.78,52.83,43.96,48.62,59.59,60.43,59.29,61.97,46.15,42.72,44.48,44.48,-,-,42.28,16.57,16.57
45,Net Cash (Debt),1819,1812,1929,2023,2028,2098,2113,2055,1963,553.43,616.36,616.36,-,-,751.44,738.31,738.31
46,Net Cash Growth,-10.28%,-13.60%,-8.74%,-1.56%,3.30%,279.01%,242.87%,233.45%,-,-,-17.98%,-16.52%,-,-,-,-,-
47,Net Cash Per Share,9.38,9.33,9.94,10.43,10.41,10.96,10.76,10.13,10.29,3.83,4.26,4.26,-,-,-,5.43,5.43
48,Filing Date Shares Outstanding,192.45,192.45,192.45,192.45,193.04,193.04,193.04,193.04,193.04,193.04,144.78,144.78,144.74,145.18,-,144.78,144.78
49,Total Common Shares Outstanding,192.45,192.45,192.45,192.45,193.04,193.04,193.04,193.04,193.04,144.78,144.78,144.78,144.74,145.18,-,144.78,144.78
50,Working Capital,2334,2286,2369,2431,2433,2477,2460,2442,2407,888.23,-,832.17,-,-,-,811.62,811.62
51,Book Value Per Share,16.92,16.63,16.80,16.97,16.51,16.24,16.03,15.84,15.52,10.06,9.48,9.48,-,-,8.64,8.01,8.01
52,Tangible Book Value,3165,3110,3168,3199,3121,3067,3026,2989,2928,1398,1313,1313,-,-,1156,1099,1099
53,Tangible Book Value Per Share,16.45,16.16,16.46,16.62,16.17,15.89,15.68,15.48,15.17,9.65,9.07,9.07,-,-,8.21,7.59,7.59
54,Buildings,-,443.28,-,436.3,-,431.03,-,419.67,-,328.89,-,212.69,-,-,-,128.01,128.01
55,Machinery,-,176.02,-,171.94,-,168.52,-,151.78,-,143.22,-,134.03,-,-,-,107.04,107.04
56,Construction In Progress,-,212.44,-,138.99,-,76.91,-,57.04,-,111.73,-,203.73,-,-,-,131.95,131.95
