,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q2 2020,Q1 2020
11,Interest Expense,-1.36,-1.15,-0.42,-1.65,-0.65,-1.04,-0.77,-0.79,-0.79,-1.03,-0.79,-0.82,-0.72,-1.47,-,-0.06,-0.06
12,Interest & Investment Income,11.45,11.48,15.26,14.07,13.03,15.31,17.08,16.04,8.4,-,4.66,5.66,6.79,4.93,-,2.26,2.26
13,Currency Exchange Gain (Loss),1.74,-1.74,-,1.41,-6.56,6.56,-,16.57,-12.6,12.6,-,-15.96,6.89,-6.89,-,1.6,1.6
14,Other Non Operating Income (Expenses),-16.04,1.47,-3.24,-1.46,0.55,4.51,-6.08,-25.55,23.7,-1.28,0.69,8.62,-9.54,-0.79,-0.18,-1.01,-1.01
15,EBT Excluding Unusual Items,60.36,53.72,25.41,28.61,61.66,74.1,42.53,41.58,72.38,51.03,36.71,27.6,68.34,57.59,26.11,69.64,69.64
16,Gain (Loss) on Sale of Investments,3.9,4.05,0.24,3.84,3.36,-7.05,-,0.44,0.83,-4.22,-0.18,-0.58,-1.8,3.26,-,-0.72,-0.72
17,Gain (Loss) on Sale of Assets,-0.06,-0.04,-0.04,0.1,0.01,-0.04,-0.2,0.07,0.06,-0.06,0.02,0.11,0.01,0,-,-0.04,-0.04
18,Asset Writedown,-5.93,2.38,-2.44,2.93,-3.24,3.1,-3.28,4.59,-4.81,2.67,-2.9,5.47,-5.48,-0.31,-,-0,-0
19,Other Unusual Items,-6.5,2.06,4.43,8.74,-,-,-,14.87,1,-1,-,15.23,0.83,-0.83,-,2.6,2.6
20,Pretax Income,51.77,62.17,27.6,44.22,61.79,70.11,39.05,61.55,69.46,48.43,33.65,47.84,61.9,59.71,26.11,71.47,71.47
21,Income Tax Expense,3.21,4.64,0.26,2.06,6.92,7.82,1.53,3.22,-0.4,3.64,2.29,3.58,1.38,1.47,2.54,7.52,7.52
22,Earnings From Continuing Operations,48.56,57.53,27.33,42.16,54.88,62.29,37.52,58.33,69.86,44.79,31.35,44.26,60.52,58.24,23.56,63.96,63.96
23,Minority Interest in Earnings,-6.52,-5.23,-1,-3.54,-4.99,-5.23,-5.83,-0.1,-5.83,-3.93,-1.98,-1.71,-5.82,-3.97,-4.17,-6.76,-6.76
24,Net Income,42.04,52.3,26.33,38.62,49.89,57.06,31.69,58.23,64.04,40.86,29.38,42.55,54.7,54.27,19.4,57.2,57.2
25,Net Income to Common,42.04,52.3,26.33,38.62,49.89,57.06,31.69,58.23,64.04,40.86,29.38,42.55,54.7,54.27,19.4,57.2,57.2
26,Net Income Growth,-15.73%,-8.34%,-16.90%,-33.68%,-22.09%,39.67%,7.88%,36.86%,17.06%,-24.72%,51.46%,-25.61%,-4.37%,-,-,-,-
27,Shares Outstanding (Basic),192,193,193,194,193,190,196,201,191,145,145,145,145,145,-,136,136
28,Shares Outstanding (Diluted),194,194,194,194,195,191,196,203,191,145,145,145,145,145,-,136,136
29,Shares Change (YoY),-0.46%,1.55%,-1.16%,-4.40%,2.17%,32.26%,35.61%,40.05%,31.72%,-0.36%,-,6.59%,6.52%,-,-,-,-
30,EPS (Basic),0.22,0.27,0.14,0.20,0.26,0.30,0.16,0.29,0.34,0.28,0.20,0.29,0.38,0.37,-,0.42,0.42
31,EPS (Diluted),0.22,0.27,0.14,0.20,0.26,0.30,0.16,0.29,0.34,0.28,0.20,0.29,0.38,0.37,-,0.42,0.42
32,EPS Growth,-15.34%,-9.74%,-15.92%,-30.63%,-23.75%,5.61%,-20.45%,-2.28%,-11.13%,-24.45%,-,-30.21%,-10.22%,-,-,-,-
33,Free Cash Flow,35.75,-50.69,-5.66,-20.8,-1.34,30.38,45.61,108.82,-1.97,-15.99,-43.83,76.24,-23.8,-,-,-3.67,-3.67
34,Free Cash Flow Per Share,0.18,-0.26,-0.03,-0.11,-0.01,0.16,0.23,0.54,-0.01,-0.11,-0.30,0.53,-0.16,-,-,-0.03,-0.03
35,Dividend Per Share,-,-,-,0.450,-,-,-,0.269,-,-,-,-,-,-,-,-,-
36,Dividend Growth,-,-,-,67.16%,-,-,-,-,-,-,-,-,-,-,-,-,-
37,Gross Margin,50.25%,48.61%,49.68%,51.51%,49.42%,46.46%,48.65%,46.52%,44.72%,41.85%,43.10%,38.21%,43.90%,-9.49%,100.00%,47.76%,47.76%
38,Operating Margin,12.72%,8.67%,3.46%,3.06%,11.00%,9.13%,8.02%,6.85%,11.22%,8.27%,7.44%,5.37%,13.68%,12.53%,6.16%,16.67%,16.67%
39,Profit Margin,8.28%,10.39%,6.59%,7.28%,9.92%,10.68%,7.86%,11.31%,13.38%,8.29%,6.79%,7.59%,11.53%,11.00%,4.55%,14.26%,14.26%
40,Free Cash Flow Margin,7.04%,-10.07%,-1.42%,-3.92%,-0.27%,5.69%,11.32%,21.13%,-0.41%,-3.24%,-10.14%,13.60%,-5.01%,-,-,-0.91%,-0.91%
41,EBITDA,72.53,52.21,21.77,24.2,62.07,56.64,39.08,42.08,59.47,47.31,37.95,35.91,70.04,66.93,31.41,71.41,71.41
42,EBITDA Margin,14.28%,10.37%,5.45%,4.56%,12.35%,10.60%,9.70%,8.17%,12.43%,9.60%,8.78%,6.41%,14.76%,13.56%,7.36%,17.80%,17.80%
43,D&A For EBITDA,7.96,8.54,7.96,7.96,6.77,7.88,6.77,6.77,5.8,6.56,5.8,5.8,5.13,5.13,5.13,4.56,4.56
44,EBIT,64.57,43.67,13.81,16.24,55.3,48.76,32.3,35.3,53.67,40.74,32.15,30.11,64.92,61.81,26.28,66.86,66.86
45,EBIT Margin,12.72%,8.67%,3.46%,3.06%,11.00%,9.13%,8.02%,6.85%,11.22%,8.27%,7.44%,5.37%,13.68%,12.53%,6.16%,16.67%,16.67%
46,Effective Tax Rate,6.20%,7.46%,0.96%,4.66%,11.19%,11.15%,3.92%,5.23%,-,7.52%,6.81%,7.48%,2.23%,2.46%,9.75%,10.51%,10.51%
47,Revenue as Reported,507.8,503.43,399.68,530.2,502.8,534.16,403.02,515.02,478.42,492.71,432.41,560.55,474.64,920.09,-,401.09,401.09
