,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q1 2020
41,Net Cash (Debt),742.05,831.83,925.7,1068,1097,1097,1066,1205,610.23,-,106.53,404.64,-,462.09,310.93,310.93,215.74
42,Net Cash Growth,-32.36%,-24.18%,-13.14%,-11.37%,79.78%,-,900.42%,197.74%,-,-,-65.74%,30.14%,-,-,-,-,-
43,Net Cash Per Share,4.06,4.34,5.39,5.91,6.01,7.12,5.05,6.51,3.34,-,0.78,2.97,-,3.37,2.27,2.27,1.55
44,Filing Date Shares Outstanding,180.81,180.81,180.81,182.61,182.61,182.61,182.61,182.61,182.61,167.4,136.96,182.61,135.18,136.96,136.97,136.96,136.96
45,Total Common Shares Outstanding,180.81,180.81,180.81,182.61,182.61,182.61,182.61,182.61,182.61,167.4,136.96,136.96,135.18,136.96,136.97,136.96,136.96
46,Working Capital,424.03,582.03,835.08,928.47,981.97,1087,1065,1205,1317,-,415.02,379.25,-,346.18,-,193.9,181.13
47,Book Value Per Share,7.97,7.76,8.28,8.18,7.84,8.27,7.98,7.94,7.82,-,3.85,3.57,-,3.33,2.74,2.66,2.16
48,Tangible Book Value,1325,1285,1379,1376,1319,1398,1344,1336,1398,-,497.31,460.79,-,427.99,353.98,343.44,273.57
49,Tangible Book Value Per Share,7.33,7.11,7.62,7.53,7.23,7.65,7.36,7.32,7.66,-,3.63,3.36,-,3.12,2.58,2.51,2.00
50,Land,-,197.57,-,-,-,-,-,30.56,-,-,-,-,-,28.35,-,13.98,-
51,Buildings,-,191.26,-,-,-,-,-,184.28,-,-,-,192.63,-,162.31,-,73.84,74.05
52,Machinery,-,63.75,-,-,-,-,-,54.26,-,-,-,46.83,-,44.04,-,39.05,36.87
53,Construction In Progress,-,429.57,-,-,-,-,-,2.04,-,-,-,-,-,-,-,72.89,15.79
