,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q1 2020
10,Operating Income,99.04,50.58,49.6,62.36,74.2,1.92,21.8,21.03,28.79,29.37,46.37,13.94,26.38,53.82,50.61,42.28,25.3
11,Interest Expense,-,-5.39,-,-24.46,-,-,-2.49,-34.2,-,-,-2.65,-,-8.65,-,-4.58,-0,-0.01
12,Interest & Investment Income,5.9,7.34,7.23,-,39.75,19.59,1.17,-,47.26,8.24,1.77,10.69,2.29,6.11,0.56,1.18,0.87
13,Currency Exchange Gain (Loss),-12.14,12.14,-,27.56,-39.44,39.44,-,32.1,-18.23,18.23,-,-9.62,4.49,-,-,-12.11,3.18
14,Other Non Operating Income (Expenses),5.61,-5.61,-,-9.26,2.38,-3.2,0.04,-7.08,1.8,-1.56,-0.14,-5.27,2.27,-8.68,0,-2.59,-0.59
15,EBT Excluding Unusual Items,98.41,59.05,56.83,56.19,76.9,57.75,20.53,11.85,59.61,54.28,45.35,9.74,26.78,51.26,46.59,28.76,28.76
16,Gain (Loss) on Sale of Assets,-,-,-,-0.01,-,-,-,0.05,0.1,-0.1,-,-0.74,0.02,-,-,-0.45,-
17,Asset Writedown,-1.41,1.82,-1.82,4.97,-4.97,-,-,-0.26,0.26,-,-,2.32,-2.32,-2.41,-,-,-
18,Other Unusual Items,1.22,1.49,1.46,0.45,-,-,-,8.44,-,-,-,5.39,-3.39,-,-,3.88,1.93
19,Pretax Income,98.22,62.37,56.47,61.59,71.93,57.75,20.53,20.08,59.97,54.18,45.35,16.71,21.09,48.85,46.59,32.2,30.68
20,Income Tax Expense,10.74,8.05,13.69,11.48,13.3,10.51,1.65,-6.73,9.4,7.69,7.95,0.42,2.37,6.12,8.39,4.79,4.28
21,Net Income,87.48,54.32,42.78,50.12,58.64,47.23,18.87,26.82,50.57,46.49,37.39,16.29,18.72,42.73,38.2,27.41,26.4
22,Net Income to Common,87.48,54.32,42.78,50.12,58.64,47.23,18.87,26.82,50.57,46.49,37.39,16.29,18.72,42.73,38.2,27.41,26.4
23,Net Income Growth,49.19%,14.99%,126.69%,86.90%,15.95%,1.60%,-49.53%,64.62%,170.16%,8.80%,-2.12%,-40.57%,-29.08%,-,-,-,-
24,Shares Outstanding (Basic),183,192,172,181,183,154,211,185,183,167,137,136,135,137,137,137,139
25,Shares Outstanding (Diluted),183,192,172,181,183,154,211,185,183,167,137,136,135,137,137,137,139
26,Shares Change (YoY),0.02%,24.34%,-18.64%,-2.32%,0.03%,-7.93%,54.13%,35.98%,35.05%,22.23%,-0.00%,-0.73%,-2.70%,-,-,-,-
27,EPS (Basic),0.48,0.28,0.25,0.28,0.32,0.31,0.09,0.14,0.28,0.28,0.27,0.12,0.14,0.31,0.28,0.20,0.19
28,EPS (Diluted),0.48,0.28,0.25,0.28,0.32,0.31,0.09,0.14,0.28,0.28,0.27,0.12,0.14,0.31,0.28,0.20,0.19
29,EPS Growth,49.16%,-7.52%,178.64%,91.34%,15.91%,10.35%,-67.25%,21.06%,100.05%,-10.99%,-2.12%,-40.13%,-27.12%,-,-,-,-
30,Free Cash Flow,-81.95,38.4,-108.88,72.44,49.74,-11.14,-121.21,-91.21,49.65,52.87,-8.6,-4.9,-54.39,89.65,60.53,-25.43,-20.66
31,Free Cash Flow Per Share,-0.45,0.20,-0.63,0.40,0.27,-0.07,-0.57,-0.49,0.27,0.32,-0.06,-0.04,-0.40,0.65,0.44,-0.19,-0.15
32,Dividend Per Share,-,0.500,-,0.830,-,-,-,0.700,-,-,-,0.500,-,-,-,-,-
33,Dividend Growth,-,-,-,18.57%,-,-,-,40.00%,-,-,-,-,-,-,-,-,-
34,Gross Margin,33.11%,33.22%,39.57%,36.15%,39.95%,26.48%,34.91%,46.71%,23.47%,21.66%,28.84%,26.34%,17.60%,26.16%,26.33%,40.37%,37.92%
35,Operating Margin,17.46%,12.25%,15.22%,16.43%,20.59%,0.83%,8.95%,8.37%,8.15%,8.28%,14.28%,5.50%,6.99%,15.44%,15.11%,12.58%,16.80%
36,Profit Margin,15.42%,13.15%,13.13%,13.21%,16.27%,20.30%,7.75%,10.67%,14.31%,13.11%,11.52%,6.43%,4.96%,12.26%,11.40%,8.16%,17.53%
37,Free Cash Flow Margin,-14.44%,9.30%,-33.41%,19.09%,13.80%,-4.79%,-49.76%,-36.31%,14.05%,14.91%,-2.65%,-1.93%,-14.41%,25.72%,18.07%,-7.57%,-13.72%
38,EBITDA,103.24,55.11,53.8,66.56,78.11,6.85,25.71,24.94,32.01,33.27,49.59,17.16,29.09,56.87,53.31,45.14,28.03
39,EBITDA Margin,18.20%,13.34%,16.51%,17.54%,21.67%,2.94%,10.55%,9.93%,9.06%,9.39%,15.27%,6.77%,7.70%,16.32%,15.92%,13.43%,18.61%
40,D&A For EBITDA,4.2,4.54,4.2,4.2,3.9,4.93,3.9,3.9,3.22,3.91,3.22,3.22,2.7,3.05,2.7,2.86,2.73
41,EBIT,99.04,50.58,49.6,62.36,74.2,1.92,21.8,21.03,28.79,29.37,46.37,13.94,26.38,53.82,50.61,42.28,25.3
42,EBIT Margin,17.46%,12.25%,15.22%,16.43%,20.59%,0.83%,8.95%,8.37%,8.15%,8.28%,14.28%,5.50%,6.99%,15.44%,15.11%,12.58%,16.80%
43,Effective Tax Rate,10.93%,12.91%,24.24%,18.63%,18.48%,18.21%,8.05%,-,15.67%,14.19%,17.54%,2.51%,11.26%,12.52%,18.00%,14.87%,13.96%
44,Revenue as Reported,567.36,413.01,325.92,379.52,360.37,232.64,243.59,251.22,353.4,354.49,324.65,253.43,377.55,-,334.99,336.07,150.58
