,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
9,P/OCF Ratio,14.10,14.10,8.74,-,13.43,26.54,-,31.67,27.84,25.83,37.34,26.09,26.81,-,12.91,20.73,-,-,-,-,-
10,EV/Sales Ratio,3.32,2.46,2.05,2.58,2.90,3.22,2.57,2.53,2.34,2.21,2.24,2.36,2.59,2.17,2.25,3.36,-,-,-,-,-
11,EV/EBITDA Ratio,31.65,24.47,18.16,25.25,31.03,51.14,39.44,44.66,-,24.59,23.59,21.34,21.53,17.71,17.08,25.25,-,-,-,-,-
12,EV/EBIT Ratio,112.53,-,40.14,57.92,76.46,750.65,302.86,-1176.68,-,69.15,-,44.92,40.95,31.28,27.26,39.37,-,-,-,-,-
13,EV/FCF Ratio,107.46,-,17.89,-,31.33,-160.53,-,-,-,-,-,-,-228.53,-,20.97,33.20,-,-,-,-,-
14,Debt / Equity Ratio,0.40,0.40,0.40,0.48,0.41,0.37,0.05,0.05,0.04,0.04,0.05,0.01,0.00,0.00,0.00,0.00,0.23,0.30,0.32,0.35,0.35
15,Debt / EBITDA Ratio,3.81,8.37,3.17,4.99,2.60,3.22,0.57,0.87,-,0.31,1.31,0.05,0.07,0.02,0.04,0.00,1.50,0.92,1.68,1.67,1.79
16,Debt / FCF Ratio,12.92,-,3.39,-,4.25,-19.60,-,-,-,-,-,-,-0.46,-,0.03,0.00,1.70,6.30,9.13,-,5.72
17,Asset Turnover,0.42,0.50,0.40,0.80,0.59,0.72,0.55,0.79,0.76,0.51,0.63,0.78,0.64,0.62,0.68,1.04,0.92,-,-,-,
18,Inventory Turnover,4.28,4.02,4.69,3.87,6.95,3.97,4.30,2.97,4.21,3.43,2.73,3.09,4.23,3.37,3.64,3.77,6.26,4.56,-,-,-
19,Quick Ratio,1.92,1.92,2.18,1.92,1.94,1.99,1.27,1.21,1.16,1.21,1.30,1.43,1.43,1.54,1.50,1.50,0.92,0.83,0.80,-,0.75
20,Current Ratio,2.42,2.42,2.58,2.28,2.23,2.50,1.81,1.85,1.72,1.88,1.97,2.17,2.03,2.21,2.07,2.02,1.23,1.19,1.17,-,1.08
21,Return on Equity (ROE),-3.55%,4.85%,2.94%,8.06%,3.27%,2.19%,0.57%,2.19%,5.10%,0.17%,4.87%,7.47%,4.86%,6.19%,9.69%,13.88%,16.27%,12.86%,7.81%,-,
22,Return on Assets (ROA),-0.53%,1.37%,1.06%,2.52%,2.45%,0.71%,0.21%,-2.97%,3.64%,-1.18%,2.54%,0.25%,3.88%,2.13%,4.53%,2.29%,8.06%,-,-,-,
23,Return on Capital (ROIC),-0.70%,1.78%,1.41%,3.37%,3.26%,0.98%,0.29%,-4.24%,5.10%,-1.64%,3.60%,0.36%,5.44%,3.11%,6.95%,3.55%,11.95%,5.14%,5.88%,-,
24,Return on Capital Employed (ROCE),2.11%,-,3.82%,3.41%,2.89%,0.30%,0.84%,-0.20%,-,2.96%,-,4.74%,5.84%,6.98%,8.93%,9.33%,12.52%,13.63%,8.04%,-,2.67%
25,Earnings Yield,0.91%,1.19%,2.09%,1.42%,1.09%,0.63%,0.91%,0.78%,1.25%,1.89%,1.92%,2.37%,2.46%,2.87%,3.12%,2.48%,-,-,-,-,-
26,FCF Yield,0.90%,1.18%,5.17%,2.05%,3.01%,-0.61%,-3.98%,-3.28%,-2.58%,-1.36%,-2.33%,-1.27%,-0.40%,2.67%,4.26%,3.09%,-,-,-,-,-
27,Dividend Yield,0.57%,-,-,-,0.61%,-,0.34%,-,-,-,-,-,0.77%,-,-,-,-,-,-,-,-
28,Payout Ratio,69.50%,-,57.87%,8.98%,42.02%,3.27%,3.53%,22.85%,1.92%,162.05%,16.17%,1.93%,1.40%,-,162.09%,3.25%,7.38%,7.35%,21.58%,-,12.58%
29,Buyback Yield / Dilution,12.35%,-7.60%,-14.42%,9.65%,22.33%,-10.94%,10.85%,4.48%,10.63%,26.27%,-28.46%,-5.99%,-33.47%,-39.57%,-2.97%,-21.91%,-4.13%,-,-,-,-
30,Total Shareholder Return,12.91%,-7.60%,-14.42%,9.65%,22.95%,-10.94%,11.19%,4.48%,10.63%,26.27%,-28.46%,-5.99%,-32.70%,-39.57%,-2.97%,-21.91%,-4.13%,-,-,-,-
