,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
10,Operating Income,34.25,33.81,22.01,-31.16,22.98,37.54,28.55,66.34,46.87,44.69,23.53,76.87,76.87,22.97,22.97
11,Interest Expense,-0.2,-0.24,-0.29,-0.59,-0.21,-0.43,-0.39,-0.26,-0.28,-0.32,-0.42,-0.31,-0.31,-0.6,-0.6
12,Interest & Investment Income,9.8,7.97,11.68,12.55,12.89,8.89,3.21,2.49,2.85,1.52,1.84,1.33,1.33,1.99,1.99
13,Currency Exchange Gain (Loss),-2.24,2.24,-,3.24,-2.22,2.22,-,1.75,2.22,-2.22,-,0.4,0.4,-0.4,-0.4
14,Other Non Operating Income (Expenses),0.53,-1.19,0.64,-6.4,1.61,-0.38,-1.35,4.99,-8.66,1.75,-0.46,-3.22,-3.22,-0.53,-0.53
15,EBT Excluding Unusual Items,42.14,42.59,34.04,-22.35,35.05,47.84,30.03,75.31,42.99,45.42,24.5,75.07,75.07,23.43,23.43
16,Impairment of Goodwill,0.29,-0.29,-,-0.89,0.68,-0.68,-,-1.29,0.65,-0.65,-,-0.32,-0.32,-0.32,-0.32
17,Gain (Loss) on Sale of Investments,2.44,-0.01,0.13,0.13,0.61,0.54,-,-,-,-,-,-,-,-,-
18,Gain (Loss) on Sale of Assets,-2.43,-0.4,0.06,0.19,0.08,-,-0.14,0.01,-0.01,0,0.04,-0.02,-0.02,0.19,0.19
19,Asset Writedown,-4.32,4.74,-5.34,2.88,-3.3,3.02,-3.21,3.11,-3.76,2.85,-2.87,-0.05,-0.05,-,-
20,Other Unusual Items,-0.56,0.45,-0.57,25.4,-0.26,0.26,-,16.67,1.64,-1.64,-,-3.33,-3.33,3.53,3.53
21,Pretax Income,37.55,47.08,28.34,5.36,32.86,50.98,26.67,93.82,41.51,46,21.66,71.35,71.35,26.83,26.83
22,Income Tax Expense,2.46,4.1,4.78,-2.23,0.93,8.32,5.47,-0.88,6.58,7.91,3.42,9.03,9.03,3.08,3.08
23,Earnings From Continuing Operations,35.09,42.98,23.56,7.6,31.92,42.65,21.2,94.7,34.93,38.09,18.24,62.32,62.32,23.75,23.75
24,Minority Interest in Earnings,0.92,1.61,-0.21,1.27,0.47,1.58,2.04,-2.41,2.41,2.73,1.85,-0.05,-0.05,-0.98,-0.98
25,Net Income,36.01,44.6,23.35,8.87,32.39,44.24,23.23,92.29,37.33,40.81,20.09,62.27,62.27,22.76,22.76
26,Net Income to Common,36.01,44.6,23.35,8.87,32.39,44.24,23.23,92.29,37.33,40.81,20.09,62.27,62.27,22.76,22.76
27,Net Income Growth,11.18%,0.81%,0.52%,-90.39%,-13.24%,8.39%,15.68%,48.21%,-40.05%,79.29%,-11.76%,-,-,-,-
28,Shares Outstanding (Basic),450,439,467,442,499,362,387,358,369,337,402,359,359,379,379
29,Shares Outstanding (Diluted),450,439,467,442,499,362,387,358,369,337,402,359,359,379,379
30,Shares Change (YoY),-9.74%,21.10%,20.62%,23.55%,35.02%,7.58%,-3.60%,-0.40%,2.83%,-11.20%,5.89%,-,-,-,-
31,EPS (Basic),0.08,0.10,0.05,0.02,0.06,0.12,0.06,0.26,0.10,0.12,0.05,0.17,0.17,0.06,0.06
32,EPS (Diluted),0.08,0.10,0.05,0.02,0.06,0.12,0.06,0.26,0.10,0.12,0.05,0.17,0.17,0.06,0.06
33,EPS Growth,23.18%,-16.75%,-16.67%,-92.22%,-35.74%,0.75%,20.00%,49.06%,-41.59%,101.91%,-16.67%,-,-,-,-
34,Free Cash Flow,-67.11,-135.13,5.33,189.91,-176.29,43.02,4.2,-7.27,-78.41,187.29,-159.27,112.7,112.7,-96.74,-96.74
35,Free Cash Flow Per Share,-0.15,-0.31,0.01,0.43,-0.35,0.12,0.01,-0.02,-0.21,0.56,-0.40,0.31,0.31,-0.25,-0.25
36,Dividend Per Share,-,-,-,0.100,-,-,-,-,-,-,-,-,-,-,-
37,Gross Margin,31.85%,32.55%,30.86%,29.45%,33.31%,30.30%,29.50%,28.91%,30.52%,29.15%,28.92%,29.83%,29.83%,27.45%,27.45%
38,Operating Margin,4.40%,3.74%,3.07%,-3.53%,3.21%,4.22%,4.29%,6.60%,5.96%,5.03%,3.76%,8.59%,8.59%,3.68%,3.68%
39,Profit Margin,4.63%,4.93%,3.26%,1.00%,4.53%,4.97%,3.49%,9.18%,4.75%,4.59%,3.21%,6.96%,6.96%,3.65%,3.65%
40,Free Cash Flow Margin,-8.62%,-14.94%,0.74%,21.52%,-24.64%,4.83%,0.63%,-0.72%,-9.98%,21.06%,-25.42%,12.59%,12.59%,-15.51%,-15.51%
41,EBITDA,59.85,62.44,47.61,-5.56,43.35,62.29,48.92,86.71,63.31,64.41,39.98,93.38,93.38,39.35,39.35
42,EBITDA Margin,7.69%,6.90%,6.65%,-0.63%,6.06%,7.00%,7.35%,8.63%,8.06%,7.24%,6.38%,10.43%,10.43%,6.31%,6.31%
43,D&A For EBITDA,25.6,28.63,25.6,25.6,20.37,24.75,20.37,20.37,16.45,19.72,16.45,16.51,16.51,16.38,16.38
44,EBIT,34.25,33.81,22.01,-31.16,22.98,37.54,28.55,66.34,46.87,44.69,23.53,76.87,76.87,22.97,22.97
45,EBIT Margin,4.40%,3.74%,3.07%,-3.53%,3.21%,4.22%,4.29%,6.60%,5.96%,5.03%,3.75%,8.59%,8.59%,3.68%,3.68%
46,Effective Tax Rate,6.55%,8.70%,16.85%,-,2.85%,16.33%,20.52%,-,15.86%,17.19%,15.79%,12.66%,12.66%,11.49%,11.49%
47,Revenue as Reported,778.45,904.53,716.41,882.47,715.48,890.04,665.28,1005,785.9,889.24,626.69,-,-,-,-
