,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
11,Interest Expense,-1.49,-3.18,-3.82,-3.95,-6.43,-3.34,-3.4,-3.52,-6.34,-2.97,-5.1,-4.84,-4.7,-4.46,-3.49,-3.49
12,Interest & Investment Income,10.95,0.2,0.67,0.61,-,3.25,1.5,0.78,0.03,0.15,0.1,0.07,1.23,-,0.38,0.38
13,Currency Exchange Gain (Loss),-,2.08,-2.08,-,0.03,-0.79,0.79,-,-1.41,0.12,-0.12,-,-1.52,-,-0.23,-0.23
14,Other Non Operating Income (Expenses),2.3,-2.12,0.72,-0.8,-0.68,0.51,-1.7,1.64,4.64,-4.82,0.49,-0.48,-0.17,0.03,-0.06,-0.06
15,EBT Excluding Unusual Items,-45.98,0.36,-41.56,-6.43,-83.37,-37.97,-31.85,-1.46,-9.51,7.74,25.37,-5.29,0.26,-6.59,4,4
16,Gain (Loss) on Sale of Investments,6.14,0.71,0.36,-7.21,-7.87,-0.47,0.4,0.12,-1.04,-0.84,-1.02,-1.16,-0.76,-,-0.07,-0.07
17,Gain (Loss) on Sale of Assets,-0.1,0.09,0.01,-0,0.08,0,0.01,0.02,0.02,0.01,-0.01,-0,-0.23,-,0.01,0.01
18,Asset Writedown,12.36,-12.36,-1.06,1.06,3.68,-3.68,0.1,-0.1,3.83,-3.83,0.82,-0.82,-0.23,-,-0.28,-0.28
19,Other Unusual Items,-,-2.77,2.55,0.22,11.66,-,-,-,29.15,-,-,-,29.64,-,9.83,9.83
20,Pretax Income,-27.58,-13.97,-39.71,-12.36,-75.82,-42.11,-31.34,-1.42,22.45,3.07,25.16,-7.26,28.67,-6.59,13.5,13.5
21,Income Tax Expense,-23.8,0.75,-3.36,1.76,8.57,-8,-7.2,-0.97,-1.13,-1.19,2.9,-2.88,2.76,-4.99,-1,-1
22,Earnings From Continuing Operations,-3.78,-14.72,-36.35,-14.12,-84.38,-34.12,-24.14,-0.45,23.58,4.25,22.27,-4.38,25.91,-1.61,14.5,14.5
23,Minority Interest in Earnings,-16.31,4.73,5.47,6.11,10.52,4.84,5.15,4.65,1.57,4.05,2.8,1.74,1.58,1.55,1.33,1.33
24,Net Income,-20.09,-9.99,-30.88,-8,-73.87,-29.28,-18.99,4.2,25.15,8.31,25.07,-2.64,27.49,-0.05,15.82,15.82
25,Net Income to Common,-20.09,-9.99,-30.88,-8,-73.87,-29.28,-18.99,4.2,25.15,8.31,25.07,-2.64,27.49,-0.05,15.82,15.82
26,Net Income Growth,-,-,-,-,-,-,-,-,-8.51%,-,58.45%,-,-,-,-,-
27,Shares Outstanding (Basic),449,450,451,450,450,451,447,452,361,360,358,362,360,-,360,360
28,Shares Outstanding (Diluted),449,450,451,450,450,451,447,452,361,360,358,362,360,-,360,360
29,Shares Change (YoY),-0.02%,-0.29%,0.76%,-0.50%,24.67%,25.46%,24.88%,24.81%,0.16%,-,-0.54%,0.56%,-,-,-,-
30,EPS (Basic),-0.04,-0.02,-0.07,-0.02,-0.16,-0.06,-0.04,0.01,0.07,0.02,0.07,-0.01,0.08,-,0.04,0.04
31,EPS (Diluted),-0.04,-0.02,-0.07,-0.02,-0.16,-0.06,-0.04,0.01,0.07,0.02,0.07,-0.01,0.08,-,0.04,0.04
32,EPS Growth,-,-,-,-,-,-,-,-,-8.66%,-,59.33%,-,-,-,-,-
33,Free Cash Flow,-,-6,3.63,-63.4,81.46,-80.27,-76.51,-175.56,14.73,-54.01,31.46,-70.33,-131.72,-51.07,-78.54,-78.54
34,Free Cash Flow Per Share,-,-0.01,0.01,-0.14,0.18,-0.18,-0.17,-0.39,0.04,-0.15,0.09,-0.19,-0.37,-,-0.22,-0.22
35,Dividend Per Share,-,-,-,-,-,-,-,-,0.066,-,-,-,-,-,-,-
36,Gross Margin,-73.89%,13.29%,1.08%,12.47%,-34.11%,-0.24%,7.64%,14.79%,17.71%,17.31%,18.76%,19.34%,24.66%,19.12%,25.24%,25.24%
37,Operating Margin,-28.65%,1.34%,-27.09%,-1.40%,-65.05%,-27.40%,-19.12%,-0.15%,-2.27%,5.30%,10.31%,-0.02%,2.22%,-1.49%,4.86%,4.86%
38,Profit Margin,-9.97%,-3.99%,-22.59%,-4.88%,-62.98%,-21.33%,-12.51%,1.74%,8.87%,2.89%,8.62%,-1.45%,11.27%,-0.04%,10.38%,10.38%
39,Free Cash Flow Margin,-,-2.40%,2.66%,-38.68%,69.45%,-58.49%,-50.38%,-72.84%,5.20%,-18.79%,10.81%,-38.59%,-53.99%,-35.09%,-51.54%,-51.54%
40,EBITDA,-49.35,11.77,-28.34,6.11,-67.9,-30.46,-20.75,6.78,0.71,21.93,36.88,6.64,12.11,4.48,14.05,14.05
41,EBITDA Margin,-24.48%,4.70%,-20.73%,3.73%,-57.89%,-22.20%,-13.66%,2.81%,0.25%,7.63%,12.68%,3.64%,4.96%,3.08%,9.22%,9.22%
42,D&A For EBITDA,8.4,8.4,8.7,8.4,8.4,7.14,8.28,7.14,7.14,6.68,6.89,6.68,6.68,6.65,6.65,6.65
43,EBIT,-57.75,3.36,-37.05,-2.29,-76.3,-37.6,-29.03,-0.36,-6.43,15.25,29.99,-0.04,5.43,-2.17,7.4,7.4
44,EBIT Margin,-28.65%,1.34%,-27.09%,-1.40%,-65.05%,-27.40%,-19.12%,-0.15%,-2.27%,5.30%,10.31%,-0.02%,2.22%,-1.49%,4.86%,4.86%
45,Effective Tax Rate,-,-,-,-,-,-,-,-,-,-,11.51%,-,9.63%,-,-,-
46,Revenue as Reported,-,250.58,136.73,163.9,117.29,137.22,151.86,241.04,283.48,287.52,290.94,182.25,694.28,-,152.38,152.38
