,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
42,Net Cash Per Share,-6.97,-4.98,-5.29,-3.59,-2.30,-3.51,-4.75,-9.25,-8.78,-5.19,-1.93,-1.91,-,-0.30,0.31
43,Filing Date Shares Outstanding,757.25,757.25,757.25,757.25,757.25,757.25,757.25,757.25,567.94,567.94,567.36,567.94,562.7,567.94,567.94
44,Total Common Shares Outstanding,757.25,757.25,757.25,757.25,757.25,757.25,757.25,567.94,567.94,567.94,567.36,567.94,562.7,567.94,567.94
45,Working Capital,1552,2600,2651,1707,2281,3554,5338,1333,1340,776.28,-,174.91,-,223.2,282.86
46,Book Value Per Share,15.17,15.05,15.12,14.90,14.85,14.45,13.58,10.06,8.49,7.64,4.77,4.77,-,3.06,2.79
47,Tangible Book Value,10394,10323,10367,10206,10159,10201,9555,4983,4335,3846,2359,2359,-,1425,1279
48,Tangible Book Value Per Share,13.73,13.63,13.69,13.48,13.42,13.47,12.62,8.77,7.63,6.77,4.15,4.15,-,2.51,2.25
49,Buildings,-,3997,-,3830,-,2788,-,2139,2010,1787,-,640.43,-,496.62,-
50,Machinery,-,8927,-,8815,-,6431,-,5163,5126,4260,-,2239,-,1585,-
51,Construction In Progress,-,1171,-,659.23,-,2002,-,1035,471.36,365.7,-,492.28,-,210.86,-
