,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
13,Currency Exchange Gain (Loss),-15.07,15.07,-,23.2,-58.5,58.5,-,64.03,-40.87,40.87,-,-18.05,6.1,-6.1,-,-29.58,3.68,-3.68,-
14,Other Non Operating Income (Expenses),-42.23,-3.78,0.42,-42.56,40.1,13.33,-14.76,-72.99,70.02,2.41,-4.11,14.23,-13.61,0.41,-1.79,15.73,-16.25,3.65,-4.94
15,EBT Excluding Unusual Items,48.84,86.73,80.75,37.73,49.16,114.9,15.02,-12.7,85.95,109.02,57.49,31.62,88.47,79.47,49.74,32.56,77.02,119.82,1.75
16,Impairment of Goodwill,-,-,-,-2.08,-,-,-,-0.37,-,-,-,-,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Investments,-0.88,1.75,0.89,1.91,-1.2,0.05,0.99,2.63,-1.54,-1.32,-1.71,-0.24,1.43,-1.1,-,-,0.04,-0.24,0.2
18,Gain (Loss) on Sale of Assets,-0.25,0.07,-0,-2.59,0.41,-0.31,-0.08,-0.4,-0.19,-0.06,-0.45,-3.58,1.44,-1.35,-0.07,-2.01,0.09,-,-
19,Asset Writedown,-4.01,0.58,-0.58,6.91,-6.91,0.83,-0.83,4.58,-4.58,0.41,-0.41,3.13,-3.86,1.66,-1.66,1.76,-0.9,-0.06,-0.8
20,Other Unusual Items,-0.63,0.63,-,2.01,-,-,-,19.22,-,-,-,21.3,-0.09,0.09,-,10.19,-0.21,0.21,-
21,Pretax Income,43.06,89.77,81.04,43.88,41.46,115.48,15.1,12.97,79.65,108.05,54.93,52.24,87.38,78.77,48.02,42.5,76.04,119.73,1.15
22,Income Tax Expense,3.64,6.92,8.74,4,4.35,8.49,3.42,-7.67,13.42,13.17,5.89,7.06,6.2,8.17,5.2,2.09,11.16,8.04,0.85
23,Net Income,39.42,82.85,72.3,39.88,37.1,106.99,11.68,20.64,66.22,94.88,49.04,45.18,81.18,70.59,42.82,40.41,64.88,111.69,0.3
24,Net Income to Common,39.42,82.85,72.3,39.88,37.1,106.99,11.68,20.64,66.22,94.88,49.04,45.18,81.18,70.59,42.82,40.41,64.88,111.69,0.3
25,Net Income Growth,6.24%,-22.57%,519.30%,93.26%,-43.97%,12.77%,-76.19%,-54.32%,-18.42%,34.39%,14.51%,11.80%,25.12%,-36.79%,14394.06%,-,-,-,-
26,Shares Outstanding (Basic),187,188,185,182,186,182,195,182,189,188,186,187,171,139,139,138,140,137,141
27,Shares Outstanding (Diluted),187,188,185,182,186,182,195,182,189,188,186,187,171,139,139,138,140,137,141
28,Shares Change (YoY),0.59%,3.47%,-4.72%,0.42%,-1.46%,-3.26%,4.88%,-3.07%,10.88%,35.32%,33.05%,35.49%,21.93%,1.69%,-0.89%,-,-,-,-
29,EPS (Basic),0.21,0.44,0.39,0.22,0.20,0.59,0.06,0.11,0.35,0.50,0.26,0.24,0.48,0.51,0.31,0.29,0.46,0.82,0.00
30,EPS (Diluted),0.21,0.44,0.39,0.22,0.20,0.59,0.06,0.11,0.35,0.50,0.26,0.24,0.48,0.51,0.31,0.29,0.46,0.82,0.00
31,EPS Growth,5.62%,-25.17%,550.00%,92.46%,-43.14%,16.57%,-77.30%,-52.87%,-26.43%,-0.69%,-13.94%,-17.48%,2.61%,-37.84%,14523.81%,-,-,-,-
32,Free Cash Flow,22.84,20.1,-17.65,5.18,16.44,10.49,-1.29,-199.61,-62.06,-38.62,-59.58,43.69,-64.2,-8.74,40.32,19.96,-38.49,152.1,-65.38
33,Free Cash Flow Per Share,0.12,0.11,-0.10,0.03,0.09,0.06,-0.01,-1.10,-0.33,-0.21,-0.32,0.23,-0.38,-0.06,0.29,0.14,-0.28,1.11,-0.46
34,Dividend Per Share,-,0.040,-,0.150,-,-,-,0.143,-,-,-,0.143,-,-,-,-,-,-,-
35,Dividend Growth,-,-,-,4.97%,-,-,-,0%,-,-,-,-,-,-,-,-,-,-,-
36,Gross Margin,25.30%,25.30%,26.53%,23.91%,27.95%,25.20%,23.32%,19.72%,28.00%,27.56%,29.02%,27.05%,31.62%,32.48%,27.72%,24.06%,31.50%,38.29%,28.98%
37,Operating Margin,11.30%,9.06%,8.48%,7.15%,10.00%,7.33%,5.03%,-1.13%,10.99%,11.50%,12.03%,6.48%,15.79%,17.52%,12.66%,8.93%,18.11%,28.55%,3.81%
38,Profit Margin,4.95%,10.34%,11.42%,6.33%,5.37%,17.33%,2.26%,4.32%,13.05%,16.73%,9.73%,9.02%,13.87%,14.43%,10.33%,7.62%,13.14%,26.00%,0.12%
39,Free Cash Flow Margin,2.87%,2.51%,-2.79%,0.82%,2.38%,1.70%,-0.25%,-41.81%,-12.23%,-6.81%,-11.82%,8.72%,-10.97%,-1.79%,9.73%,3.76%,-7.79%,35.41%,-26.65%
40,EBITDA,115.3,101.44,78.96,70.34,89.59,70.11,46.56,15.17,72.02,83.9,76.94,48.72,106.79,100.83,66.89,61.76,102.42,136.72,22.32
41,EBITDA Margin,14.47%,12.66%,12.47%,11.15%,12.98%,11.35%,9.01%,3.18%,14.19%,14.79%,15.26%,9.72%,18.25%,20.61%,16.14%,11.65%,20.74%,31.83%,9.10%
42,D&A For EBITDA,25.27,28.8,25.27,25.27,20.55,24.85,20.55,20.55,16.27,18.69,16.27,16.27,14.41,15.12,14.41,14.41,12.98,14.1,12.98
43,EBIT,90.02,72.64,53.69,45.06,69.04,45.25,26.01,-5.37,55.75,65.2,60.67,32.45,92.38,85.71,52.49,47.35,89.44,122.62,9.35
44,EBIT Margin,11.30%,9.06%,8.48%,7.15%,10.00%,7.33%,5.03%,-1.13%,10.99%,11.50%,12.03%,6.48%,15.79%,17.52%,12.66%,8.93%,18.11%,28.55%,3.81%
45,Effective Tax Rate,8.46%,7.71%,10.79%,9.11%,10.50%,7.35%,22.66%,-,16.85%,12.19%,10.73%,13.51%,7.10%,10.38%,10.83%,4.92%,14.67%,6.72%,74.29%
46,Revenue as Reported,796.88,801.44,633.14,630.56,690.34,617.52,516.66,477.44,507.4,567.08,504.14,501.05,585.13,489.33,414.55,530.22,493.85,429.52,245.35
