,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q1 2020
19,Income Tax Expense,0.77,-1.23,1.58,-0.36,3.12,2.05,0.39,1.47,-1.74,0.61,1.44,-0.22,1.96,1.67,2.05,1.47
20,Earnings From Continuing Operations,9.76,-4.22,12.79,0.29,12.59,11.68,5.22,11.53,3.26,5.03,13.07,11.2,17.63,18.81,16.53,9.75
21,Minority Interest in Earnings,2,4.29,1.67,3.58,1.01,1.38,1.41,1.03,0.46,0.11,-,-,-,-,-,-
22,Net Income,11.76,0.07,14.45,3.87,13.59,13.06,6.63,12.57,3.73,5.14,13.07,11.2,17.63,18.81,16.53,9.75
23,Net Income to Common,11.76,0.07,14.45,3.87,13.59,13.06,6.63,12.57,3.73,5.14,13.07,11.2,17.63,18.81,16.53,9.75
24,Net Income Growth,-13.52%,-99.48%,118.09%,-69.18%,264.73%,154.28%,-49.28%,12.21%,-78.87%,-72.70%,-20.94%,14.83%,-,-,-,-
25,Shares Outstanding (Basic),48,48,48,48,48,48,48,48,48,36,48,36,36,36,36,36
26,Shares Outstanding (Diluted),48,48,48,48,48,48,48,48,48,36,48,36,36,36,36,36
27,Shares Change (YoY),0.03%,-0.03%,-0.00%,-0.02%,0.00%,33.32%,0.02%,33.34%,33.36%,0.03%,33.34%,0.01%,-,-,-,-
28,EPS (Basic),0.25,0.00,0.30,0.08,0.28,0.27,0.14,0.26,0.08,0.14,0.27,0.31,0.49,0.53,0.46,0.27
29,EPS (Diluted),0.25,0.00,0.30,0.08,0.28,0.27,0.14,0.26,0.08,0.14,0.27,0.31,0.49,0.53,0.46,0.27
30,EPS Growth,-13.54%,-99.48%,118.10%,-69.18%,264.72%,90.72%,-49.29%,-15.84%,-84.15%,-72.70%,-40.71%,14.82%,-,-,-,-
31,Free Cash Flow,-78.21,83.15,-99.29,-77.28,-13.24,-44.16,1.47,-23.81,4.45,-82.26,-34.07,-47.73,-67.82,-3.63,-64.04,3.97
32,Free Cash Flow Per Share,-1.64,1.74,-2.08,-1.62,-0.28,-0.92,0.03,-0.50,0.09,-2.30,-0.71,-1.33,-1.89,-0.10,-1.79,0.11
33,Dividend Per Share,-,-,-,0.370,-,-,-,0.200,-,-,-,0.500,-,-,-,-
34,Dividend Growth,-,-,-,85.00%,-,-,-,-60.00%,-,-,-,-,-,-,-,-
35,Gross Margin,10.46%,7.17%,10.75%,8.24%,12.10%,11.34%,9.59%,11.10%,11.69%,8.66%,8.44%,10.58%,12.98%,12.64%,12.86%,13.92%
36,Operating Margin,4.10%,0.52%,5.38%,1.77%,4.83%,5.20%,2.72%,4.44%,1.65%,3.15%,5.54%,1.62%,8.64%,8.11%,8.69%,8.06%
37,Profit Margin,2.77%,0.02%,4.24%,0.88%,3.52%,3.61%,2.29%,3.36%,1.31%,1.70%,3.81%,2.72%,5.97%,6.09%,5.75%,5.67%
38,Free Cash Flow Margin,-18.44%,19.91%,-29.15%,-17.54%,-3.43%,-12.22%,0.51%,-6.38%,1.56%,-27.17%,-9.94%,-11.60%,-22.96%,-1.18%,-22.30%,2.31%
39,EBITDA,23.02,9.27,23.98,13.46,22.92,24.07,12.18,20.87,8.39,13.2,22.68,10.38,28.5,28.67,27.92,16.33
40,EBITDA Margin,5.43%,2.22%,7.04%,3.06%,5.94%,6.66%,4.21%,5.59%,2.95%,4.36%,6.62%,2.52%,9.65%,9.28%,9.72%,9.50%
41,D&A For EBITDA,5.64,7.09,5.64,5.64,4.3,5.26,4.3,4.3,3.69,3.66,3.69,3.69,2.97,3.62,2.97,2.48
42,EBIT,17.38,2.19,18.34,7.82,18.62,18.81,7.88,16.57,4.7,9.54,18.98,6.68,25.53,25.05,24.96,13.85
43,EBIT Margin,4.10%,0.52%,5.38%,1.77%,4.83%,5.20%,2.72%,4.44%,1.65%,3.15%,5.54%,1.62%,8.64%,8.11%,8.69%,8.06%
44,Effective Tax Rate,7.32%,-,10.98%,-,19.88%,14.91%,7.01%,11.29%,-,10.82%,9.95%,-,9.99%,8.17%,11.05%,13.13%
45,Revenue as Reported,424.1,417.74,340.67,440.55,385.82,361.49,289.53,373.49,284.54,302.74,342.75,411.64,295.46,308.75,287.23,-
