,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
9,Operating Expenses,303.44,310.38,301.36,-,304.68,321.19,288.35,314.1,299.98,359.67,321.56,426.44,362.49,232.54,264.69,289.98,202.9,246.42,184.19,217.88,Upgrade
10,Operating Income,255.46,175.8,221.77,-,232.52,115.77,332.57,153.49,315.46,234.71,347.88,270.26,267.61,412.11,237.17,173.5,195.58,279.64,77.24,136.49,Upgrade
11,Interest Expense,-7.99,-6.52,-4.36,-,-9.87,-8.49,-12.15,-12.43,-12.02,-13.3,-11.66,-27.23,-10.93,-5.74,-3.4,-4.13,-4.96,-6.02,-6.57,-4.78,Upgrade
12,Interest & Investment Income,25.47,3.61,5.14,-,78.85,9.09,6.36,22.34,19.68,2.52,2.17,-,15.96,2.87,2.09,7.91,6.98,11.78,1.71,10.53,Upgrade
13,Earnings From Equity Investments,-14.14,7.32,6.82,-,-12.92,14.41,-1.49,-,-19.37,12.84,6.53,34.44,-7.86,4.54,3.32,-,-,-2.46,2.46,-0.22,Upgrade
14,Currency Exchange Gain (Loss),6.52,-6.52,-,-,-29.35,29.35,-,117.12,-56.22,56.22,-,-22.11,4.63,-4.63,-,-23.18,-4.66,4.66,-,-0.65,Upgrade
15,Other Non Operating Income (Expenses),-34.1,-1.52,-3.66,-,16.3,14.85,-18.91,-98.06,94.36,2.96,-6.75,-2.38,-2.01,-8.94,5.56,2.65,-11.14,-7.84,5.08,-12.27,Upgrade
16,EBT Excluding Unusual Items,231.22,172.17,225.72,-,275.54,174.99,306.38,182.45,341.88,295.94,338.17,252.98,267.41,400.19,244.74,156.75,181.81,279.75,79.93,129.1,Upgrade
17,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,2.47,-,-,-,11.46,-,-,-,-,-,-,-,-,Upgrade
18,Gain (Loss) on Sale of Assets,-0.15,-0.09,0.27,-,1.18,-0.48,-0.16,1.08,0.57,-0.06,0.59,0.07,6.57,0.03,4.98,1.71,0.62,2.05,0.12,1.07,Upgrade
19,Asset Writedown,-,-,-,-,-,-,-,-1.43,-,-,-,-1.28,-,-,-,-0.55,0.12,-0.12,-,-0.11,Upgrade
20,Other Unusual Items,-0.09,0.97,-,-,0.91,-0.91,-,19.64,-5.38,-,-,14,-,-,-,17.12,-,-,-,6.75,Upgrade
21,Pretax Income,230.98,173.04,225.99,-,277.62,173.6,306.22,204.22,337.07,295.88,338.76,277.22,273.99,400.23,249.72,175.04,182.55,281.69,80.04,136.81,Upgrade
22,Income Tax Expense,55.22,31.36,54.65,-,48.04,29.74,79.54,37.63,79.5,59.99,74.15,66.83,52.12,87.3,53.77,31.04,39.62,56.62,15.85,28.55,Upgrade
23,Earnings From Continuing Operations,175.76,141.68,171.34,-,229.58,143.86,226.68,166.6,257.56,235.89,264.61,210.38,221.87,312.93,195.96,143.99,142.93,225.07,64.2,108.26,Upgrade
24,Minority Interest in Earnings,-6.41,-5.15,-4.84,-,-16.43,-13.61,-5.66,-12.83,-3.53,-7.21,-12.75,-35.41,-26.66,-23.49,-10.82,-17.21,-10.33,-9.77,-8.42,-12.68,Upgrade
25,Net Income,169.35,136.53,166.5,-,213.16,130.25,221.02,153.76,254.03,228.68,251.86,174.98,195.21,289.44,185.14,126.79,132.6,215.3,55.78,95.58,Upgrade
26,Net Income to Common,169.35,136.53,166.5,-,213.16,130.25,221.02,153.76,254.03,228.68,251.86,174.98,195.21,289.44,185.14,126.79,132.6,215.3,55.78,95.58,Upgrade
27,Net Income Growth,-20.55%,4.82%,-24.67%,-,-16.09%,-43.04%,-12.24%,-12.13%,30.13%,-20.99%,36.04%,38.01%,47.21%,34.43%,231.91%,32.65%,88.04%,83.00%,-17.39%,41.76%,Upgrade
28,Shares Outstanding (Basic),1301,1354,1281,-,1336,1302,1300,1284,1269,1338,1259,1256,1299,1243,1322,1269,1325,1187,1394,1369,Upgrade
29,Shares Outstanding (Diluted),1301,1354,1281,-,1336,1302,1300,1359,1269,1338,1326,1259,1303,1314,1322,1269,1325,1187,1394,1369,Upgrade
30,Shares Change (YoY),-2.58%,4.03%,-1.49%,-,5.30%,-2.72%,-1.92%,8.00%,-2.66%,1.84%,0.24%,-0.79%,-1.62%,10.68%,-5.17%,-7.30%,12.72%,-16.33%,11.10%,8.57%,Upgrade
31,EPS (Basic),0.13,0.10,0.13,-,0.16,0.10,0.17,0.12,0.20,0.17,0.20,0.14,0.15,0.23,0.14,0.10,0.10,0.18,0.04,0.07,Upgrade
32,EPS (Diluted),0.13,0.10,0.13,-,0.16,0.10,0.17,0.11,0.20,0.17,0.19,0.14,0.15,0.22,0.14,0.10,0.10,0.18,0.04,0.07,Upgrade
33,EPS Growth,-18.45%,0.77%,-23.53%,-,-20.31%,-41.45%,-10.53%,-18.63%,33.70%,-22.41%,35.71%,39.12%,49.64%,21.46%,250.00%,43.10%,66.81%,118.71%,-25.65%,30.57%,Upgrade
34,Free Cash Flow,6.88,-6.32,-169.44,-,186.9,-11.53,204,406.68,383.56,408.91,223.24,263.09,16.02,-46.44,-63.64,-42.04,314.55,362.87,99.09,91.94,Upgrade
35,Free Cash Flow Per Share,0.01,-0.00,-0.13,-,0.14,-0.01,0.16,0.30,0.30,0.31,0.17,0.21,0.01,-0.04,-0.05,-0.03,0.24,0.31,0.07,0.07,Upgrade
36,Dividend Per Share,-,0.116,-,-,-,-,-,0.342,-,-,-,0.228,-,-,-,0.247,-,-,-,0.038,Upgrade
37,Dividend Growth,-,-,-,-,-,-,-,50.00%,-,-,-,-7.69%,-,-,-,541.56%,-,-,-,-48.94%,Upgrade
38,Gross Margin,9.61%,10.31%,13.47%,-,13.99%,12.10%,21.06%,11.31%,11.14%,9.72%,10.63%,8.64%,9.28%,12.10%,11.19%,10.83%,11.98%,12.20%,12.01%,11.71%,Upgrade
39,Operating Margin,4.39%,3.73%,5.71%,-,6.06%,3.21%,11.28%,3.71%,5.71%,3.84%,5.53%,3.35%,3.94%,7.73%,5.29%,4.05%,5.88%,6.49%,3.55%,4.51%,Upgrade
40,Profit Margin,2.91%,2.89%,4.29%,-,5.55%,3.61%,7.50%,3.72%,4.60%,3.74%,4.00%,2.17%,2.88%,5.43%,4.13%,2.96%,3.99%,4.99%,2.56%,3.16%,Upgrade
41,Free Cash Flow Margin,0.12%,-0.13%,-4.36%,-,4.87%,-0.32%,6.92%,9.83%,6.95%,6.69%,3.55%,3.26%,0.24%,-0.87%,-1.42%,-0.98%,9.45%,8.42%,4.55%,3.04%,Upgrade
42,EBITDA,272.8,192.9,239.11,-,255.77,136.4,355.82,176.74,335.28,258.44,368.8,291.18,282.1,427.47,251.67,188,209.6,294.12,91.27,150.52,Upgrade
43,EBITDA Margin,4.69%,4.09%,6.16%,-,6.66%,3.78%,12.07%,4.27%,6.07%,4.23%,5.86%,3.61%,4.16%,8.02%,5.61%,4.39%,6.30%,6.82%,4.19%,4.97%,Upgrade
44,D&A For EBITDA,17.34,17.1,17.34,-,23.25,20.62,23.25,23.25,19.82,23.73,20.93,20.93,14.5,15.36,14.5,14.5,14.03,14.48,14.03,14.03,Upgrade
45,EBIT,255.46,175.8,221.77,-,232.52,115.77,332.57,153.49,315.46,234.71,347.88,270.26,267.61,412.11,237.17,173.5,195.58,279.64,77.24,136.49,Upgrade
46,EBIT Margin,4.39%,3.73%,5.71%,-,6.06%,3.21%,11.28%,3.71%,5.71%,3.84%,5.53%,3.35%,3.94%,7.73%,5.29%,4.05%,5.88%,6.49%,3.55%,4.51%,Upgrade
47,Effective Tax Rate,23.91%,18.12%,24.18%,-,17.30%,17.13%,25.97%,18.42%,23.59%,20.27%,21.89%,24.11%,19.02%,21.81%,21.53%,17.74%,21.70%,20.10%,19.80%,20.87%,Upgrade
48,Revenue as Reported,5817,4717,3883,-,3839,3612,2949,4136,5523,6116,6295,8066,6788,5328,4486,4280,3327,4311,2176,3026,Upgrade
