,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
15,Long-Term Deferred Tax Assets,52.38,48.76,55.53,-,-,57.78,66.11,76.37,80.03,80.57,84.11,103.67,80.14,53.81,54.33,69.72,55.25,54.65,44.5,54.83,Upgrade
16,Long-Term Deferred Charges,16.51,16.74,17.76,-,-,17.3,18.79,19.42,31.75,32.78,32.09,32.89,20.89,15.16,14.35,14.57,13.91,15.35,10.26,12.37,Upgrade
17,Other Long-Term Assets,65.33,65.33,65.33,-,-,55.1,55.1,55.1,39.47,40.03,40.6,52.62,41.72,42.27,42.82,43.37,43.86,44.42,44.99,45.55,Upgrade
18,Total Assets,10573,10198,9351,-,-,9183,9588,9772,10080,10625,10296,10535,9221,8680,7645,7503,7264,7095,6611,6408,Upgrade
19,Accounts Payable,2578,2220,1660,-,-,1322,1371,1438,1603,2097,2196,2430,1941,1935,1575,1596,1322,1320,1005,969.46,Upgrade
20,Accrued Expenses,119.31,135.17,93.4,-,-,126.4,128.97,290.81,270.92,249.41,206.76,359.46,234.14,141.18,126.37,245.24,146.26,148.56,48.05,151.58,Upgrade
21,Short-Term Debt,400.23,500.23,400.28,-,-,50.04,220.55,250.42,285.82,320.53,224.46,217.35,230.15,581.51,251.14,100.08,450,450,681.48,522.08,Upgrade
22,Current Portion of Long-Term Debt,67.71,1.35,51.6,-,-,701.9,780.95,820.6,85.39,86.35,139.03,100.21,60.06,60.07,60.07,60.05,-,-,-,-,Upgrade
23,Current Portion of Leases,-,51.48,-,-,-,40.57,-,43.26,-,26.04,-,54.98,-,-,-,-,-,-,-,-,Upgrade
24,Current Income Taxes Payable,111.88,90.31,109.21,-,-,98.58,103.94,62.94,141.02,86.57,136.33,109.37,120.97,108.14,95.32,92.38,81.39,69.94,23.16,35.74,Upgrade
25,Current Unearned Revenue,53.91,44.6,40.9,-,-,64.32,26.36,77.43,177.66,232.06,62.91,125.32,54.48,91.09,43.19,21.97,-,-,-,-,Upgrade
26,Other Current Liabilities,670.98,823.08,534.36,-,-,437.82,267.87,275.46,324.71,566.25,345.17,358.99,223.09,200.21,265.83,296.19,479.49,452.46,337.95,290.47,Upgrade
27,Total Current Liabilities,4002,3866,2890,-,-,2842,2900,3259,2888,3664,3311,3755,2864,3117,2417,2412,2479,2441,2096,1969,Upgrade
28,Long-Term Debt,112.42,33.11,34.58,-,-,54.84,149.67,150.72,923.75,922.14,927.78,968.55,815.02,115.33,116.24,176.44,38.29,40.16,40.52,40.18,Upgrade
29,Long-Term Leases,131.01,131.45,139.97,-,-,128.04,98.09,111.31,86.26,81.46,76.94,81.65,-,-,-,-,-,-,-,-,Upgrade
30,Long-Term Unearned Revenue,5.84,6.55,5.91,-,-,3.84,3.84,3.84,4.74,4.74,4.74,4.74,2.5,2.5,2.5,2.5,2.5,189.15,2.5,2.5,Upgrade
31,Long-Term Deferred Tax Liabilities,34.82,35.37,36.02,-,-,57.24,57.66,59.14,55.99,57.47,59.97,63.86,34.81,35.27,35.72,36.18,32.3,32.41,32.69,32.63,Upgrade
32,Other Long-Term Liabilities,122.53,122.53,123.01,-,-,172.68,172.68,172.68,234.19,234.19,243.45,243.5,339.77,184.91,185.22,185.09,185.9,-,186.67,186.36,Upgrade
33,Total Liabilities,4408,4195,3229,-,-,3259,3382,3757,4193,4964,4623,5118,4056,3455,2757,2812,2738,2703,2358,2231,Upgrade
34,Common Stock,1309,1309,1309,-,-,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1012,1012,1012,Upgrade
35,Additional Paid-In Capital,1646,1646,1646,-,-,1671,1674,1673,1657,1656,1689,1689,1676,1653,1653,1653,1620,1918,1938,1938,Upgrade
36,Retained Earnings,3110,2940,3065,-,-,2804,3118,2897,2735,2481,2549,2305,2108,2253,1964,1779,1652,1519,1353,1298,Upgrade
37,Treasury Stock,-,-,-,-,-,-61.36,-61.36,-61.36,-61.36,-61.36,-126.67,-126.67,-126.67,-126.67,-126.67,-126.67,-126.67,-126.67,-126.67,-126.67,Upgrade
38,Comprehensive Income & Other,-6.77,0.57,-1.07,-,-,10.26,-15.06,-8.01,-2.78,-24.17,-40.5,-38.93,-30.04,-31.59,-26.17,-28.47,-12.73,1.64,0.85,-5.59,Upgrade
39,Total Common Equity,6058,5896,6020,-,-,5733,6025,5811,5637,5362,5380,5138,4937,5057,4773,4586,4442,4324,4177,4115,Upgrade
40,Minority Interest,106.35,107.34,102.03,-,-,191.22,181.41,204.72,249.38,299.2,292.04,279.28,227.99,167.83,115.83,104.98,83.1,68.08,75.45,62.13,Upgrade
41,Shareholders' Equity,6164,6003,6122,-,-,5925,6206,6015,5887,5661,5672,5417,5165,5225,4889,4691,4525,4392,4253,4177,Upgrade
42,Total Liabilities & Equity,10573,10198,9351,-,-,9183,9588,9772,10080,10625,10296,10535,9221,8680,7645,7503,7264,7095,6611,6408,Upgrade
43,Total Debt,711.38,717.62,626.43,-,-,975.4,1249,1376,1381,1437,1368,1423,1105,756.91,427.45,336.57,488.29,490.16,722,562.26,Upgrade
44,Net Cash (Debt),702.88,1009,1027,-,-,1095,1398,1199,1094,787.69,424.71,243.16,375.48,921.81,944.68,1171,1299,1059,719.72,586.77,Upgrade
45,Net Cash Growth,-,-7.92%,-26.55%,-,-,39.05%,229.08%,392.98%,191.29%,-14.55%,-55.04%,-79.24%,-71.08%,-12.95%,31.26%,99.62%,31.07%,11.34%,-30.91%,-41.37%,Upgrade
46,Net Cash Per Share,0.54,0.74,0.80,-,-,0.84,1.07,0.88,0.86,0.59,0.32,0.19,0.29,0.70,0.71,0.92,0.98,0.89,0.52,0.43,Upgrade
47,Filing Date Shares Outstanding,1309,1309,1309,-,1336,1299,1299,1299,1269,1338,1289,1289,1289,1289,1289,1289,1289,1289,1289,1289,Upgrade
48,Total Common Shares Outstanding,1309,1309,1309,-,1336,1299,1299,1299,1269,1338,1289,1289,1289,1289,1289,1289,1289,1289,1289,1289,Upgrade
49,Working Capital,3444,3204,3300,-,-,3116,3498,3265,4024,3758,3754,3497,3329,2996,2685,2582,2297,2225,2099,2002,Upgrade
50,Book Value Per Share,4.63,4.50,4.60,-,-,4.41,4.64,4.47,4.44,4.01,4.17,3.99,3.83,3.92,3.70,3.56,3.45,3.35,3.24,3.19,Upgrade
51,Tangible Book Value,4524,4359,4481,-,-,3743,4030,3811,3645,3366,3379,3135,2982,3507,3221,3032,2892,2826,2678,2614,Upgrade
52,Tangible Book Value Per Share,3.46,3.33,3.42,-,-,2.88,3.10,2.93,2.87,2.52,2.62,2.43,2.31,2.72,2.50,2.35,2.24,2.19,2.08,2.03,Upgrade
53,Buildings,-,615.82,-,-,-,619.27,-,631.01,-,614.28,-,614.19,-,612.08,-,613.28,-,589.82,-,589.78,Upgrade
54,Machinery,-,587.07,-,-,-,612.41,-,597.87,-,603.63,-,599.74,-,550.81,-,522.73,-,440.04,-,446.71,Upgrade
55,Construction In Progress,-,0.33,-,-,-,8.9,-,-,-,17.98,-,18.11,-,22.76,-,9.6,-,42.1,-,38.51,Upgrade
