,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
31,EPS (Diluted),0.11,0.18,0.16,0.09,0.08,0.08,0.11,0.05,0.10,0.14,0.13,0.08,0.10,0.13,0.11,0.08,0.15,0.18,0.26,0.14
32,EPS Growth,37.22%,127.51%,40.48%,80.00%,-20.51%,-42.80%,-14.55%,-37.50%,-0.25%,9.32%,14.16%,0%,-33.16%,-29.01%,-55.82%,-42.86%,-,-,-,-
33,Free Cash Flow,-,-14.35,18.41,-25.51,6.72,-13.03,0.14,8.49,-6.47,-4.27,-15.62,14.43,12.94,-2.91,-25.7,-14.53,-30.76,-40.81,-26.4,-20.35
34,Free Cash Flow Per Share,-,-0.12,0.13,-0.20,0.05,-0.10,0.00,0.06,-0.05,-0.03,-0.12,0.11,0.10,-0.02,-0.20,-0.15,-0.31,-0.42,-0.27,-0.21
35,Dividend Per Share,-,-,0.100,-,0.100,-,-,-,0.140,-,-,-,0.125,-,-,-,-,-,-,-
36,Dividend Growth,-,-,-,-,-28.36%,-,-,-,12.00%,-,-,-,-,-,-,-,-,-,-,-
37,Gross Margin,280.07%,41.44%,40.10%,32.10%,35.23%,33.78%,28.98%,23.50%,31.25%,33.55%,33.44%,27.94%,28.93%,37.91%,32.58%,31.58%,42.46%,40.03%,43.78%,44.56%
38,Operating Margin,14.38%,23.02%,17.88%,9.71%,8.93%,13.76%,9.44%,6.25%,8.60%,17.03%,16.83%,11.35%,8.28%,18.95%,19.14%,11.95%,16.63%,26.07%,36.91%,29.77%
39,Profit Margin,12.35%,18.83%,18.34%,11.99%,11.21%,13.54%,15.56%,8.40%,16.52%,19.13%,18.30%,13.30%,16.09%,19.09%,19.33%,13.44%,22.19%,22.52%,33.43%,27.25%
40,Free Cash Flow Margin,-,-11.92%,15.65%,-27.17%,7.20%,-16.35%,0.15%,10.90%,-7.86%,-4.54%,-17.33%,18.53%,15.47%,-3.43%,-32.99%,-25.72%,-45.53%,-52.34%,-35.25%,-41.66%
41,EBITDA,26.68,38.05,39.71,19.45,18.67,20.02,18.35,13.92,16.13,23.14,23.93,15.96,14.05,19.53,20.57,10.24,14.72,22.97,30.7,17.18
42,EBITDA Margin,23.48%,31.62%,33.76%,20.72%,20.00%,25.12%,20.61%,17.89%,19.60%,24.60%,26.56%,20.49%,16.79%,23.07%,26.40%,18.12%,21.79%,29.46%,40.99%,35.19%
43,D&A For EBITDA,10.34,10.34,18.68,10.34,10.34,9.05,9.94,9.05,9.05,7.12,8.77,7.12,7.12,3.49,5.66,3.49,3.49,2.64,3.06,2.64
44,EBIT,16.35,27.71,21.03,9.12,8.33,10.97,8.41,4.87,7.08,16.01,15.17,8.84,6.93,16.04,14.91,6.75,11.24,20.32,27.64,14.54
45,EBIT Margin,14.38%,23.02%,17.88%,9.71%,8.93%,13.76%,9.44%,6.25%,8.60%,17.03%,16.83%,11.35%,8.28%,18.95%,19.14%,11.95%,16.63%,26.07%,36.91%,29.77%
46,Effective Tax Rate,3.37%,-,8.95%,4.63%,-,5.44%,8.08%,-,-,9.07%,9.55%,5.33%,11.23%,8.82%,8.22%,5.56%,11.16%,11.85%,13.22%,12.58%
47,Revenue as Reported,-,120.34,117.62,93.89,93.35,79.71,89.02,77.83,82.28,94.05,90.13,77.88,83.67,84.66,134.42,-,-,-,-,-
