,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
12,Long-Term Deferred Tax Assets,58.41,73.08,72.71,-,-,83.42,84.25,84.37,61.86,62.05,61.7,61.9,61.69,61.69,56.28,56.28,98.48,98.85,86.08,86.08,Upgrade
13,Long-Term Deferred Charges,244.7,246.49,250.48,-,-,206.1,144.71,123.76,126.38,130.95,133.03,137.37,-,122.75,98.85,100.24,61,79.51,34.82,34.82,Upgrade
14,Other Long-Term Assets,107.65,120.21,67.1,-,-,60.81,67.91,190.06,148.79,243.84,216.64,237.9,324.71,157.29,110.54,1374,58.21,60.38,59.18,1163,Upgrade
15,Total Assets,29508,29862,29665,-,-,29812,30268,29805,30598,27160,26396,28579,26543,25730,25195,24877,22321,22743,23714,25045,Upgrade
16,Accounts Payable,1514,1128,1195,-,-,271.98,1294,1012,1712,516.96,1109,306.68,954.11,316.13,867.07,316.56,835.98,325.97,845.63,281.59,Upgrade
17,Accrued Expenses,283.84,741.91,145.24,-,-,705.47,128.98,874.68,75.04,574.75,73.44,485.51,131.46,329.83,79.54,287.05,138.2,196.43,91.37,313.16,Upgrade
18,Short-Term Debt,1331,810,948.27,-,-,30.02,30.03,-,300,1138,1123,1110,1105,1393,1698,2114,2500,3071,3102,2990,Upgrade
19,Current Portion of Long-Term Debt,489.53,1338,1445,-,-,443.92,409.79,761.92,906.86,540.65,433.96,1638,1461,1517,1484,789.79,-,300,1500,1500,Upgrade
20,Current Portion of Leases,-,0.16,-,-,-,6.43,-,87.85,-,6,-,6,-,-,-,-,-,-,-,-,Upgrade
21,Current Income Taxes Payable,189.53,34.47,245.19,-,-,20.22,218.89,150.47,381.35,188.99,265,249.9,470.66,149.62,244.59,109.2,119.96,60.15,83.2,105.43,Upgrade
22,Current Unearned Revenue,885.69,662.72,538.77,-,-,394.47,676.17,260.23,542.1,451.39,375.72,268.16,552.63,279.01,228.5,204.57,197.45,198.09,131.4,187.09,Upgrade
23,Other Current Liabilities,837.38,746.02,917.81,-,-,1591,805.84,630.34,672.17,1143,550.16,967.99,543.84,907.93,468.33,890.28,391.51,880.4,652.82,1058,Upgrade
24,Total Current Liabilities,5532,5461,5435,-,-,3464,3563,3778,4589,4561,3930,5032,5219,4892,5070,4711,4183,5032,6406,6435,Upgrade
25,Long-Term Debt,5362,5542,5392,-,-,7787,7851,7731,7581,5143,5083,5367,5395,5734,5653,6014,5560,5229,5229,5214,Upgrade
26,Long-Term Leases,0.68,115.79,0.66,-,-,181.72,8.33,324.57,152.34,128.03,90.15,43.08,10.36,10.36,10.36,-,1751,1637,1665,-,Upgrade
27,Long-Term Unearned Revenue,-,-,-,-,-,3.07,-,-,-,-,-,6.57,-,-,-,-,-,-,-,-,Upgrade
28,Long-Term Deferred Tax Liabilities,76.25,76.25,82.53,-,-,51.91,51.91,52.19,34.01,34.01,34.01,34.01,34.01,34.01,34.01,34.01,27.97,27.97,27.97,27.97,Upgrade
29,Other Long-Term Liabilities,3092,3025,3035,-,-,3849,4049,3909,4112,3937,3947,3936,2739,2714,2706,2638,165.3,183.06,164.48,1786,Upgrade
30,Total Liabilities,14389,14551,14277,-,-,15625,15811,16081,16727,14061,13339,14673,13660,13647,13744,13667,11936,12359,13746,13718,Upgrade
31,Common Stock,1440,1440,1440,-,-,1440,1440,1440,1440,1440,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,Upgrade
32,Additional Paid-In Capital,3083,3083,3083,-,-,3083,3083,3083,3082,3082,3322,3322,3322,3322,3322,3322,3322,3322,3322,3322,Upgrade
33,Retained Earnings,6694,6428,6527,-,-,5745,5956,5527,5711,5107,5170,4843,4116,3460,3037,2865,1876,1866,1881,2901,Upgrade
34,Comprehensive Income & Other,836.72,771.79,694.1,-,-,616.65,536.79,410.71,370.7,337.6,320.39,282.53,334.63,325.16,296.86,253.71,360.04,341.56,325.27,405.68,Upgrade
35,Total Common Equity,12053,11723,11744,-,-,10884,11016,10460,10604,9966,10013,9648,8973,8308,7856,7641,6758,6730,6729,7829,Upgrade
36,Minority Interest,3066,3588,3644,-,-,3302,3441,3264,3268,3133,3044,4259,3909,3776,3595,3569,3628,3654,3239,3498,Upgrade
37,Shareholders' Equity,15119,15311,15388,-,-,14187,14456,13723,13872,13099,13057,13907,12882,12084,11451,11210,10386,10384,9968,11327,Upgrade
38,Total Liabilities & Equity,29508,29862,29665,-,-,29812,30268,29805,30598,27160,26396,28579,26543,25730,25195,24877,22321,22743,23714,25045,Upgrade
39,Total Debt,7184,7806,7786,-,-,8450,8299,8905,8940,6956,6730,8164,7972,8654,8846,8917,9811,10237,11495,9705,Upgrade
40,Net Cash (Debt),-2038,-2734,-2870,-,-,-3263,-2606,-3447,-2952,-3919,-4210,-4137,-4148,-5342,-5900,-7418,-8590,-8524,-9033,-7129,Upgrade
41,Net Cash Per Share,-1.42,-1.95,-1.97,-,-,-2.24,-1.82,-2.37,-2.04,-2.74,-2.91,-2.90,-2.81,-3.85,-4.01,-4.58,-6.56,-6.42,-6.04,-4.81,Upgrade
42,Filing Date Shares Outstanding,1440,1440,1440,-,-,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,Upgrade
43,Total Common Shares Outstanding,1440,1440,1440,-,-,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,Upgrade
44,Working Capital,314.46,641.44,582.53,-,-,2766,3375,2549,2736,-102.28,77.47,242.69,-634.88,-890.16,-1369,-2553,-2119,-2574,-2889,-2736,Upgrade
45,Book Value Per Share,8.37,8.14,8.16,-,-,7.56,7.65,7.26,7.36,6.92,6.95,6.70,6.23,5.77,5.46,5.31,4.69,4.67,4.67,5.44,Upgrade
46,Tangible Book Value,3276,2863,2923,-,-,2039,2148,1567,1787,1150,1178,-1487,-1310,-1988,-2453,-2680,-2553,-2589,-2609,-1517,Upgrade
47,Tangible Book Value Per Share,2.27,1.99,2.03,-,-,1.42,1.49,1.09,1.24,0.80,0.82,-1.03,-0.91,-1.38,-1.70,-1.86,-1.77,-1.80,-1.81,-1.05,Upgrade
48,Buildings,-,8239,-,-,-,7066,-,5477,-,5402,-,5396,-,5345,-,5356,-,5112,-,5175,Upgrade
49,Machinery,-,8679,-,-,-,7597,-,5780,-,5325,-,5327,-,5319,-,5388,-,5337,-,5161,Upgrade
50,Construction In Progress,-,285.85,-,-,-,1828,-,4682,-,4060,-,3525,-,2803,-,2404,-,2325,-,2156,Upgrade
