,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
9,P/FCF Ratio,-,-,-,-,-,-,-,-,-,-,-65.86,-,-,-,-,185.70,78.76,-,-,-,-
10,P/OCF Ratio,-,-,-,223.56,581.84,-372.43,-,-,-,80.06,54.08,73.83,-,77.62,77.74,90.92,48.52,-,-,-,-
11,EV/Sales Ratio,9.28,5.66,6.04,6.88,7.87,11.87,15.40,24.91,27.74,15.60,16.04,12.72,12.30,20.80,17.55,22.05,12.43,-,-,-,-
12,EV/EBITDA Ratio,336.52,280.42,1424.15,-,-,-,-,-,-,-,83.36,52.33,49.47,69.13,51.09,63.02,33.41,-,-,-,-
13,EV/EBIT Ratio,-,-,-100.72,-,-,-,-,-,-,-,98.48,58.31,53.79,73.67,53.83,66.47,35.27,-,-,-,-
14,EV/FCF Ratio,-,-,-,-,-,-,-,-,-,-,-63.42,-,-,-,-,176.62,78.14,-,-,-,-
15,Debt / Equity Ratio,0.04,0.04,0.04,0.04,0.04,0.03,0.00,0.00,0.00,0.00,0.02,0.05,0.05,0.08,-,-,-,-,-,-,-
16,Debt / EBITDA Ratio,4.98,1.98,0.90,-,-,-,-,-,-,-,1.01,0.41,0.35,0.76,-,-,-,-,-,-,-
17,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,-,-0.37,-,-,-,-,-,-,-,-,-,-
18,Asset Turnover,-,0.41,0.38,0.28,0.31,0.25,0.17,0.13,0.17,0.24,0.45,0.52,0.53,0.66,0.62,0.89,-,-,-,-,
19,Inventory Turnover,-,-,4.31,5.58,3.97,5.03,3.34,2.70,2.18,2.82,2.83,4.07,5.41,5.33,6.15,6.05,5.72,-,-,-,-
20,Quick Ratio,-,-,4.49,4.91,5.47,6.10,9.22,12.49,18.74,15.35,13.73,4.55,5.91,5.44,6.48,6.65,6.39,1.95,-,1.83,-
21,Current Ratio,-,-,5.10,5.48,6.13,7.34,10.84,14.70,20.26,16.41,14.60,5.28,6.53,6.03,7.02,7.18,6.92,2.51,-,2.55,-
22,Return on Equity (ROE),0.58%,-1.14%,-0.56%,-1.77%,0.48%,-1.77%,-3.15%,-2.28%,-2.06%,3.59%,11.82%,13.31%,14.25%,21.74%,15.71%,40.52%,-,-,40.23%,-,
23,Return on Assets (ROA),-,1.07%,-2.73%,-1.57%,-1.96%,-1.83%,-4.15%,-2.98%,-4.29%,1.29%,5.40%,7.06%,4.58%,12.85%,9.13%,24.24%,-,-,-,-,
24,Return on Capital (ROIC),-0.23%,1.19%,-3.02%,-1.73%,-2.14%,-1.96%,-4.39%,-3.15%,-4.59%,1.42%,6.12%,7.96%,5.19%,14.62%,10.46%,29.44%,-,-,28.66%,-,
25,Return on Capital Employed (ROCE),-,-,-2.34%,-,-,-,-,-,-,-,3.96%,12.94%,13.50%,16.95%,21.39%,20.54%,19.38%,43.39%,-,20.08%,-
26,Earnings Yield,-0.15%,-0.23%,-0.26%,-0.31%,-0.57%,-0.51%,-0.65%,-0.24%,0.15%,0.70%,1.21%,1.78%,1.84%,1.28%,1.57%,1.25%,2.41%,-,-,-,-
27,FCF Yield,-,-3.74%,-3.49%,-3.62%,-2.76%,-2.57%,-0.79%,-0.37%,-0.43%,-1.52%,-2.78%,-2.29%,-0.81%,0.24%,0.54%,1.27%,-,-,-,-,
28,Dividend Yield,0.12%,-,-,-,-,0.17%,-,-,-,0.27%,-,-,-,0.51%,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,-,-,-,2.57%,-,-,-,-,11.93%,238.85%,-,-,-,31.64%,-,-,-,-,0.18%
30,Buyback Yield / Dilution,-0.04%,-0.06%,-0.08%,0.69%,-0.70%,0.19%,-12.41%,-12.63%,-11.96%,-12.65%,0.04%,-0.01%,-33.37%,-33.25%,-33.50%,-33.31%,0.02%,-,-,-,-
31,Total Shareholder Return,0.08%,-0.06%,-0.08%,0.69%,-0.70%,0.36%,-12.41%,-12.63%,-11.96%,-12.38%,0.04%,-0.01%,-33.37%,-32.73%,-33.50%,-33.31%,0.02%,-,-,-,-
