,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
30,EPS (Basic),0.22,0.22,0.26,0.21,0.30,0.39,0.38,0.32,0.47,0.46,0.45,0.48,0.55,0.35,0.45,0.42,0.39,0.24,0.24
31,EPS (Diluted),0.22,0.22,0.26,0.21,0.30,0.38,0.38,0.32,0.47,0.46,0.45,0.48,0.55,0.35,0.45,0.42,0.39,0.24,0.24
32,EPS Growth,-25.96%,-43.40%,-31.76%,-33.00%,-35.79%,-15.86%,-15.81%,-34.23%,-14.23%,30.83%,-1.02%,13.63%,41.03%,47.43%,90.32%,-,-,-,-
33,Free Cash Flow,-10.18,-45.35,27.28,-3.9,-20.72,-19.97,27.1,-144.04,30.52,16.49,14.94,37.55,13.92,18.36,6.49,24.67,33.72,11.56,11.56
34,Free Cash Flow Per Share,-0.09,-0.38,0.23,-0.03,-0.17,-0.16,0.23,-1.20,0.25,0.14,0.12,0.34,0.16,0.20,0.07,0.27,0.37,0.13,0.13
35,Dividend Per Share,-,0.300,-,0.900,-,-,-,1.000,-,-,-,1.000,-,-,-,-,-,-,-
36,Dividend Growth,-,-,-,-10.00%,-,-,-,0%,-,-,-,-,-,-,-,-,-,-,-
37,Gross Margin,102.12%,78.59%,92.58%,62.22%,101.16%,80.96%,91.05%,73.06%,99.48%,82.19%,95.48%,90.77%,98.13%,80.39%,93.82%,87.07%,96.55%,89.17%,89.17%
38,Operating Margin,25.42%,2.85%,18.31%,-16.70%,33.07%,12.47%,30.15%,-0.86%,29.94%,25.19%,45.01%,31.93%,55.14%,38.61%,56.01%,54.75%,64.09%,48.79%,48.79%
39,Profit Margin,16.33%,16.96%,21.01%,19.41%,25.33%,35.41%,32.92%,31.17%,45.88%,48.42%,46.82%,48.64%,48.67%,36.74%,45.43%,50.58%,49.35%,42.70%,42.70%
40,Free Cash Flow Margin,-6.21%,-29.56%,18.69%,-2.97%,-14.37%,-15.19%,19.80%,-118.21%,24.62%,14.42%,13.07%,34.49%,13.77%,21.43%,7.25%,32.74%,47.01%,23.30%,23.30%
41,EBITDA,46.45,9.63,-,-17.14,51.59,22.4,44.84,2.86,39.27,31.87,53.58,36.91,57.11,34.89,51.51,42.66,47.21,25.46,25.46
42,EBITDA Margin,28.31%,6.28%,-,-13.08%,35.78%,17.03%,32.76%,2.34%,31.68%,27.87%,46.89%,33.91%,56.53%,40.73%,57.59%,56.62%,65.83%,51.30%,51.30%
43,D&A For EBITDA,4.75,5.26,-,4.75,3.91,6,3.58,3.91,2.15,3.06,2.15,2.15,1.41,1.81,1.41,1.41,1.25,1.25,1.25
44,EBIT,41.7,4.37,26.73,-21.89,47.68,16.4,41.27,-1.05,37.12,28.81,51.43,34.76,55.7,33.07,50.1,41.25,45.96,24.21,24.21
45,EBIT Margin,25.42%,2.85%,18.31%,-16.70%,33.07%,12.47%,30.15%,-0.86%,29.94%,25.19%,45.01%,31.93%,55.14%,38.61%,56.01%,54.75%,64.09%,48.79%,48.79%
46,Effective Tax Rate,-,5.21%,7.14%,-,14.66%,13.45%,7.66%,-,9.39%,13.56%,10.40%,12.72%,6.80%,12.20%,13.66%,13.27%,12.70%,14.15%,14.15%
47,Revenue as Reported,164.08,153.4,146,131.07,144.18,131.53,136.87,121.85,123.96,114.36,114.26,108.85,101.02,85.67,89.45,75.35,71.71,49.63,49.63
