,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
16,Gain (Loss) on Sale of Assets,-0.04,-,-,0.04,-0.03,0.02,-0.01,-,0.03,-,-,-
17,Asset Writedown,3.48,-3.48,0.29,-0.29,2.36,-2.36,-0.39,0.39,2.34,-2.34,-0.12,0.12
18,Other Unusual Items,0.17,-0.01,0.01,-0.17,-0.72,0.1,-0.1,-,5.37,1.38,-1.38,-
19,Pretax Income,41.06,-10.7,-10.44,-8.57,9.79,2.21,5.08,-18.14,48.35,46.07,-13.95,-9.37
20,Income Tax Expense,5.57,-1.83,-1.49,-1.72,1.85,-0.28,-0.41,-3.45,5.25,6.61,-2.76,-2.07
21,Earnings From Continuing Operations,35.49,-8.86,-8.95,-6.86,7.94,2.49,5.49,-14.69,43.11,39.47,-11.19,-7.3
22,Minority Interest in Earnings,-0.73,0.4,0.16,0.17,-0.34,0.1,0.26,0.02,-0.49,0.11,0.1,0.19
23,Net Income,34.76,-8.47,-8.79,-6.68,7.6,2.59,5.75,-14.67,42.62,39.57,-11.09,-7.11
24,Net Income to Common,34.76,-8.47,-8.79,-6.68,7.6,2.59,5.75,-14.67,42.62,39.57,-11.09,-7.11
25,Net Income Growth,357.16%,-,-,-,-82.16%,-93.45%,-,-,-,-,-,-
26,Shares Outstanding (Basic),82,118,114,167,36,177,164,133,112,110,109,119
27,Shares Outstanding (Diluted),82,118,114,167,36,177,164,133,112,110,109,119
28,Shares Change (YoY),125.02%,-33.58%,-30.31%,25.28%,-67.40%,61.18%,50.36%,12.56%,-,-,-,-
29,EPS (Basic),0.42,-0.07,-0.08,-0.04,0.21,0.01,0.04,-0.11,0.38,0.36,-0.10,-0.06
30,EPS (Diluted),0.42,-0.07,-0.08,-0.04,0.21,0.01,0.04,-0.11,0.38,0.36,-0.10,-0.06
31,EPS Growth,103.17%,-,-,-,-45.28%,-95.94%,-,-,-,-,-,-
32,Free Cash Flow,-,-24.3,-56.91,-60.68,72.59,-31.59,0.15,-35.97,92.07,-29.61,-40.74,-45.53
33,Free Cash Flow Per Share,-,-0.21,-0.50,-0.36,1.99,-0.18,0.00,-0.27,0.82,-0.27,-0.37,-0.38
34,Dividend Per Share,-,-,-,-,0.050,-,-,-,0.128,-,-,-
35,Dividend Growth,-,-,-,-,-60.88%,-,-,-,-,-,-,-
36,Gross Margin,176.10%,25.03%,27.61%,20.46%,24.70%,35.35%,37.18%,34.32%,37.56%,45.74%,44.92%,25.67%
37,Operating Margin,25.79%,-14.57%,-19.81%,-25.81%,11.26%,-5.37%,3.12%,-82.53%,24.72%,26.34%,-52.25%,-41.99%
38,Profit Margin,18.68%,-11.74%,-12.66%,-14.24%,8.46%,3.39%,6.86%,-60.17%,25.24%,22.06%,-46.08%,-32.41%
39,Free Cash Flow Margin,-,-33.69%,-81.99%,-129.32%,80.71%,-41.29%,0.18%,-147.52%,54.52%,-16.51%,-169.26%,-207.51%
40,EBITDA,51.31,-7.2,-9.79,-8.8,13.44,-0.97,6.22,-16.99,44.88,49.78,-9.58,-6.68
41,EBITDA Margin,27.57%,-9.98%,-14.11%,-18.76%,14.94%,-1.27%,7.41%,-69.67%,26.58%,27.75%,-39.79%,-30.47%
42,D&A For EBITDA,3.31,3.31,3.95,3.31,3.31,3.14,3.59,3.14,3.14,2.53,3,2.53
43,EBIT,48,-10.51,-13.75,-12.11,10.13,-4.11,2.62,-20.12,41.74,47.25,-12.58,-9.21
44,EBIT Margin,25.79%,-14.57%,-19.81%,-25.81%,11.26%,-5.37%,3.12%,-82.53%,24.72%,26.34%,-52.25%,-41.99%
45,Effective Tax Rate,13.57%,-,-,-,18.86%,-,-,-,10.85%,14.34%,-,-
46,Revenue as Reported,-,72.12,69.42,46.92,89.93,76.5,83.92,24.38,168.86,179.4,24.07,21.94
