,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
38,Shareholders' Equity,1249,1249,1296,1312,1334,1326,1324,1336,769.59,-,687.02,705.51
39,Total Liabilities & Equity,-,1452,1500,1491,1536,1546,1544,1612,1077,-,891.56,-
40,Total Debt,24.73,24.73,21.53,13.73,15.94,18.77,9.72,79.49,70.13,-,49.51,12.23
41,Net Cash (Debt),531.31,531.31,594.9,676.05,740.48,667.26,704.81,722.64,175.06,-,115.97,213.39
42,Net Cash Growth,-28.25%,-20.37%,-15.60%,-6.45%,322.99%,-,507.74%,238.66%,-,-,-,-
43,Net Cash Per Share,6.49,4.51,5.21,4.05,20.35,3.77,4.30,5.42,1.57,-,1.06,1.80
44,Filing Date Shares Outstanding,81.87,117.7,148.2,167.1,148.2,150.29,150.29,150.29,112.72,109.95,112.72,118.51
45,Total Common Shares Outstanding,81.87,117.7,148.2,167.1,150.29,150.29,150.29,150.29,112.72,109.95,112.72,118.51
46,Working Capital,-,1009,1061,1088,1115,1104,1106,1123,555.81,-,487.12,-
47,Book Value Per Share,10.52,10.52,8.67,7.80,8.83,8.78,8.76,8.85,6.78,-,6.05,6.21
48,Tangible Book Value,1191,1191,1236,1255,1279,1272,1269,1282,715.28,-,632.39,650.24
49,Tangible Book Value Per Share,10.12,10.12,8.34,7.51,8.51,8.46,8.44,8.53,6.35,-,5.61,5.77
50,Buildings,-,-,91.07,-,90.53,-,90.53,-,90.53,-,90.53,-
51,Machinery,-,-,69.29,-,66.25,-,58.79,-,55.82,-,45.98,-
52,Construction In Progress,-,-,13.41,-,11.32,-,2.93,-,2.86,-,2.86,-
