,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
20,Quick Ratio,5.55,5.55,5.11,4.92,4.69,6.41,7.22,7.13,5.36,8.83,5.14,5.64,6.88,6.25,7.66,12.38,11.84,2.42,1.78,-,1.53
21,Current Ratio,6.93,6.93,6.73,6.42,5.97,7.88,9.33,9.09,6.86,10.59,6.33,7.09,8.64,7.51,8.94,14.62,13.81,3.63,2.88,-,2.76
22,Return on Equity (ROE),11.49%,11.60%,11.95%,7.79%,12.44%,12.47%,9.63%,5.95%,10.01%,11.97%,4.35%,3.15%,9.96%,7.65%,10.92%,8.86%,32.62%,30.21%,24.88%,-,
23,Return on Assets (ROA),7.62%,6.54%,6.95%,4.45%,8.00%,6.50%,5.78%,3.16%,7.31%,3.45%,2.18%,-0.95%,6.58%,3.86%,6.45%,3.14%,19.25%,-,-,-,
24,Return on Capital (ROIC),8.38%,7.24%,7.77%,4.94%,8.74%,7.09%,6.42%,3.49%,7.89%,3.71%,2.38%,-1.05%,7.08%,4.12%,6.92%,3.50%,23.07%,19.76%,17.01%,-,
25,Return on Capital Employed (ROCE),10.72%,11.03%,11.30%,10.77%,10.43%,10.02%,9.97%,8.37%,6.91%,5.21%,4.89%,4.93%,-,8.06%,8.58%,9.45%,9.19%,26.31%,18.82%,-,4.50%
26,Earnings Yield,4.17%,4.07%,4.51%,4.52%,4.17%,4.00%,3.36%,3.40%,3.29%,3.12%,2.99%,2.31%,2.19%,2.32%,2.22%,2.29%,1.63%,-,-,-,-
27,FCF Yield,0.53%,0.52%,0.65%,1.09%,-0.76%,-0.08%,0.26%,0.82%,1.55%,1.00%,-0.97%,-4.29%,-2.14%,-2.82%,-1.63%,0.70%,0.94%,-,-,-,-
28,Dividend Yield,1.33%,-,3.21%,-,2.49%,-,-,-,2.74%,-,-,-,0.98%,-,-,-,0.68%,-,-,-,-
29,Payout Ratio,55.27%,0.10%,202.78%,0.14%,0.22%,3.43%,194.88%,0.23%,13.46%,1.78%,102.89%,2.41%,-,1.92%,174.70%,-,0.20%,0.35%,11.25%,118.87%,40.99%
30,Buyback Yield / Dilution,-0.40%,-0.03%,-0.01%,0.02%,-1.60%,-0.42%,2.48%,-1.12%,-1.97%,0.63%,-2.45%,2.21%,-16.81%,-34.54%,-33.53%,-33.53%,-9.80%,-,-,-,-
31,Total Shareholder Return,0.93%,-0.03%,3.20%,0.02%,0.90%,-0.42%,2.48%,-1.12%,0.77%,0.63%,-2.45%,2.21%,-15.82%,-34.54%,-33.53%,-33.53%,-9.12%,-,-,-,-
