,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
13,Currency Exchange Gain (Loss),-,-2.07,2.07,-,4.45,-3.73,3.73,-,16.22,-9.97,9.97,-,-5.7,2.42,-2.42,-
14,Other Non Operating Income (Expenses),-5.13,3,0.25,0.46,-6.87,4.07,4.38,-1.08,-17.37,18.03,-1.09,-1.11,-2.04,0.14,1.94,-0.57
15,EBT Excluding Unusual Items,-60.27,25.72,-24.12,10.03,-35.34,12.98,50.04,34.97,-3.41,80.31,85.98,47.79,-20.97,84.38,96.69,59.16
16,Gain (Loss) on Sale of Investments,0.02,-1.54,-0.48,2,-2.18,0.48,-2.94,0.83,-1.3,0.82,-1.05,0.97,0.11,-0.15,1.34,0.03
17,Gain (Loss) on Sale of Assets,-0.02,0.02,-,-,0.09,0.01,0.03,0.02,-2.93,-0.31,0.31,-,0.2,0.23,0.24,0
18,Asset Writedown,7.65,-7.65,0.16,-0.16,1.16,-2.37,-1.2,1.2,3.25,-3.16,2.78,-2.87,3.31,-3.79,-2.45,1.79
19,Legal Settlements,-,-,-,-,-11.34,-,-,-,-,-,-,-,-,-,-,-
20,Other Unusual Items,-,-14.79,14.69,0.1,37.56,1.68,-1.68,-,32.32,-0.68,0.68,-,37.15,-5.82,5.82,-
21,Pretax Income,-52.61,1.76,-9.75,11.97,-10.05,12.78,44.25,37.02,27.98,76.98,88.7,45.9,19.81,74.85,101.64,60.98
22,Income Tax Expense,5.15,0.55,3.74,1.02,-2.11,-0.29,1.29,5.26,-23.52,4.21,8.58,1.22,-2.11,5.4,10.21,7.87
23,Earnings From Continuing Operations,-57.76,1.21,-13.49,10.94,-7.94,13.07,42.96,31.76,51.5,72.78,80.12,44.68,21.92,69.45,91.43,53.11
24,Minority Interest in Earnings,4.63,-1.62,-1.1,-1.91,-2.36,-1.81,-3.32,-2.32,-3.65,-4.7,-2.38,-5.8,1.87,-2.8,-4.93,-5.75
25,Net Income,-53.13,-0.41,-14.59,9.03,-10.31,11.25,39.65,29.44,47.85,68.08,77.74,38.89,23.79,66.65,86.5,47.36
26,Net Income to Common,-53.13,-0.41,-14.59,9.03,-10.31,11.25,39.65,29.44,47.85,68.08,77.74,38.89,23.79,66.65,86.5,47.36
27,Net Income Growth,-,-,-,-69.33%,-,-83.47%,-49.00%,-24.29%,101.15%,2.13%,-10.13%,-17.90%,-,-,-,-
28,Shares Outstanding (Basic),1123,1110,1141,1129,1121,1125,1127,1124,1124,1126,900,900,900,899,900,-
29,Shares Outstanding (Diluted),1123,1110,1141,1129,1121,1125,1127,1124,1124,1126,900,900,900,899,900,-
30,Shares Change (YoY),0.17%,-1.36%,1.27%,0.45%,-0.28%,-0.05%,25.23%,24.84%,24.84%,25.16%,-0.07%,-,-,-,-,-
31,EPS (Basic),-0.05,-0.00,-0.01,0.01,-0.01,0.01,0.04,0.03,0.04,0.06,0.09,0.04,0.03,0.07,0.10,-
32,EPS (Diluted),-0.05,-0.00,-0.01,0.01,-0.01,0.01,0.04,0.03,0.04,0.06,0.09,0.04,0.03,0.07,0.10,-
33,EPS Growth,-,-,-,-69.47%,-,-83.46%,-59.28%,-39.35%,61.13%,-18.40%,-10.07%,-,-,-,-,-
34,Free Cash Flow,-,-68.56,-157.57,-57.19,50.93,-113.36,-56.2,-123.81,101.08,-64.22,-59.79,-45.79,99.74,26.88,26.55,-94.02
35,Free Cash Flow Per Share,-,-0.06,-0.14,-0.05,0.05,-0.10,-0.05,-0.11,0.09,-0.06,-0.07,-0.05,0.11,0.03,0.03,-
36,Dividend Per Share,-,-,-,-,0.032,-,-,-,0.120,-,-,-,-,-,-,-
37,Dividend Growth,-,-,-,-,-73.33%,-,-,-,-,-,-,-,-,-,-,-
38,Gross Margin,-56.77%,18.78%,14.17%,15.66%,8.01%,18.32%,21.18%,18.39%,16.34%,21.50%,22.94%,21.40%,13.30%,26.20%,21.82%,22.13%
39,Operating Margin,-9.63%,4.84%,-5.15%,2.16%,-6.75%,2.07%,5.43%,5.14%,-1.96%,8.67%,10.40%,7.73%,-1.53%,12.20%,12.22%,9.22%
40,Profit Margin,-9.70%,-0.08%,-2.45%,1.69%,-1.99%,1.80%,5.84%,4.26%,9.29%,8.73%,10.56%,5.93%,4.15%,9.97%,11.77%,7.00%
41,Free Cash Flow Margin,-,-13.42%,-26.44%,-10.73%,9.85%,-18.14%,-8.27%,-17.92%,19.62%,-8.23%,-8.12%,-6.98%,17.38%,4.02%,3.61%,-13.89%
42,EBITDA,-32.34,45.15,-8.53,31.96,-14.49,30.9,56.88,53.49,7.86,81.02,94,64.13,4.61,93.46,104.89,-
43,EBITDA Margin,-5.90%,8.84%,-1.43%,6.00%,-2.80%,4.94%,8.37%,7.74%,1.53%,10.38%,12.77%,9.78%,0.80%,13.98%,14.27%,-
44,D&A For EBITDA,20.43,20.43,22.18,20.43,20.43,17.98,20,17.98,17.98,13.4,17.42,13.4,13.4,11.88,15.04,-
45,EBIT,-52.76,24.72,-30.7,11.54,-34.91,12.92,36.88,35.51,-10.12,67.62,76.59,50.73,-8.79,81.58,89.85,62.4
46,EBIT Margin,-9.63%,4.84%,-5.15%,2.16%,-6.75%,2.07%,5.43%,5.14%,-1.96%,8.67%,10.40%,7.73%,-1.53%,12.20%,12.22%,9.22%
47,Effective Tax Rate,-,31.24%,-,8.53%,-,-,2.91%,14.20%,-,5.46%,9.67%,2.65%,-,7.21%,10.05%,12.90%
48,Revenue as Reported,-,510.93,596.06,532.94,516.88,624.93,679.32,690.96,515.12,780.21,736.25,655.96,573.8,668.57,1412,-
