,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
12,Long-Term Investments,-,38.22,36.56,35.92,35.67,34.67,34.22,37.02,36.94,30.57,30.05,27.96,28.07,-,-,-
13,Other Intangible Assets,-,288.54,290.88,292.93,295.72,295.22,298.21,297.54,300.26,302.26,304.44,298.39,300.85,-,-,-
14,Long-Term Deferred Tax Assets,-,60.52,58.85,55.71,54.61,52.89,51.24,49.63,50.51,24.99,23.96,24.78,23.14,-,-,-
15,Long-Term Deferred Charges,-,-,-,-,-,-,0.1,0.23,0.24,2.47,2.54,2.66,2.78,-,-,-
16,Other Long-Term Assets,-,90.16,94,98.62,110.17,109.11,107.08,112.4,108.92,99.08,126.72,119.65,113.13,-,-,-
17,Total Assets,-,5252,5318,5555,5669,5735,5979,6011,6201,6185,6039,4767,4263,-,-,-
18,Accounts Payable,-,999.18,1046,1078,979.81,1061,1183,1105,1055,1127,995.53,854.06,755.5,-,-,-
19,Accrued Expenses,-,28.53,65.56,29.92,72.31,25.65,57.31,25.28,61.49,16.91,48,51.11,46.36,-,-,-
20,Current Portion of Long-Term Debt,-,-,-,126.85,254.03,253.24,253.24,-,253.24,-,126.62,-,-,-,-,-
21,Current Portion of Leases,-,0.23,0.23,-,0.23,-,-,253.24,0.2,255.83,2.58,1.64,1.64,-,-,-
22,Current Income Taxes Payable,-,13.78,2.09,13.66,2.07,17.7,0.37,11.42,1.03,20.99,4.39,-,0.52,-,-,-
23,Current Unearned Revenue,-,198.11,204.61,225.64,240.49,247.44,254.61,292.87,326.77,296.85,311.88,308.11,320.59,-,-,-
24,Other Current Liabilities,-,199.85,195.44,225.45,281.11,290.39,281.46,273.83,356.81,367.44,407.66,425.62,557.83,-,-,-
25,Total Current Liabilities,-,1440,1514,1700,1830,1896,2030,1961,2054,2085,1897,1641,1682,-,-,-
26,Long-Term Debt,-,500,500,500,500,500,626.62,626.62,753.24,753.24,879.86,1006,506.48,-,-,-
27,Long-Term Leases,-,0.25,0.25,0.25,0.25,0.31,0.3,0.28,0.32,1.11,1.12,2.02,1.97,-,-,-
28,Long-Term Unearned Revenue,-,43.67,40.01,41.59,40.13,42.62,40.2,39.21,44.89,45.13,39.2,41.02,39.08,-,-,-
29,Long-Term Deferred Tax Liabilities,-,15.43,15.44,15.45,15.46,15.64,15.77,16.45,16.41,12.83,12.86,11.27,11.35,-,-,-
30,Other Long-Term Liabilities,-,153.9,153.45,152.17,151.33,145.37,144.48,143.58,143.03,158.56,154.45,155.42,155.96,-,-,-
31,Total Liabilities,-,2153,2223,2409,2537,2600,2857,2787,3012,3055,2984,2857,2397,-,-,-
32,Common Stock,-,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,900,900,-,-,-
33,Additional Paid-In Capital,-,1638,1638,1638,1638,1638,1638,1638,1638,1638,1638,809.34,809.34,-,-,-
34,Retained Earnings,-,230.82,231.23,281.82,272.79,283.09,271.84,367.19,337.75,289.9,221.82,143.95,105.2,-,-,-
35,Comprehensive Income & Other,-,46.93,44.14,40.84,37.29,33.33,32.8,34.28,31.37,23.5,21.74,11.86,11.03,-,-,-
36,Total Common Equity,3041,3041,3039,3086,3074,3080,3068,3165,3133,3077,3007,1865,1826,-,-,-
37,Minority Interest,-,57.6,55.99,59.79,57.88,55.51,53.7,58.64,56.33,52.68,47.97,45.59,39.8,-,-,-
38,Shareholders' Equity,3099,3099,3095,3146,3131,3135,3122,3224,3189,3130,3055,1911,1865,-,-,-
39,Total Liabilities & Equity,-,5252,5318,5555,5669,5735,5979,6011,6201,6185,6039,4767,4263,-,-,-
40,Total Debt,500.48,500.48,500.48,627.1,754.51,753.55,880.16,880.14,1007,1010,1010,1010,510.1,-,-,-
41,Net Cash (Debt),1034,1034,1125,1293,1325,1308,1486,1648,1744,1716,1752,669.64,710.73,-,-,-
42,Net Cash Growth,-21.95%,-20.95%,-24.33%,-21.54%,-24.04%,-23.79%,-15.18%,146.04%,145.40%,-,-,-,-,-,-,-
43,Net Cash Per Share,0.92,0.93,0.99,1.15,1.18,1.16,1.32,1.47,1.55,1.52,1.95,0.74,0.79,-,-,-
44,Filing Date Shares Outstanding,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,900,900,899.49,900.23,-
45,Total Common Shares Outstanding,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,900,900,899.49,900.23,-
46,Working Capital,-,2323,2340,2400,2361,2374,2493,2665,2777,2803,2810,1852,1325,-,-,-
47,Book Value Per Share,2.70,2.70,2.70,2.74,2.73,2.74,2.73,2.81,2.78,2.73,2.67,2.07,2.03,-,-,-
48,Tangible Book Value,2753,2753,2748,2793,2778,2785,2770,2867,2832,2775,2703,1567,1525,-,-,-
49,Tangible Book Value Per Share,2.45,2.45,2.44,2.48,2.47,2.48,2.46,2.55,2.52,2.47,2.40,1.74,1.69,-,-,-
50,Buildings,-,-,634.58,-,635.68,-,555.02,-,523.19,-,506.5,-,486.37,-,-,-
51,Machinery,-,-,964.23,-,955.99,-,862.41,-,787.7,-,768.71,-,741.47,-,-,-
52,Construction In Progress,-,-,43.51,-,7.98,-,134.82,-,116.76,-,98.99,-,64.18,-,-,-
