,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
20,Income Tax Expense,25.1,53.26,80.61,61.31,43.22,51.34,69.39,33.5,45.32,39.74,60.91,62.79,35.69,51.28,53.43,26.46,60.04,58.04,-17.6,73.01
21,Earnings From Continuing Operations,153.58,232.81,364.74,232.84,204.55,238.77,301.08,150.99,173.58,189.22,253.28,235.39,156.46,196.5,209.43,170.94,190.23,233.28,-92.4,205.23
22,Minority Interest in Earnings,-2.18,-1.9,-1.49,-0.19,-0.74,-1.74,-1.09,0.36,1.33,-1.96,-1.47,0.61,-0.31,-0.51,-3.13,-0.17,-0.6,-2.17,1.04,1.47
23,Net Income,151.4,230.91,363.26,232.65,203.81,237.03,299.99,151.36,174.91,187.26,251.81,236,156.15,195.98,206.3,170.77,189.64,231.11,-91.36,206.7
24,Net Income to Common,151.4,230.91,363.26,232.65,203.81,237.03,299.99,151.36,174.91,187.26,251.81,236,156.15,195.98,206.3,170.77,189.64,231.11,-91.36,206.7
25,Net Income Growth,-25.71%,-2.58%,21.09%,53.71%,16.53%,26.58%,19.13%,-35.87%,12.01%,-4.45%,22.06%,38.20%,-17.66%,-15.20%,-,-17.38%,-,-,-,-
26,Shares Outstanding (Basic),1688,1744,1651,1663,1695,1690,1667,1677,1601,1699,1679,1693,1709,1631,1587,1571,1386,1583,1523,1430
27,Shares Outstanding (Diluted),1688,1744,1651,1663,1695,1690,1667,1677,1601,1699,1679,1693,1709,1631,1587,1571,1386,1583,1523,1430
28,Shares Change (YoY),-0.39%,3.21%,-0.93%,-0.86%,5.87%,-0.53%,-0.72%,-0.95%,-6.34%,4.13%,5.79%,7.77%,23.31%,3.06%,4.22%,9.84%,-,-,-,-
29,EPS (Basic),0.09,0.13,0.22,0.14,0.12,0.14,0.18,0.09,0.11,0.11,0.15,0.14,0.09,0.12,0.13,0.11,0.14,0.15,-0.06,0.14
30,EPS (Diluted),0.09,0.13,0.22,0.14,0.12,0.14,0.18,0.09,0.11,0.11,0.15,0.14,0.09,0.12,0.13,0.11,0.14,0.15,-0.06,0.14
31,EPS Growth,-25.43%,-5.61%,22.22%,55.04%,10.06%,27.25%,20.00%,-35.25%,19.59%,-8.24%,15.38%,28.23%,-33.22%,-17.72%,-,-24.78%,-,-,-,-
32,Free Cash Flow,81.1,-798.16,1086,2713,674.55,-623.94,-1247,1336,593.47,-249.34,-527.63,-282.97,-52.99,651.11,467.68,12.35,-252.36,681.92,91.75,366.3
33,Free Cash Flow Per Share,0.05,-0.46,0.66,1.63,0.40,-0.37,-0.75,0.80,0.37,-0.15,-0.31,-0.17,-0.03,0.40,0.29,0.01,-0.18,0.43,0.06,0.26
34,Dividend Per Share,-,-,-,0.450,-,-,-,0.300,-,-,-,0.240,-,-,-,0.160,-,-,-,-
35,Dividend Growth,-,-,-,50.00%,-,-,-,25.00%,-,-,-,50.00%,-,-,-,-,-,-,-,-
36,Gross Margin,3.62%,4.71%,4.09%,3.81%,4.23%,4.52%,3.99%,4.11%,2.63%,4.59%,4.09%,3.19%,3.98%,2.96%,2.37%,1.59%,5.79%,5.85%,4.43%,3.72%
37,Operating Margin,2.28%,3.57%,3.08%,2.10%,2.72%,3.22%,2.79%,2.37%,1.46%,2.83%,2.76%,1.83%,2.35%,1.71%,1.06%,0.05%,4.13%,4.54%,2.42%,1.75%
38,Profit Margin,1.33%,1.37%,1.99%,1.55%,1.74%,1.77%,1.86%,1.32%,1.69%,1.71%,1.75%,1.71%,1.51%,1.47%,1.55%,1.63%,2.41%,2.58%,-1.41%,1.80%
39,Free Cash Flow Margin,0.71%,-4.72%,5.95%,18.02%,5.74%,-4.65%,-7.72%,11.68%,5.73%,-2.27%,-3.67%,-2.04%,-0.51%,4.90%,3.52%,0.12%,-3.21%,7.60%,1.42%,3.20%
40,EBITDA,262.72,606.05,565.45,319.25,322.6,436.72,453.84,275.06,154,313.6,399.68,256.13,244.81,230.37,143.02,7.6,327.32,409.59,159.48,203.3
41,EBITDA Margin,2.30%,3.58%,3.10%,2.12%,2.75%,3.25%,2.81%,2.41%,1.49%,2.86%,2.78%,1.85%,2.37%,1.73%,1.08%,0.07%,4.16%,4.57%,2.46%,1.77%
42,D&A For EBITDA,2.55,2.37,2.55,2.55,3.67,3.82,3.67,3.67,3.18,3.34,3.18,3.18,2.6,3.32,2.6,2.06,1.88,2.44,2.5,2.86
43,EBIT,260.17,603.68,562.9,316.7,318.94,432.9,450.17,271.39,150.83,310.25,396.51,252.95,242.21,227.05,140.42,5.54,325.44,407.16,156.98,200.44
44,EBIT Margin,2.28%,3.57%,3.08%,2.10%,2.72%,3.22%,2.79%,2.37%,1.46%,2.83%,2.76%,1.83%,2.35%,1.71%,1.06%,0.05%,4.13%,4.54%,2.42%,1.75%
45,Effective Tax Rate,14.05%,18.62%,18.10%,20.84%,17.45%,17.70%,18.73%,18.16%,20.70%,17.36%,19.39%,21.06%,18.57%,20.70%,20.33%,13.40%,23.99%,19.92%,-,26.24%
46,Revenue as Reported,11419,16905,18251,15051,11746,13428,16139,11435,10359,10963,14368,13838,10319,13300,13300,10460,7873,8970,6484,11457
