,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
22,Current Income Taxes Payable,-,6.74,-,5.22,9.06,6.49,-,2.37,-,-,-,2.59,2.59,2.91,2.91
23,Current Unearned Revenue,1.88,2.16,2.49,1.24,2.98,0.96,-,1.61,-,-,-,3.06,3.06,2.9,2.9
24,Other Current Liabilities,55.91,53.97,40.75,42.65,35.81,44.69,-,26.05,-,-,-,48.85,48.85,75.14,75.14
25,Total Current Liabilities,463.44,512.48,553.71,534.32,490.63,499.65,-,440.48,-,-,-,498.34,498.34,473.57,473.57
26,Long-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,4.91,4.91
27,Long-Term Leases,0.11,0.58,0.27,0.27,0.78,0.65,-,0.5,-,-,-,2.66,2.66,2.7,2.7
28,Long-Term Deferred Tax Liabilities,3.98,2.28,2.64,2.48,7.42,7.39,-,7.7,-,-,-,6.21,6.21,5.6,5.6
29,Other Long-Term Liabilities,2.86,2.9,2.83,2.61,2.79,2.53,-,1.99,-,-,-,1.67,1.67,1.55,1.55
30,Total Liabilities,470.4,518.25,559.45,539.68,501.62,510.22,-,450.67,-,-,-,508.88,508.88,488.33,488.33
31,Common Stock,116,116,80,80,80,80,-,60,-,-,-,60,60,60,60
32,Additional Paid-In Capital,608.95,608.95,644.95,644.95,644.95,644.95,-,104.79,-,-,-,100.85,100.85,100.85,100.85
33,Retained Earnings,463.41,438.91,461.99,422.59,401.2,376.49,-,303.18,-,-,-,218.87,218.87,189.18,189.18
34,Comprehensive Income & Other,3.52,3.26,2.9,2.39,-,-,-,-,-,-,-,-,-,-,-
35,Total Common Equity,1192,1167,1190,1150,1126,1101,467.97,467.97,-,-,379.71,379.71,379.71,350.02,350.02
36,Minority Interest,0.44,0.44,0.44,0.44,0.44,0.44,-,0.44,-,-,-,3.9,3.9,4.53,4.53
37,Shareholders' Equity,1192,1168,1190,1150,1127,1102,468.41,468.41,-,-,383.62,383.62,383.62,354.55,354.55
38,Total Liabilities & Equity,1663,1686,1750,1690,1628,1612,-,919.08,-,-,-,892.49,892.49,842.88,842.88
39,Total Debt,60.29,67.01,63.93,88.19,116.48,117.28,97.9,97.9,-,-,108.69,108.69,108.69,122.07,122.07
40,Net Cash (Debt),475.85,524.4,586.65,552.18,520.55,561.1,-25.2,-25.2,-,-,-49,-49,-49,-101.77,-101.77
41,Net Cash Growth,-8.59%,-6.54%,-,-,-,-,-,-,-,-,-,-,-,-,-
42,Net Cash Per Share,4.09,4.57,5.03,4.82,4.45,5.81,-0.29,-0.29,-,-,-0.56,-0.56,-0.56,-1.17,-1.17
43,Filing Date Shares Outstanding,116,116,116,116,116,116,86.71,86.99,85.34,87.25,87.25,87,87,87,87
44,Total Common Shares Outstanding,116,116,116,116,116,116,86.71,86.99,85.34,87.25,87.25,87,87,87,87
45,Working Capital,810.21,807.09,845.55,818.95,832.81,814.65,-,198.64,-,-,-,122.82,122.82,92.55,92.55
46,Book Value Per Share,10.27,10.06,10.26,9.91,9.71,9.50,5.38,5.38,-,-,4.36,4.36,4.36,4.02,4.02
47,Tangible Book Value,1132,1106,1129,1089,1093,1068,434.41,434.41,-,-,345.45,345.45,345.45,315.44,315.44
48,Tangible Book Value Per Share,9.75,9.54,9.73,9.39,9.43,9.21,4.99,4.99,-,-,3.97,3.97,3.97,3.63,3.63
49,Buildings,-,143.21,-,143.2,-,100.4,-,100.4,-,-,-,100.34,100.34,98.32,98.32
50,Machinery,-,169.26,-,162.03,-,154.04,-,151.79,-,-,-,136.56,136.56,125.32,125.32
51,Construction In Progress,-,7.92,-,7.6,-,22.05,-,18,-,-,-,4.79,4.79,6.15,6.15
