,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
16,Debt / EBITDA Ratio,28.85,-,9.38,6.34,59.23,-,3.88,-,-,1.69,0.52,0.25,0.06,0.18,0.07,0.24,0.00,0.00
17,Debt / FCF Ratio,-,-,-,-,-,-16.11,-,10.48,-,-2.01,-,-,-,0.26,-,-,0.00,0.00
18,Asset Turnover,-,0.27,0.27,0.22,0.29,0.21,0.18,0.20,0.85,0.48,0.47,0.78,0.67,0.84,-,-,-,
19,Inventory Turnover,-,-,0.97,1.27,0.99,2.75,0.17,1.38,1.00,5.92,0.91,1.62,2.99,3.36,0.67,-,-,-
20,Quick Ratio,-,-,4.09,4.01,2.92,2.53,2.45,2.46,2.80,3.56,3.91,5.00,4.81,9.76,5.00,4.66,-,5.22
21,Current Ratio,-,-,4.69,4.57,3.27,2.78,2.76,2.77,3.13,3.96,4.80,6.20,5.77,10.46,6.03,5.59,-,5.83
22,Return on Equity (ROE),-3.45%,0.17%,1.05%,0.49%,0.48%,0.43%,-2.87%,-4.47%,-13.31%,11.55%,15.90%,39.72%,17.03%,35.04%,14.47%,101.03%,-,
23,Return on Assets (ROA),-,-0.20%,-0.84%,-0.76%,-6.85%,2.98%,-5.08%,-0.87%,-0.29%,8.50%,7.18%,25.19%,6.76%,22.43%,-,-,-,
24,Return on Capital (ROIC),-1.36%,-0.22%,-0.89%,-0.82%,-7.37%,3.20%,-5.54%,-0.99%,-0.33%,9.65%,8.25%,28.48%,7.56%,26.57%,8.05%,72.71%,-,
25,Return on Capital Employed (ROCE),-,-,-,-,-,-,-1.98%,-,-,-,19.03%,19.94%,18.10%,17.30%,41.08%,33.78%,-,13.30%
26,Earnings Yield,-0.18%,-0.19%,0.25%,0.33%,-0.16%,-0.55%,-2.01%,-0.83%,0.69%,2.80%,3.55%,2.65%,2.02%,1.60%,-,-,-,-
27,FCF Yield,-,0.07%,-0.85%,0.13%,-0.62%,1.32%,1.04%,-0.79%,-1.07%,-1.48%,-0.86%,-0.32%,0.84%,-,-,-,-,
28,Dividend Yield,0.25%,-,-,0.65%,-,0.31%,-,-,-,2.46%,-,-,-,0.30%,-,-,-,-
29,Payout Ratio,0.00%,-,1730.23%,89.80%,151.53%,180.32%,189.97%,-,-,-,0.94%,65.95%,-,1.39%,0.55%,1.40%,0.31%,-
30,Buyback Yield / Dilution,-7.82%,-64.78%,28.79%,32.07%,-33.96%,5.57%,1.26%,-4.56%,2.50%,-5.50%,-11.23%,-12.87%,-10.38%,-2.96%,-,-,-,-
31,Total Shareholder Return,-7.57%,-64.78%,28.79%,32.73%,-33.96%,5.88%,1.26%,-4.56%,2.50%,-3.04%,-11.23%,-12.87%,-10.38%,-2.66%,-,-,-,-
