,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
40,Total Liabilities & Equity,-,13663,13649,13656,14438,14441,14843,15004,15210,15277,10956,-,10805,-,10368,10368
41,Total Debt,1614,1614,1765,1796,1573,2024,2156,2108,1967,2013,2023,1599,1599,-,3061,3061
42,Net Cash (Debt),2965,2965,2359,2574,3592,3103,3269,3942,4637,4303,576.31,1813,1813,-,729.73,729.73
43,Net Cash Growth,-17.44%,-4.42%,-27.84%,-34.71%,-22.54%,-27.90%,467.28%,117.42%,155.76%,-,-21.02%,148.46%,-,-,-,-
44,Net Cash Per Share,0.83,0.73,0.79,0.81,0.86,1.10,0.92,1.05,1.38,1.55,0.21,-,1.52,-,0.27,0.27
45,Filing Date Shares Outstanding,3419,3419,3419,3419,3419,3419,3419,3419,3419,3419,2735,-,2735,4215,2735,2735
46,Total Common Shares Outstanding,3419,3419,3419,3419,3419,3419,3419,3419,3419,3419,2735,-,2735,4215,2735,2735
47,Working Capital,-,5447,6105,6173,6340,6938,6968,7090,7100,7494,3718,-,3382,-,2709,2709
48,Book Value Per Share,1.86,1.86,1.89,1.87,1.92,1.96,2.00,2.03,2.02,2.13,1.24,1.29,1.29,-,1.11,1.11
49,Tangible Book Value,6168,6168,6329,6257,6416,6574,6710,6805,6763,7137,3236,3378,3378,-,2950,2950
50,Tangible Book Value Per Share,1.80,1.80,1.85,1.83,1.88,1.92,1.96,1.99,1.98,2.09,1.18,1.24,1.24,-,1.08,1.08
51,Buildings,-,-,272.99,-,272.99,-,273.36,-,279.32,-,279.54,-,279.54,-,297.96,297.96
52,Machinery,-,-,966.38,-,926.21,-,926.3,-,903.04,-,927.41,-,909.53,-,904.04,904.04
53,Construction In Progress,-,-,22.67,-,15.17,-,-,-,-,-,-,-,-,-,-,-
