,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
19,Quick Ratio,8.46,8.46,8.29,7.06,4.38,4.01,8.77,7.75,7.40,7.07,6.67,5.21,4.88,9.34,6.13,5.25,2.19,-,-,-
20,Current Ratio,9.71,9.71,9.46,8.24,5.03,4.55,9.92,8.87,8.48,8.57,7.90,6.07,5.67,10.28,6.64,5.63,2.53,-,-,-
21,Return on Equity (ROE),5.14%,6.43%,7.04%,5.19%,4.69%,6.14%,5.68%,7.12%,5.95%,5.62%,9.36%,9.96%,8.66%,11.26%,24.30%,-,-,-,-,
22,Return on Assets (ROA),3.31%,3.67%,4.11%,2.61%,2.46%,3.01%,3.43%,2.47%,3.25%,2.56%,5.34%,5.30%,4.31%,6.88%,13.90%,-,-,-,-,
23,Return on Capital (ROIC),3.61%,4.03%,4.66%,3.04%,2.80%,3.32%,3.81%,2.74%,3.60%,2.88%,6.12%,5.95%,4.84%,8.05%,17.53%,-,-,-,-,
24,Return on Capital Employed (ROCE),5.87%,6.06%,5.60%,5.07%,4.60%,4.38%,5.22%,4.96%,5.86%,7.16%,7.72%,9.40%,11.83%,14.11%,16.04%,17.88%,37.08%,-,-,-
25,Earnings Yield,2.55%,3.94%,3.71%,3.52%,2.64%,2.85%,2.91%,2.82%,3.63%,4.37%,4.07%,4.36%,4.45%,4.78%,4.21%,3.89%,-,-,-,-
26,FCF Yield,1.93%,2.99%,3.70%,5.89%,3.87%,3.76%,3.72%,3.74%,1.66%,-9.42%,-7.87%,-7.39%,-5.66%,2.64%,1.74%,1.17%,-,-,-,-
27,Dividend Yield,2.20%,-,3.64%,-,1.55%,-,-,-,1.43%,-,-,-,1.38%,-,-,-,-,-,-,-
28,Payout Ratio,95.58%,206.38%,178.17%,-,0.44%,0.20%,166.27%,-,-,15.64%,213.22%,-,4.80%,-,56.91%,-,-,20.57%,64.85%,-
29,Buyback Yield / Dilution,4.62%,14.60%,-3.21%,-4.24%,8.53%,-31.30%,-3.65%,-8.37%,-16.61%,5.06%,4.06%,-25.95%,-32.33%,-32.79%,-34.99%,0.87%,-,-,-,-
30,Total Shareholder Return,6.82%,14.60%,0.44%,-4.24%,10.09%,-31.30%,-3.65%,-8.37%,-15.17%,5.06%,4.06%,-25.95%,-30.95%,-32.79%,-34.99%,0.87%,-,-,-,-
