,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
22,Earnings From Continuing Operations,42.97,31.02,41,30.15,27.2,31.17,14.73,19.18,42.84,38.89,23.67,23.13
23,Minority Interest in Earnings,0.24,0.45,0.08,0.23,0.11,0.14,0.17,0.16,0.06,0.15,0.13,0.14
24,Net Income,43.21,31.47,41.08,30.38,27.3,31.31,14.9,19.34,42.9,39.04,23.8,23.27
25,Net Income to Common,43.21,31.47,41.08,30.38,27.3,31.31,14.9,19.34,42.9,39.04,23.8,23.27
26,Net Income Growth,58.25%,0.52%,175.71%,57.11%,-36.35%,-19.79%,-37.40%,-16.89%,-,-,-,-
27,Shares Outstanding (Basic),101,99,100,102,97,102,99,100,75,75,74,75
28,Shares Outstanding (Diluted),101,99,100,102,97,102,99,100,75,75,74,75
29,Shares Change (YoY),3.60%,-2.96%,0.87%,1.67%,28.87%,35.02%,33.56%,33.05%,-,-,-,-
30,EPS (Basic),0.43,0.32,0.41,0.30,0.28,0.31,0.15,0.19,0.57,0.52,0.32,0.31
31,EPS (Diluted),0.43,0.32,0.41,0.30,0.28,0.31,0.15,0.19,0.57,0.52,0.32,0.31
32,EPS Growth,52.76%,3.58%,173.33%,54.53%,-50.61%,-40.60%,-53.13%,-37.54%,-,-,-,-
33,Free Cash Flow,-45.3,-5,-68.03,-48.45,-79.04,-22.59,5.43,43.1,55.93,58.92,-28.23,62.16
34,Free Cash Flow Per Share,-0.45,-0.05,-0.68,-0.48,-0.81,-0.22,0.05,0.43,0.74,0.78,-0.38,0.83
35,Dividend Per Share,-,-,-,0.300,-,-,-,0.600,-,-,-,-
36,Dividend Growth,-,-,-,-50.00%,-,-,-,-,-,-,-,-
37,Gross Margin,25.73%,20.80%,24.05%,22.83%,26.21%,23.36%,23.79%,24.11%,27.21%,26.12%,24.40%,20.88%
38,Operating Margin,17.68%,11.64%,15.61%,14.03%,14.47%,10.47%,10.77%,2.94%,22.85%,18.35%,15.42%,10.33%
39,Profit Margin,14.70%,14.67%,17.70%,14.76%,13.81%,20.30%,11.33%,12.14%,22.21%,16.27%,12.90%,12.61%
40,Free Cash Flow Margin,-15.41%,-2.33%,-29.31%,-23.54%,-39.99%,-14.64%,4.13%,27.07%,28.95%,24.55%,-15.31%,33.69%
41,EBITDA,57.8,32.92,42.07,34.71,33.36,21.08,18.91,9.42,48.08,48.61,32.37,22.99
42,EBITDA Margin,19.66%,15.34%,18.13%,16.87%,16.88%,13.67%,14.38%,5.92%,24.89%,20.26%,17.55%,12.46%
43,D&A For EBITDA,5.85,7.95,5.85,5.85,4.75,4.93,4.75,4.75,3.93,4.56,3.93,3.93
44,EBIT,51.96,24.97,36.22,28.87,28.61,16.15,14.16,4.67,44.15,44.05,28.45,19.06
45,EBIT Margin,17.68%,11.64%,15.61%,14.03%,14.47%,10.47%,10.77%,2.94%,22.85%,18.35%,15.42%,10.33%
46,Effective Tax Rate,7.17%,11.27%,13.26%,12.50%,10.25%,10.60%,17.35%,-,11.96%,12.98%,12.77%,0.52%
47,Revenue as Reported,293.95,214.56,232.09,205.82,197.66,154.26,131.46,159.22,193.18,240.01,184.43,184.51
