,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2017,Q1 2017
20,Current Portion of Long-Term Debt,-,-,-,-,-,-,4.6,27.63,-,27.55,-,-,-
21,Current Portion of Leases,3.65,3.65,3.59,3.55,4.3,6.47,-,4.78,-,-,-,-,-
22,Current Income Taxes Payable,3.07,0.53,1.9,0.59,4.34,1.99,6.05,3.4,-,2.83,-,0.81,0.81
23,Current Unearned Revenue,0.76,0.36,0.43,0.87,0.27,0.16,0.22,0.41,-,0.52,-,-,-
24,Other Current Liabilities,2.23,1.31,1.57,1.18,1.57,1.61,1.05,1.57,-,5.11,-,54.74,54.74
25,Total Current Liabilities,81.95,73.62,70.85,90.4,115.52,109.34,147.11,258.74,-,195.8,-,173.57,173.57
26,Long-Term Debt,-,-,-,-,-,-,-,27.55,-,54.57,-,-,-
27,Long-Term Leases,2.1,3.09,4.23,5.36,7.8,11.41,8.37,9.77,-,3.1,-,-,-
28,Long-Term Unearned Revenue,0.14,0.17,0.2,0.23,-,-,-,-,-,-,-,-,-
29,Long-Term Deferred Tax Liabilities,3.15,3.45,3.17,3.01,2.08,2.1,2.14,2.16,-,0.63,-,0.25,0.25
30,Total Liabilities,87.34,80.32,78.45,98.99,125.4,122.85,157.62,298.23,-,254.11,-,173.82,173.82
31,Common Stock,100,100,100,100,100,100,100,75,-,75,-,75,75
32,Additional Paid-In Capital,521.11,521.11,521.11,521.11,521.11,521.11,521.11,3.67,-,3.67,-,3.67,3.67
33,Retained Earnings,308.65,297.98,335.41,331,331.59,313.73,334.55,324.29,-,277.68,-,41.84,41.84
34,Comprehensive Income & Other,-0.47,-0.03,-0.08,-0.26,0.12,0.19,-0.54,-0.44,-,-0.45,-,-,-
35,Total Common Equity,929.29,919.07,956.44,951.86,952.82,935.03,955.12,402.52,-,355.9,327.93,120.51,120.51
36,Minority Interest,-0.8,-0.38,0.05,0.41,0.27,0.51,0.65,0.7,-,0.8,-,-,-
37,Shareholders' Equity,928.49,918.69,956.49,952.27,953.09,935.55,955.77,403.22,-,356.7,328.83,120.51,120.51
38,Total Liabilities & Equity,1016,999.01,1035,1051,1078,1058,1113,701.44,-,610.81,-,294.33,294.33
39,Total Debt,5.75,6.74,7.83,8.91,17.1,22.89,60.02,176.64,-,162.29,169.59,81,81
40,Net Cash (Debt),471.55,461.08,518.58,515.22,481.84,434.91,464.75,-83.65,-,-66.42,-84.85,21.06,21.06
41,Net Cash Growth,-2.14%,6.02%,11.58%,-,-,-,-,-,-,-,-,-,-
42,Net Cash Per Share,4.72,4.61,5.19,5.15,4.82,4.35,5.58,-1.12,-,-0.89,-1.13,0.31,0.31
43,Filing Date Shares Outstanding,100,100,100,100,100,100,100,75,74.98,75,74.99,75,75
44,Total Common Shares Outstanding,100,100,100,100,100,100,100,75,74.98,75,74.99,75,75
45,Working Capital,570.77,563.54,597.3,594.92,593.7,579.44,603.64,85.98,-,97.07,-,37.17,37.17
46,Book Value Per Share,9.29,9.19,9.56,9.52,9.53,9.35,9.55,5.37,-,4.75,4.37,1.61,1.61
47,Tangible Book Value,900.5,889.95,927.17,922.41,923.07,905.04,925.71,372.89,-,325.81,297.34,88.15,88.15
48,Tangible Book Value Per Share,9.01,8.90,9.27,9.22,9.23,9.05,9.26,4.97,-,4.34,3.96,1.18,1.18
49,Buildings,-,164.61,-,170.9,-,217.77,-,218.21,-,-,-,28.82,28.82
50,Machinery,-,136.81,-,129.01,-,128.04,-,110.17,-,312.33,-,42.83,42.83
51,Construction In Progress,-,1.99,-,0.97,-,16.93,-,25.61,-,7.23,-,2.73,2.73
