,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
44,Net Cash Per Share,1.68,2.04,0.38,2.38,1.64,2.39,0.99,2.89,1.34,2.66,1.10,2.54,0.30,0.53,0.94,0.98,-,0.47,0.54
45,Filing Date Shares Outstanding,1478,1481,1486,1479,1486,1486,1479,1479,1479,1479,1479,1479,1258,1258,1262,1258,1319,1271,1258
46,Total Common Shares Outstanding,1478,1481,1486,1479,1486,1486,1479,1479,1479,1479,1479,1479,1258,1258,1262,1258,1319,1271,1258
47,Working Capital,4398,4512,4643,4686,4645,4481,4473,4684,4407,4186,4157,3767,1533,1680,-,1598,-,-,1229
48,Book Value Per Share,4.61,4.68,4.78,4.85,4.86,4.77,4.80,4.69,4.57,4.45,4.40,4.14,3.03,2.96,2.72,2.72,-,2.17,2.17
49,Tangible Book Value,6548,6676,6839,6914,6978,6841,6848,6698,6521,6346,6267,5888,3574,3477,3181,3181,-,2479,2479
50,Tangible Book Value Per Share,4.43,4.51,4.60,4.67,4.69,4.60,4.63,4.53,4.41,4.29,4.24,3.98,2.84,2.76,2.53,2.53,-,1.97,1.97
51,Buildings,-,-,-,1126,-,1127,-,1127,-,1123,-,1122,-,-,-,665.77,-,-,664.87
52,Machinery,-,-,-,2482,-,2465,-,2444,-,2489,-,2324,-,-,-,1704,-,-,1698
53,Construction In Progress,-,-,-,4.41,-,11.55,-,18.82,-,16.7,-,29.57,-,-,-,577.19,-,-,116.1
