,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
22,Return on Equity (ROE),-4.82%,-5.28%,-4.41%,-3.54%,6.86%,8.81%,9.33%,7.86%,15.36%,13.86%,12.93%,6.59%,8.65%,13.16%,17.69%,-,-,29.82%,-,
23,Return on Assets (ROA),-1.12%,-3.68%,-2.64%,-1.53%,3.15%,4.10%,5.02%,1.97%,6.32%,6.64%,7.20%,1.19%,3.79%,-,-,-,-,-,-,
24,Return on Capital (ROIC),-1.63%,-5.10%,-3.73%,-2.19%,4.40%,5.75%,7.32%,2.86%,9.20%,9.39%,9.96%,1.71%,5.55%,11.05%,14.05%,-,-,20.32%,-,
25,Return on Capital Employed (ROCE),-,-,-,-,-,7.70%,9.50%,10.62%,11.50%,11.18%,9.13%,7.92%,7.52%,11.51%,18.93%,-,19.95%,-,-,2.23%
26,Earnings Yield,-2.91%,-2.68%,-1.13%,0.97%,2.36%,3.63%,3.80%,4.85%,5.53%,5.29%,3.69%,2.97%,2.21%,-,-,-,-,-,-,-
27,FCF Yield,-0.40%,-0.37%,-4.56%,-6.81%,-1.97%,6.08%,0.93%,4.63%,4.40%,6.78%,4.22%,-2.10%,0.67%,-,-,-,-,-,-,-
28,Dividend Yield,0.52%,-,-,-,0.36%,-,-,-,0.83%,-,-,-,0.38%,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,-,-,-,99.60%,0.07%,0.06%,0.03%,23.59%,5.30%,0.32%,1.07%,0.99%,0.85%,0.50%,0.25%,0.57%,1.69%,2.70%
30,Buyback Yield / Dilution,0.02%,0.21%,-0.17%,0.06%,-0.00%,-0.12%,0.03%,0.03%,-5.22%,-22.17%,-13.84%,-17.22%,-16.35%,8.18%,-2.27%,-13.67%,-,-,-,-
31,Total Shareholder Return,0.54%,0.21%,-0.17%,0.06%,0.36%,-0.12%,0.03%,0.03%,-4.38%,-22.17%,-13.84%,-17.22%,-15.98%,8.18%,-2.27%,-13.67%,-,-,-,-
