,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q1 2020,Q1 2019
21,Income Tax Expense,4.06,7.84,-4.58,-6.45,3.58,15.87,6.81,-4.94,7.36,1.04,-11.71,-4.58,-4.14,2.45,-0.52
22,Net Income,63.62,107.91,39.27,3.57,115.32,86.5,69.66,-1.09,57.41,36,-41.86,2.61,25.56,18.73,0.63
23,Net Income to Common,63.62,107.91,39.27,3.57,115.32,86.5,69.66,-1.09,57.41,36,-41.86,2.61,25.56,18.73,0.63
24,Net Income Growth,-44.83%,24.74%,-43.62%,-,100.89%,140.32%,-,-,124.60%,92.16%,-,-,-,-,-
25,Shares Outstanding (Basic),454,418,500,452,449,454,460,454,446,436,377,408,482,380,-
26,Shares Outstanding (Diluted),454,461,500,464,489,454,460,454,446,436,377,408,482,380,-
27,Shares Change (YoY),-7.24%,1.57%,8.55%,2.27%,9.83%,4.25%,21.99%,11.34%,-7.51%,14.70%,-,-,-,-,-
28,EPS (Basic),0.14,0.26,0.08,0.01,0.26,0.19,0.15,-0.00,0.13,0.08,-0.11,0.01,0.05,0.05,-
29,EPS (Diluted),0.14,0.23,0.08,0.01,0.24,0.19,0.15,-0.00,0.13,0.08,-0.11,0.01,0.05,0.05,-
30,EPS Growth,-40.52%,22.82%,-48.06%,-,82.91%,130.51%,-,-,142.83%,67.53%,-,-,-,-,-
31,Free Cash Flow,-,-266.5,-394.42,-523.36,-179.6,-84.72,212.27,-40.77,93.24,57.72,5.45,-35.25,-48.13,-30.9,17.81
32,Free Cash Flow Per Share,-,-0.58,-0.79,-1.13,-0.37,-0.19,0.46,-0.09,0.21,0.13,0.01,-0.09,-0.10,-0.08,-
33,Dividend Per Share,-,-,-,-,0.085,-,-,-,-,-,-,-,-,-,-
34,Gross Margin,182.39%,39.03%,36.24%,42.90%,34.04%,40.89%,39.59%,47.21%,39.39%,43.42%,8.63%,31.20%,32.91%,100.00%,100.00%
35,Operating Margin,4.70%,20.37%,2.94%,-7.08%,6.82%,17.31%,22.06%,-10.35%,8.98%,19.11%,-236.92%,-4.80%,3.31%,31.24%,0.62%
36,Profit Margin,5.51%,14.25%,6.37%,2.09%,17.52%,13.53%,22.74%,-1.44%,19.17%,15.69%,-178.24%,1.97%,12.97%,27.64%,4.57%
37,Free Cash Flow Margin,-,-35.19%,-64.00%,-306.61%,-27.29%,-13.25%,69.30%,-53.80%,31.14%,25.16%,23.19%,-26.68%,-24.42%,-45.60%,128.77%
38,EBITDA,56.81,156.78,24.46,-9.54,47.45,113.13,70.39,-5.41,28.67,44.23,-53.42,-4.66,8.21,21.67,0.34
39,EBITDA Margin,4.92%,20.70%,3.97%,-5.59%,7.21%,17.69%,22.98%,-7.14%,9.57%,19.28%,-227.45%,-3.52%,4.17%,31.98%,2.49%
40,D&A For EBITDA,2.54,2.54,6.33,2.54,2.54,2.43,2.82,2.43,1.78,0.38,2.22,1.69,1.69,0.5,0.26
41,EBIT,54.27,154.23,18.13,-12.08,44.91,110.7,67.58,-7.84,26.89,43.85,-55.64,-6.34,6.53,21.17,0.09
42,EBIT Margin,4.70%,20.37%,2.94%,-7.08%,6.82%,17.31%,22.06%,-10.35%,8.98%,19.11%,-236.92%,-4.80%,3.31%,31.24%,0.62%
43,Effective Tax Rate,6.00%,6.77%,-,-,3.01%,15.50%,8.90%,-,11.36%,2.80%,-,-,-,11.58%,-
44,Revenue as Reported,-,-,-,-,1680,-,-,-,684.51,-,-,-,-,-,-
