,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q1 2020,Q1 2019
18,Accounts Payable,-,1738,1900,2189,2033,1752,1316,985.36,753.28,549.78,349.71,-,196.84,-,-
19,Accrued Expenses,-,123.52,206.59,116.53,190.01,81,122.57,58.09,104.33,47.91,27.33,-,33.75,-,-
20,Short-Term Debt,-,1354,1133,1040,544.5,422.13,264.53,268.92,292.36,166.17,156.48,-,66.54,-,-
21,Current Portion of Long-Term Debt,-,-,37.05,-,-,-,-,-,-,-,3.6,-,11.99,-,-
22,Current Portion of Leases,-,47.9,19.29,25.05,25.05,19.77,18.86,9.87,2.72,3.6,-,-,3.6,-,-
23,Current Income Taxes Payable,-,16.04,-,20.9,62.08,34.99,1.32,10.84,2.72,-,3.65,-,-,-,-
24,Current Unearned Revenue,-,2459,2459,2323,1958,1967,1554,947.59,625.23,439.87,291.16,-,124.59,-,-
25,Other Current Liabilities,-,60.87,133.63,169.63,154.54,206.58,112.33,93.09,40.58,37.69,29.28,-,8.93,-,-
26,Total Current Liabilities,-,5799,5889,5885,4967,4484,3390,2374,1821,1245,861.22,-,446.24,-,-
27,Long-Term Debt,-,153,63,-,-,-,-,-,-,-,-,-,-,-,-
28,Long-Term Leases,-,200.58,141.61,140.55,145.19,147.19,151.7,160.53,-,7.53,8.32,-,9.88,-,-
29,Long-Term Unearned Revenue,-,137.4,72.78,73.44,74.32,61.82,26.54,26.71,26.88,10.92,11.16,-,11.09,-,-
30,Long-Term Deferred Tax Liabilities,-,32.53,22.35,23.02,23.77,23.39,24.29,25.11,0.41,0.02,0.04,-,0.08,-,-
31,Other Long-Term Liabilities,-,81,57.98,31.62,27.22,23.59,14.23,9.51,8.84,3.86,5.16,-,6.11,-,-
32,Total Liabilities,-,6403,6247,6153,5238,4740,3607,2596,1857,1267,885.89,-,473.41,-,-
33,Common Stock,-,457.68,457.68,454.46,454.46,454.46,454.46,454.46,454.46,409.01,409.01,-,409.01,-,-
34,Additional Paid-In Capital,-,1577,1550,1481,1445,1410,1334,1334,1333,354.99,354.79,-,353.8,-,-
35,Retained Earnings,-,557.16,449.25,448.81,445.24,329.91,243.41,173.75,174.84,117.44,81.44,-,120.69,-,-
36,Treasury Stock,-,-30.01,-30.01,-30,-,-,-,-,-,-,-,-,-,-,-
37,Shareholders' Equity,2562,2562,2427,2355,2344,2194,2032,1962,1963,881.44,845.24,883.5,883.5,236.74,16.46
38,Total Liabilities & Equity,-,8965,8674,8508,7582,6934,5639,4558,3820,2149,1731,-,1357,-,-
39,Total Debt,1755,1755,1394,1206,714.73,589.08,435.09,439.32,295.08,177.31,168.4,92.02,92.02,29.9,58.47
40,Net Cash (Debt),194.54,194.54,772.35,4.59,1663,350.47,1776,506.16,1724,569.07,504.36,523.61,523.61,117.31,32.09
41,Net Cash Growth,-88.30%,-44.49%,-56.51%,-99.09%,-3.52%,-38.41%,252.07%,-3.33%,229.25%,385.12%,1471.54%,-,-,-,-
42,Net Cash Per Share,0.43,0.42,1.55,0.01,3.40,0.77,3.86,1.12,3.87,1.31,1.34,1.28,1.09,0.31,-
43,Filing Date Shares Outstanding,454.01,456.87,456.87,452.33,454.46,454.46,454.46,454.46,454.46,409.01,409.01,407.55,409.01,379.71,-
44,Total Common Shares Outstanding,456.87,456.87,456.87,452.33,454.46,454.46,454.46,454.46,454.46,409.01,409.01,407.55,409.01,379.71,-
45,Working Capital,-,2125,1866,1789,1849,1938,1860,1858,1878,790.97,754.5,-,830.08,-,-
46,Book Value Per Share,5.61,5.61,5.31,5.21,5.16,4.83,4.47,4.32,4.32,2.16,2.07,2.16,2.16,0.62,0.08
47,Tangible Book Value,2537,2537,2398,2348,2338,2187,2025,1954,1955,872.47,836.75,875.29,875.29,228.82,7.6
48,Tangible Book Value Per Share,5.55,5.55,5.25,5.19,5.14,4.81,4.46,4.30,4.30,2.13,2.05,2.14,2.14,0.60,0.04
49,Machinery,-,-,310.76,-,208.85,-,63.56,-,55.08,48.16,47.48,-,42.29,-,-
50,Construction In Progress,-,-,7.62,-,8.52,-,34.46,-,-,-,-,-,0.46,-,-
51,Order Backlog,-,-,-,8191,-,-,-,-,-,-,-,-,-,599.96,472.21
