,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
26,Shares Change (YoY),11.77%,17.12%,17.38%,17.38%,5.34%,24.80%,-8.81%,-8.81%,-,-,-,-
27,EPS (Basic),-0.09,-0.04,-0.02,-0.02,0.02,-0.00,0.00,0.00,0.01,0.02,0.01,0.01
28,EPS (Diluted),-0.09,-0.04,-0.02,-0.02,0.02,-0.00,0.00,0.00,0.01,0.02,0.01,0.01
29,EPS Growth,-,-,-,-,176.89%,-,-72.34%,-72.33%,-,-,-,-
30,Free Cash Flow,-,-44.51,-62.66,-62.66,-16.91,24.52,-10.73,-10.73,52.32,13.84,16.94,16.94
31,Free Cash Flow Per Share,-,-0.10,-0.15,-0.15,-0.04,0.07,-0.03,-0.03,0.15,0.05,0.04,0.04
32,Gross Margin,302.14%,21.79%,20.15%,20.15%,23.62%,28.32%,24.79%,24.79%,22.56%,27.98%,24.85%,24.85%
33,Operating Margin,-17.25%,-3.49%,-18.38%,-18.38%,-0.27%,-1.45%,-7.93%,-7.93%,-7.98%,0.81%,-0.59%,-0.59%
34,Profit Margin,-25.40%,-10.42%,-7.98%,-7.98%,6.44%,-1.49%,1.76%,1.76%,2.59%,5.45%,5.85%,5.85%
35,Free Cash Flow Margin,-,-29.08%,-55.82%,-55.82%,-12.69%,22.02%,-12.59%,-12.59%,46.07%,13.44%,16.67%,16.67%
36,EBITDA,-23.41,-2.98,-18.27,-18.27,1.75,0.64,-4.5,-4.5,-6.73,2.96,1.53,1.53
37,EBITDA Margin,-15.83%,-1.95%,-16.27%,-16.27%,1.32%,0.58%,-5.28%,-5.28%,-5.93%,2.87%,1.50%,1.50%
38,D&A For EBITDA,2.11,2.36,2.36,2.36,2.11,2.25,2.25,2.25,2.33,2.12,2.12,2.12
39,EBIT,-25.52,-5.34,-20.63,-20.63,-0.35,-1.61,-6.75,-6.75,-9.07,0.84,-0.59,-0.59
40,EBIT Margin,-17.25%,-3.49%,-18.38%,-18.38%,-0.27%,-1.45%,-7.93%,-7.93%,-7.98%,0.81%,-0.59%,-0.59%
41,Effective Tax Rate,-,-,-,-,20.27%,-,-,-,-,-,5.21%,5.21%
42,Revenue as Reported,-,153.07,112.25,112.25,414.96,111.32,85.19,85.19,419.76,-,-,-
