,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
28,Shares Outstanding (Basic),138,126,140,131,135,132,136,134,111,99,100,98,102,100,100
29,Shares Outstanding (Diluted),138,126,140,131,135,132,136,134,111,99,100,98,102,100,100
30,Shares Change (YoY),2.09%,-4.67%,3.24%,-2.22%,20.93%,33.50%,35.14%,37.00%,9.72%,-1.08%,0.68%,-,-,-,-
31,EPS (Basic),0.04,0.01,0.03,0.10,0.06,0.16,0.14,0.18,0.17,0.30,0.37,0.51,0.26,0.29,0.29
32,EPS (Diluted),0.04,0.01,0.03,0.10,0.06,0.16,0.14,0.18,0.17,0.30,0.37,0.51,0.26,0.29,0.29
33,EPS Growth,-34.51%,-94.48%,-78.57%,-44.63%,-64.95%,-46.45%,-62.16%,-64.99%,-33.80%,3.23%,27.59%,-,-,-,-
34,Free Cash Flow,-289.11,-594.22,-278.42,-46.88,-1.62,-22.09,-61.43,-43.97,-5.22,-19.23,7.01,-18.94,20.77,9.83,9.83
35,Free Cash Flow Per Share,-2.10,-4.73,-1.99,-0.36,-0.01,-0.17,-0.45,-0.33,-0.05,-0.19,0.07,-0.19,0.20,0.10,0.10
36,Dividend Per Share,-,-,-,0.046,-,-,-,0.075,-,-,-,-,-,-,-
37,Dividend Growth,-,-,-,-38.67%,-,-,-,-,-,-,-,-,-,-,-
38,Gross Margin,14.15%,15.43%,17.01%,21.42%,14.81%,26.92%,24.46%,18.26%,23.09%,25.51%,29.69%,28.79%,27.07%,33.19%,33.19%
39,Operating Margin,0.45%,1.92%,1.53%,6.80%,0.68%,17.59%,8.64%,5.41%,10.49%,16.32%,21.22%,20.66%,16.94%,23.68%,23.68%
40,Profit Margin,2.74%,0.60%,2.30%,7.69%,3.90%,11.44%,9.83%,10.07%,8.54%,13.61%,17.06%,23.25%,13.67%,17.62%,17.62%
41,Free Cash Flow Margin,-145.56%,-319.98%,-152.44%,-27.57%,-0.78%,-11.96%,-31.76%,-18.32%,-2.33%,-8.85%,3.22%,-8.74%,10.74%,5.98%,5.98%
42,EBITDA,14.28,17.62,16.18,24.96,11.83,43.54,27.12,23.39,31.43,40.54,54.11,52.62,37.4,43.55,43.55
43,EBITDA Margin,7.19%,9.49%,8.86%,14.68%,5.68%,23.57%,14.02%,9.75%,13.99%,18.67%,24.83%,24.28%,19.34%,26.51%,26.51%
44,D&A For EBITDA,13.39,14.05,13.39,13.39,10.4,11.04,10.4,10.4,7.86,5.09,7.86,7.86,4.64,4.64,4.64
45,EBIT,0.89,3.57,2.79,11.57,1.42,32.5,16.72,12.98,23.58,35.45,46.25,44.76,32.76,38.91,38.91
46,EBIT Margin,0.45%,1.92%,1.53%,6.80%,0.68%,17.59%,8.64%,5.41%,10.49%,16.32%,21.22%,20.66%,16.94%,23.68%,23.68%
47,Effective Tax Rate,10.49%,-,-,-,15.91%,18.89%,10.76%,-,12.97%,12.85%,13.15%,5.72%,24.24%,14.12%,14.12%
48,Revenue as Reported,198.62,185.71,182.64,170.05,208.41,184.71,193.4,239.97,224.73,217.16,217.93,216.72,193.42,164.29,164.29
