,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
20,Current Income Taxes Payable,16.46,7.52,1.25,0.2,8,2.22,-1.01,-,4.3,5.29,-,2.91,-,-,-
21,Current Unearned Revenue,10.16,4.55,2.05,0.13,3.2,4.45,19.36,3.47,7.32,3.7,-,2.97,-,-,-
22,Other Current Liabilities,7.4,28.27,2.98,34.28,4.3,1.37,4.43,24.77,5.43,1.63,-,43.46,-,-,-
23,Total Current Liabilities,824.91,780.03,639.48,416.25,330.89,323.17,261.81,221.6,438.98,404.17,-,338.42,-,-,-
24,Long-Term Debt,-,-,-,-,-,-,-,-,-,38.66,-,68.25,-,-,-
25,Long-Term Unearned Revenue,69.01,50.01,-,-,-,-,-,-,-,-,-,-,-,-,-
26,Long-Term Deferred Tax Liabilities,31.09,31.11,31.05,31.62,33.09,33.54,32.86,33.09,27.97,28.35,-,28.49,-,-,-
27,Total Liabilities,925.01,861.15,670.54,447.87,363.98,356.71,294.68,254.69,466.96,471.18,-,435.16,-,-,-
28,Common Stock,135.53,135.53,135.53,134.48,134.48,134.48,133.47,133.47,133.47,100.1,-,100.1,-,-,-
29,Additional Paid-In Capital,922.53,920.78,922.19,904.22,901.16,901.5,869.01,869.01,869.01,245.48,-,245.48,-,-,-
30,Retained Earnings,554.44,549,554.13,549.92,536.84,528.7,517.58,498.57,474.4,455.2,-,388.46,-,-,-
31,Comprehensive Income & Other,5.65,4.84,4.37,4.6,8.5,7.53,6.11,5.91,5.12,4.1,-,3.1,-,-,-
32,Total Common Equity,1618,1610,1616,1593,1581,1572,1526,1507,1482,804.88,737.14,737.14,-,-,597.37
33,Minority Interest,418.5,205.7,9.96,-,-,-,-,-,-,-,-,-,-,-,-
34,Shareholders' Equity,2037,1816,1626,1593,1581,1572,1526,1507,1482,804.88,737.14,737.14,-,-,597.37
35,Total Liabilities & Equity,2962,2677,2297,2041,1945,1929,1821,1762,1949,1276,-,1172,-,-,-
36,Total Debt,596.74,618.28,422.27,288.35,211.58,191.65,137.87,74.63,187.88,317.68,270.22,270.22,-,-,255.52
37,Net Cash (Debt),-498.76,-412.89,-11.89,250.26,299.38,302.63,286.79,348.99,394.29,-256.71,-219.57,-219.57,-,-,-227.58
38,Net Cash Growth,-,-,-,-28.29%,-24.07%,-,-,-,-,-,-,-,-,-,-
39,Net Cash Per Share,-3.63,-3.29,-0.08,1.91,2.22,2.30,2.11,2.60,3.54,-2.60,-2.18,-2.24,-,-,-2.28
40,Filing Date Shares Outstanding,135.53,135.53,135.53,135.53,134.48,134.48,133.47,133.47,133.47,100.1,100.5,100.1,101.53,99.82,99.82
41,Total Common Shares Outstanding,135.53,135.53,135.53,134.48,134.48,134.48,133.47,133.47,133.47,100.1,100.5,100.1,101.53,99.82,99.82
42,Working Capital,-71.54,128.67,414.59,706.64,758.98,833.92,836.58,821.75,835.15,221.87,-,210.44,-,-,-
43,Book Value Per Share,11.94,11.88,11.93,11.85,11.76,11.69,11.43,11.29,11.10,8.04,7.36,7.36,-,-,5.97
44,Tangible Book Value,1318,1379,1558,1535,1522,1513,1448,1447,1422,744.14,696.39,696.39,-,-,555.55
45,Tangible Book Value Per Share,9.72,10.18,11.50,11.41,11.32,11.25,10.85,10.84,10.65,7.43,6.96,6.96,-,-,5.55
46,Buildings,-,206.38,-,184.62,-,158.9,-,160.46,-,-,-,138.93,-,-,-
47,Machinery,-,434.06,-,422.32,-,406.47,-,391.07,-,-,-,343.02,-,-,-
48,Construction In Progress,-,392.88,-,239.74,-,209.26,-,179.42,-,-,-,159.09,-,-,-
