,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
21,Current Ratio,2.49,2.49,2.36,3.17,2.78,3.43,4.37,3.18,2.93,3.34,2.90,4.45,4.19,7.96,9.44,5.20,4.10,-,2.70,3.37
22,Return on Equity (ROE),1.05%,-,2.18%,2.03%,0.84%,-,1.98%,-1.31%,1.98%,3.76%,4.32%,0.68%,3.85%,11.58%,9.67%,-,-,64.09%,-,
23,Return on Assets (ROA),1.70%,-,0.55%,0.62%,0.99%,-,0.61%,-1.65%,0.49%,0.82%,1.53%,-0.50%,1.15%,5.84%,5.07%,-,-,31.91%,-,
24,Return on Capital (ROIC),1.95%,-,0.65%,0.74%,1.13%,-,0.70%,-1.90%,0.57%,0.94%,1.73%,-0.56%,1.25%,6.40%,5.78%,-,-,40.80%,-,
25,Return on Capital Employed (ROCE),1.15%,1.32%,-,0.98%,1.02%,-0.02%,-,0.12%,-,1.10%,1.44%,3.33%,-,4.80%,6.49%,19.39%,18.79%,-,15.80%,1.66%
26,Earnings Yield,0.57%,0.61%,-,0.52%,0.43%,0.14%,-,0.59%,1.01%,1.24%,1.19%,1.53%,1.39%,1.73%,2.07%,-,-,-,-,-
27,FCF Yield,-8.63%,-9.76%,-11.64%,-8.85%,-7.69%,-5.01%,-5.41%,-2.25%,-1.45%,-1.11%,0.97%,-0.34%,-0.59%,-0.97%,-3.25%,-,-,-,-,-
28,Dividend Yield,0.64%,-,-,-,0.57%,-,-,-,0.70%,-,-,-,1.84%,-,0.87%,-,-,-,-,-
29,Payout Ratio,123.93%,26.23%,-,7.89%,6.05%,33.24%,-,2.93%,-,3.36%,323.08%,2.71%,115.37%,333.58%,5.06%,8.15%,5.23%,-,0.15%,0.25%
30,Buyback Yield / Dilution,0.11%,-0.26%,0.40%,0.21%,-0.12%,0.22%,-0.03%,-0.09%,1.76%,-1.89%,-21.23%,-33.35%,-33.75%,-30.83%,-4.87%,-6.20%,-,-,-,-
31,Total Shareholder Return,0.75%,-0.26%,0.40%,0.21%,0.45%,0.22%,-0.03%,-0.09%,2.46%,-1.89%,-21.23%,-33.35%,-31.92%,-30.83%,-4.00%,-6.20%,-,-,-,-
