,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
11,Currency Exchange Gain (Loss),-,-0.22,0.22,-,0.98,-1.19,1.19,-,9.24,-5.82,5.82,-,-1.9,0.59,-0.59,-
12,Other Non Operating Income (Expenses),0.34,-0.29,-0.13,0.12,-1.15,1.13,0.45,-0.43,-9.37,9.45,0.43,-0.63,0.03,-0.15,-0.6,0.51
13,EBT Excluding Unusual Items,31.18,34.47,29.75,24.85,29.27,32.12,21.78,14.71,26.92,33.51,36.86,31.41,19.21,30.79,37.38,31.42
14,Gain (Loss) on Sale of Investments,-1.9,0.18,-0.85,2.58,2.51,-3.09,1.61,2.74,-14.86,2.93,4.93,1.65,1.71,0.51,0.35,0.41
15,Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-,-0.05,-,-,-,-0,0,-0,-
16,Asset Writedown,1.26,-1.3,0.81,-0.77,1.38,-1.34,0.36,-0.33,0.27,-0.61,0.4,-0.4,0.39,-0.39,0.03,-0.03
17,Other Unusual Items,-0.03,-0.26,0.28,0,1.64,-,-,-,6.8,-,-,-,3.18,-,-,-
18,Pretax Income,30.5,33.09,30,26.66,34.8,27.69,23.75,17.12,19.08,35.83,42.18,32.66,24.49,30.91,37.77,31.8
19,Income Tax Expense,1.65,2.68,2.25,2.19,2.53,1.74,1.4,1.2,0.93,3.1,3.51,2.75,1.86,2.63,3.27,2.68
20,Net Income,28.85,30.41,27.75,24.47,32.27,25.95,22.35,15.92,18.14,32.73,38.67,29.91,22.63,28.28,34.49,29.12
21,Net Income to Common,28.85,30.41,27.75,24.47,32.27,25.95,22.35,15.92,18.14,32.73,38.67,29.91,22.63,28.28,34.49,29.12
22,Net Income Growth,-10.59%,17.18%,24.16%,53.67%,77.86%,-20.72%,-42.21%,-46.76%,-19.83%,15.72%,12.12%,2.71%,-,-,-,-
23,Shares Outstanding (Basic),115,117,121,117,120,118,118,114,115,117,120,116,98,88,89,88
24,Shares Outstanding (Diluted),115,117,121,117,120,118,118,114,115,117,120,116,98,88,89,88
25,Shares Change (YoY),-4.25%,-1.34%,2.22%,2.45%,4.65%,1.22%,-1.62%,-2.23%,17.40%,32.88%,35.70%,32.47%,-,-,-,-
26,EPS (Basic),0.25,0.26,0.23,0.21,0.27,0.22,0.19,0.14,0.16,0.28,0.32,0.26,0.23,0.32,0.39,0.33
27,EPS (Diluted),0.25,0.26,0.23,0.21,0.27,0.22,0.19,0.14,0.16,0.28,0.32,0.26,0.23,0.32,0.39,0.33
28,EPS Growth,-6.62%,18.78%,21.47%,50.00%,69.96%,-21.67%,-41.26%,-45.55%,-31.71%,-12.92%,-17.38%,-22.47%,-,-,-,-
29,Free Cash Flow,-,28.23,17.85,2.02,19.95,18.91,18.33,10.95,9.38,-127.51,35.4,1.02,20.24,11.03,17.78,30.18
30,Free Cash Flow Per Share,-,0.24,0.15,0.02,0.17,0.16,0.16,0.10,0.08,-1.09,0.29,0.01,0.21,0.13,0.20,0.34
31,Dividend Per Share,-,-,-,-,0.600,-,-,-,0.429,-,-,-,0.306,-,-,-
32,Dividend Growth,-,-,-,-,39.99%,-,-,-,40.02%,-,-,-,-,-,-,-
33,Gross Margin,265.70%,36.44%,33.96%,36.52%,34.73%,35.87%,32.15%,34.26%,30.47%,33.87%,35.74%,35.64%,34.08%,37.62%,36.58%,33.62%
34,Operating Margin,75.01%,21.42%,16.11%,16.04%,17.69%,16.51%,7.63%,3.81%,-1.68%,23.82%,20.07%,23.30%,16.67%,28.65%,27.26%,24.77%
35,Profit Margin,29.21%,30.91%,31.85%,35.62%,33.34%,28.06%,29.00%,29.43%,24.41%,43.52%,38.65%,34.55%,21.05%,27.00%,24.66%,23.57%
36,Free Cash Flow Margin,-,28.70%,20.49%,2.94%,20.61%,20.45%,23.79%,20.25%,12.62%,-169.56%,35.38%,1.18%,18.83%,10.53%,12.71%,24.43%
37,EBITDA,76.27,23.26,16.21,13.2,19.3,16.43,8.25,3.22,-0.09,18.55,20.83,20.8,18.55,30.68,38.81,31.25
38,EBITDA Margin,77.22%,23.65%,18.61%,19.22%,19.95%,17.77%,10.70%,5.95%,-0.11%,24.66%,20.82%,24.03%,17.26%,29.28%,27.75%,25.30%
39,D&A For EBITDA,2.19,2.19,2.18,2.19,2.19,1.16,2.37,1.16,1.16,0.63,0.75,0.63,0.63,0.66,0.69,0.66
40,EBIT,74.08,21.07,14.03,11.02,17.12,15.27,5.88,2.06,-1.25,17.91,20.08,20.17,17.92,30.02,38.12,30.59
41,EBIT Margin,75.01%,21.42%,16.11%,16.04%,17.69%,16.51%,7.63%,3.81%,-1.68%,23.82%,20.07%,23.30%,16.67%,28.65%,27.26%,24.77%
42,Effective Tax Rate,5.41%,8.10%,7.50%,8.21%,7.28%,6.29%,5.91%,7.02%,4.90%,8.65%,8.32%,8.43%,7.61%,8.50%,8.67%,8.43%
43,Revenue as Reported,-,98.37,87.11,68.7,96.78,92.48,77.06,54.1,74.33,75.2,100.05,86.57,-,-,-,-
